instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.018888889,-0.402222222,1,0,0,instr_done_button,a,1,0.739,,,,,,,,,0.739,1,0,0,0,6,1,stimuli/blank.png,begabt,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.564,,,,,,,,,0.564,1,0,1,1,10,1,stimuli/blank.png,aktiv,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.685,,,,,,,,,0.685,1,0,2,2,3,1,stimuli/blank.png,verlogen,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.015,,,,,,,,,1.015,1,0,3,3,16,1,stimuli/blank.png,begabt,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.664,,,,,,,,,0.664,1,0,4,4,9,1,stimuli/blank.png,lustlos,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.798,,,,,,,,,0.798,1,0,5,5,4,1,stimuli/blank.png,gerecht,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.249,,,,,,,,,1.249,1,0,6,6,1,1,stimuli/blank.png,brutal,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.648,,,,,,,,,0.648,1,0,7,7,0,1,stimuli/blank.png,aktiv,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.532,,,,,,,,,0.532,1,0,8,8,18,1,stimuli/blank.png,human,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.515,,,,,,,,,0.515,1,0,9,9,14,1,stimuli/blank.png,gerecht,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.482,,,,,,,,,0.482,1,0,10,10,12,1,stimuli/blank.png,fröhlich,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.667,,,,,,,,,0.667,1,0,11,11,11,1,stimuli/blank.png,brutal,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.798,,,,,,,,,0.798,1,0,12,12,5,1,stimuli/blank.png,träge,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.582,,,,,,,,,0.582,1,0,13,13,19,1,stimuli/blank.png,lustlos,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.498,,,,,,,,,0.498,1,0,14,14,8,1,stimuli/blank.png,human,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.514,,,,,,,,,0.514,1,0,15,15,7,1,stimuli/blank.png,eitel,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.615,,,,,,,,,0.615,1,0,16,16,15,1,stimuli/blank.png,träge,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.865,,,,,,,,,0.865,1,0,17,17,17,1,stimuli/blank.png,eitel,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.881,,,,,,,,,0.881,1,0,18,18,2,1,stimuli/blank.png,fröhlich,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.548,,,,,,,,,0.548,1,0,19,19,13,1,stimuli/blank.png,verlogen,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.523,,,,,,,,,0.523,1,0,0,0,15,1,stimuli/blank.png,meine,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.619,,,,,,,,,0.619,1,0,1,1,16,1,stimuli/blank.png,euch,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.515,,,,,,,,,0.515,1,0,2,2,13,1,stimuli/blank.png,mir,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.498,,,,,,,,,0.498,1,0,3,3,9,1,stimuli/blank.png,selbst,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.516,,,,,,,,,0.516,1,0,4,4,2,1,stimuli/blank.png,ihr,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.798,,,,,,,,,0.798,1,0,5,5,6,1,stimuli/blank.png,euch,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.585,,,,,,,,,0.585,1,0,6,6,10,1,stimuli/blank.png,andere,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.134,,,,,,,,,1.134,1,0,7,7,14,1,stimuli/blank.png,jene,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.515,,,,,,,,,0.515,1,0,8,8,3,1,stimuli/blank.png,mir,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.583,,,,,,,,,0.583,1,0,9,9,1,1,stimuli/blank.png,ich,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.751,,,,,,,,,0.751,1,0,10,10,0,1,stimuli/blank.png,andere,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,1.238,,,,,,,,,1.238,0,0,11,11,18,1,stimuli/blank.png,eure,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.101,,,,,,,,,1.101,1,0,12,12,4,1,stimuli/blank.png,jene,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.618,,,,,,,,,0.618,1,0,13,13,7,1,stimuli/blank.png,eigene,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.767,,,,,,,,,0.767,1,0,14,14,12,1,stimuli/blank.png,ihr,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.597,,,,,,,,,0.597,1,0,15,15,8,1,stimuli/blank.png,eure,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.566,,,,,,,,,0.566,1,0,16,16,17,1,stimuli/blank.png,eigene,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.482,,,,,,,,,0.482,1,0,17,17,5,1,stimuli/blank.png,meine,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.452,,,,,,,,,0.452,1,0,18,18,11,1,stimuli/blank.png,ich,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.47,,,,,,,,,0.47,1,0,19,19,19,1,stimuli/blank.png,selbst,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.807,,,,,,,,,0.807,1,0,0,0,19,1,stimuli/blank.png,lustlos,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.801,,,,,,,,,0.801,1,0,1,1,13,1,stimuli/blank.png,verlogen,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.651,,,,,,,,,0.651,1,0,2,2,16,1,stimuli/blank.png,begabt,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.585,,,,,,,,,0.585,1,0,3,3,11,1,stimuli/blank.png,brutal,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.535,,,,,,,,,0.535,1,0,4,4,15,1,stimuli/blank.png,träge,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.703,,,,,,,,,0.703,1,0,5,5,14,1,stimuli/blank.png,gerecht,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.45,,,,,,,,,0.45,1,0,6,6,12,1,stimuli/blank.png,fröhlich,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.382,,,,,,,,,0.382,0,0,7,7,6,1,stimuli/blank.png,euch,l,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.553,,,,,,,,,0.553,1,0,8,8,1,1,stimuli/blank.png,ich,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.617,,,,,,,,,0.617,1,0,9,9,18,1,stimuli/blank.png,human,a,,2023-07-30_12h21.17.776,openIAT,2023.1.3,MacIntel,58.82352941,
