instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.032407407,-0.389814815,1,0,0,instr_done_button,a,1,0.996,,,,,,,,,0.996,1,0,0,0,16,1,stimuli/blank.png,begabt,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.433,,,,,,,,,1.433,1,0,1,1,5,1,stimuli/blank.png,träge,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.948,,,,,,,,,0.948,1,0,2,2,0,1,stimuli/blank.png,aktiv,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.016,,,,,,,,,1.016,1,0,3,3,17,1,stimuli/blank.png,eitel,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,1.401,,,,,,,,,1.401,1,0,4,4,8,1,stimuli/blank.png,human,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.649,,,,,,,,,0.649,1,0,5,5,3,1,stimuli/blank.png,verlogen,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.816,,,,,,,,,0.816,1,0,6,6,7,1,stimuli/blank.png,eitel,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.582,,,,,,,,,0.582,1,0,7,7,1,1,stimuli/blank.png,brutal,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.535,,,,,,,,,0.535,1,0,8,8,11,1,stimuli/blank.png,brutal,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.654,,,,,,,,,0.654,1,0,9,9,10,1,stimuli/blank.png,aktiv,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.582,,,,,,,,,0.582,1,0,10,10,6,1,stimuli/blank.png,begabt,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.769,,,,,,,,,0.769,1,0,11,11,9,1,stimuli/blank.png,lustlos,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.651,,,,,,,,,0.651,1,0,12,12,18,1,stimuli/blank.png,human,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.65,,,,,,,,,0.65,1,0,13,13,15,1,stimuli/blank.png,träge,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.616,,,,,,,,,0.616,1,0,14,14,12,1,stimuli/blank.png,fröhlich,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.55,,,,,,,,,0.55,1,0,15,15,13,1,stimuli/blank.png,verlogen,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.648,,,,,,,,,0.648,1,0,16,16,19,1,stimuli/blank.png,lustlos,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.532,,,,,,,,,0.532,1,0,17,17,2,1,stimuli/blank.png,fröhlich,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.717,,,,,,,,,0.717,1,0,18,18,14,1,stimuli/blank.png,gerecht,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.617,,,,,,,,,0.617,1,0,19,19,4,1,stimuli/blank.png,gerecht,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.925,,,,,,,,,0.925,1,0,0,0,12,1,stimuli/blank.png,ihr,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.615,,,,,,,,,0.615,1,0,1,1,14,1,stimuli/blank.png,jene,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.533,,,,,,,,,0.533,1,0,2,2,9,1,stimuli/blank.png,selbst,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.685,,,,,,,,,0.685,1,0,3,3,19,1,stimuli/blank.png,selbst,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.681,,,,,,,,,0.681,1,0,4,4,2,1,stimuli/blank.png,ihr,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.499,,,,,,,,,0.499,1,0,5,5,0,1,stimuli/blank.png,andere,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.418,,,,,,,,,0.418,1,0,6,6,11,1,stimuli/blank.png,ich,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.582,,,,,,,,,0.582,1,0,7,7,15,1,stimuli/blank.png,meine,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.433,,,,,,,,,0.433,1,0,8,8,1,1,stimuli/blank.png,ich,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.586,,,,,,,,,0.586,1,0,9,9,4,1,stimuli/blank.png,jene,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.718,,,,,,,,,0.718,1,0,10,10,7,1,stimuli/blank.png,eigene,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.565,,,,,,,,,0.565,1,0,11,11,13,1,stimuli/blank.png,mir,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.483,,,,,,,,,0.483,1,0,12,12,3,1,stimuli/blank.png,mir,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.517,,,,,,,,,0.517,1,0,13,13,5,1,stimuli/blank.png,meine,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.548,,,,,,,,,0.548,1,0,14,14,8,1,stimuli/blank.png,eure,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.435,,,,,,,,,0.435,1,0,15,15,6,1,stimuli/blank.png,euch,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,0,0.483,,,,,,,,,0.483,0,0,16,16,17,1,stimuli/blank.png,eigene,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.783,,,,,,,,,0.783,1,0,17,17,18,1,stimuli/blank.png,eure,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.531,,,,,,,,,0.531,1,0,18,18,16,1,stimuli/blank.png,euch,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.584,,,,,,,,,0.584,1,0,19,19,10,1,stimuli/blank.png,andere,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.054,,,,,,,,,1.054,1,0,0,0,11,1,stimuli/blank.png,brutal,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.666,,,,,,,,,0.666,1,0,1,1,8,1,stimuli/blank.png,eure,l,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.833,,,,,,,,,0.833,1,0,2,2,14,1,stimuli/blank.png,gerecht,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.616,,,,,,,,,0.616,1,0,3,3,9,1,stimuli/blank.png,selbst,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.666,,,,,,,,,0.666,1,0,4,4,5,1,stimuli/blank.png,meine,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.854,,,,,,,,,0.854,1,0,5,5,7,1,stimuli/blank.png,eigene,a,AD09JN,2023-08-28_09h47.15.296,openIAT,2023.1.3,Win32,59.95203837,
