instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.023148148,-0.402777778,1,0,0,instr_done_button,a,1,1.5234,,,,,,,,,1.5234,1,0,0,0,18,1,stimuli/blank.png,human,a,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,a,1,0.8644,,,,,,,,,0.8644,1,0,1,1,14,1,stimuli/blank.png,gerecht,a,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,l,1,0.8055,,,,,,,,,0.8055,1,0,2,2,11,1,stimuli/blank.png,brutal,l,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,l,1,1.1643,,,,,,,,,1.1643,1,0,3,3,7,1,stimuli/blank.png,eitel,l,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,l,1,0.7309,,,,,,,,,0.7309,1,0,4,4,1,1,stimuli/blank.png,brutal,l,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,a,1,0.7639,,,,,,,,,0.7639,1,0,5,5,16,1,stimuli/blank.png,begabt,a,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,a,1,0.7337,,,,,,,,,0.7337,1,0,6,6,0,1,stimuli/blank.png,aktiv,a,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,l,1,0.7485,,,,,,,,,0.7485,1,0,7,7,19,1,stimuli/blank.png,lustlos,l,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,l,1,0.7365,,,,,,,,,0.7365,1,0,8,8,13,1,stimuli/blank.png,verlogen,l,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
,,,,,,a,1,0.7658,,,,,,,,,0.7658,1,0,9,9,6,1,stimuli/blank.png,begabt,a,AG06DE,2023-08-06_10h10.21.256,openIAT,2023.1.3,Win32,59.45656698,
