instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.032222222,-0.398888889,1,0,0,instr_done_button,l,1,0.704,,,,,,,,,0.704,1,0,0,0,15,1,stimuli/blank.png,träge,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,1.162,,,,,,,,,1.162,1,0,1,1,18,1,stimuli/blank.png,human,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.733,,,,,,,,,0.733,1,0,2,2,14,1,stimuli/blank.png,gerecht,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.585,,,,,,,,,0.585,1,0,3,3,4,1,stimuli/blank.png,gerecht,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.637,,,,,,,,,0.637,1,0,4,4,9,1,stimuli/blank.png,lustlos,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.63,,,,,,,,,0.63,1,0,5,5,3,1,stimuli/blank.png,verlogen,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.728,,,,,,,,,0.728,1,0,6,6,0,1,stimuli/blank.png,aktiv,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.954,,,,,,,,,0.954,1,0,7,7,16,1,stimuli/blank.png,begabt,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.653,,,,,,,,,0.653,1,0,8,8,13,1,stimuli/blank.png,verlogen,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.579,,,,,,,,,0.579,1,0,9,9,10,1,stimuli/blank.png,aktiv,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.57,,,,,,,,,0.57,1,0,10,10,2,1,stimuli/blank.png,fröhlich,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.554,,,,,,,,,0.554,1,0,11,11,6,1,stimuli/blank.png,begabt,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.571,,,,,,,,,0.571,1,0,12,12,8,1,stimuli/blank.png,human,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.565,,,,,,,,,0.565,1,0,13,13,11,1,stimuli/blank.png,brutal,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.649,,,,,,,,,0.649,1,0,14,14,5,1,stimuli/blank.png,träge,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.571,,,,,,,,,0.571,1,0,15,15,1,1,stimuli/blank.png,brutal,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.635,,,,,,,,,0.635,1,0,16,16,7,1,stimuli/blank.png,eitel,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.533,,,,,,,,,0.533,1,0,17,17,12,1,stimuli/blank.png,fröhlich,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,0,0.547,,,,,,,,,0.547,0,0,18,18,17,1,stimuli/blank.png,eitel,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.604,,,,,,,,,0.604,1,0,19,19,19,1,stimuli/blank.png,lustlos,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.539,,,,,,,,,0.539,1,0,0,0,13,1,stimuli/blank.png,mir,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.682,,,,,,,,,0.682,1,0,1,1,9,1,stimuli/blank.png,selbst,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.548,,,,,,,,,0.548,1,0,2,2,0,1,stimuli/blank.png,andere,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.656,,,,,,,,,0.656,1,0,3,3,19,1,stimuli/blank.png,selbst,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.654,,,,,,,,,0.654,1,0,4,4,6,1,stimuli/blank.png,euch,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.45,,,,,,,,,0.45,1,0,5,5,16,1,stimuli/blank.png,euch,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.613,,,,,,,,,0.613,1,0,6,6,8,1,stimuli/blank.png,eure,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.654,,,,,,,,,0.654,1,0,7,7,14,1,stimuli/blank.png,jene,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.48,,,,,,,,,0.48,1,0,8,8,1,1,stimuli/blank.png,ich,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.472,,,,,,,,,0.472,1,0,9,9,15,1,stimuli/blank.png,meine,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.881,,,,,,,,,0.881,1,0,10,10,12,1,stimuli/blank.png,ihr,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.504,,,,,,,,,0.504,1,0,11,11,10,1,stimuli/blank.png,andere,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.8,,,,,,,,,0.8,1,0,12,12,3,1,stimuli/blank.png,mir,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.655,,,,,,,,,0.655,1,0,13,13,7,1,stimuli/blank.png,eigene,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.498,,,,,,,,,0.498,1,0,14,14,11,1,stimuli/blank.png,ich,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.597,,,,,,,,,0.597,1,0,15,15,17,1,stimuli/blank.png,eigene,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.405,,,,,,,,,0.405,1,0,16,16,18,1,stimuli/blank.png,eure,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.622,,,,,,,,,0.622,1,0,17,17,4,1,stimuli/blank.png,jene,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.538,,,,,,,,,0.538,1,0,18,18,2,1,stimuli/blank.png,ihr,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.609,,,,,,,,,0.609,1,0,19,19,5,1,stimuli/blank.png,meine,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.668,,,,,,,,,0.668,1,0,0,0,11,1,stimuli/blank.png,brutal,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.65,,,,,,,,,0.65,1,0,1,1,15,1,stimuli/blank.png,träge,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.732,,,,,,,,,0.732,1,0,2,2,14,1,stimuli/blank.png,gerecht,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.499,,,,,,,,,0.499,1,0,3,3,5,1,stimuli/blank.png,meine,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.616,,,,,,,,,0.616,1,0,4,4,13,1,stimuli/blank.png,verlogen,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.508,,,,,,,,,0.508,1,0,5,5,12,1,stimuli/blank.png,fröhlich,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.763,,,,,,,,,0.763,1,0,6,6,2,1,stimuli/blank.png,ihr,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.512,,,,,,,,,0.512,1,0,7,7,8,1,stimuli/blank.png,eure,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.6,,,,,,,,,0.6,1,0,8,8,16,1,stimuli/blank.png,begabt,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.529,,,,,,,,,0.529,1,0,9,9,0,1,stimuli/blank.png,andere,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.574,,,,,,,,,0.574,1,0,10,10,4,1,stimuli/blank.png,jene,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.564,,,,,,,,,0.564,1,0,11,11,17,1,stimuli/blank.png,eitel,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.548,,,,,,,,,0.548,1,0,12,12,9,1,stimuli/blank.png,selbst,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,l,1,0.516,,,,,,,,,0.516,1,0,13,13,6,1,stimuli/blank.png,euch,l,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.514,,,,,,,,,0.514,1,0,14,14,1,1,stimuli/blank.png,ich,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,a,1,0.888,,,,,,,,,0.888,1,0,15,15,7,1,stimuli/blank.png,eigene,a,AG12SE,2023-08-28_19h28.44.365,openIAT,2023.1.3,MacIntel,55.55555556,
