instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.081481481,-0.413888889,1,0,0,instr_done_button,l,1,0.91,,,,,,,,,0.91,1,0,0,0,11,1,stimuli/blank.png,brutal,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.832,,,,,,,,,0.832,1,0,1,1,18,1,stimuli/blank.png,human,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.13,,,,,,,,,1.13,1,0,2,2,7,1,stimuli/blank.png,eitel,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.657,,,,,,,,,0.657,1,0,3,3,13,1,stimuli/blank.png,verlogen,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.898,,,,,,,,,0.898,1,0,4,4,10,1,stimuli/blank.png,aktiv,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.859,,,,,,,,,0.859,1,0,5,5,6,1,stimuli/blank.png,begabt,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.699,,,,,,,,,0.699,1,0,6,6,14,1,stimuli/blank.png,gerecht,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.722,,,,,,,,,0.722,1,0,7,7,19,1,stimuli/blank.png,lustlos,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.571,,,,,,,,,0.571,1,0,8,8,9,1,stimuli/blank.png,lustlos,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.678,,,,,,,,,0.678,1,0,9,9,3,1,stimuli/blank.png,verlogen,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.672,,,,,,,,,0.672,1,0,10,10,0,1,stimuli/blank.png,aktiv,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.785,,,,,,,,,0.785,1,0,11,11,16,1,stimuli/blank.png,begabt,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.725,,,,,,,,,0.725,1,0,12,12,15,1,stimuli/blank.png,träge,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,1.002,,,,,,,,,1.002,1,0,13,13,12,1,stimuli/blank.png,fröhlich,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,1.015,,,,,,,,,1.015,1,0,14,14,4,1,stimuli/blank.png,gerecht,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.64,,,,,,,,,0.64,1,0,15,15,5,1,stimuli/blank.png,träge,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.22,,,,,,,,,1.22,1,0,16,16,1,1,stimuli/blank.png,brutal,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.093,,,,,,,,,1.093,1,0,17,17,17,1,stimuli/blank.png,eitel,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.718,,,,,,,,,0.718,1,0,18,18,8,1,stimuli/blank.png,human,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.747,,,,,,,,,0.747,1,0,19,19,2,1,stimuli/blank.png,fröhlich,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.719,,,,,,,,,0.719,1,0,0,0,19,1,stimuli/blank.png,selbst,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.073,,,,,,,,,1.073,1,0,1,1,16,1,stimuli/blank.png,euch,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.776,,,,,,,,,0.776,1,0,2,2,2,1,stimuli/blank.png,ihr,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.718,,,,,,,,,0.718,1,0,3,3,8,1,stimuli/blank.png,eure,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.013,,,,,,,,,1.013,1,0,4,4,4,1,stimuli/blank.png,jene,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.818,,,,,,,,,0.818,1,0,5,5,17,1,stimuli/blank.png,eigene,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.683,,,,,,,,,0.683,1,0,6,6,15,1,stimuli/blank.png,meine,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.666,,,,,,,,,0.666,1,0,7,7,11,1,stimuli/blank.png,ich,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.834,,,,,,,,,0.834,1,0,8,8,6,1,stimuli/blank.png,euch,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,1.188,,,,,,,,,1.188,1,0,9,9,13,1,stimuli/blank.png,mir,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,1.088,,,,,,,,,1.088,1,0,10,10,18,1,stimuli/blank.png,eure,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,0.583,,,,,,,,,0.583,1,0,11,11,1,1,stimuli/blank.png,ich,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.595,,,,,,,,,0.595,1,0,12,12,0,1,stimuli/blank.png,andere,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,a,1,1.385,,,,,,,,,1.385,1,0,13,13,7,1,stimuli/blank.png,eigene,a,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
,,,,,,l,1,0.778,,,,,,,,,0.778,1,0,14,14,14,1,stimuli/blank.png,jene,l,AN09RO,2023-08-01_22h08.10.213,openIAT,2023.1.3,Win32,59.95203837,
