instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.053333333,-0.4,1,0,0,instr_done_button,a,1,0.976,,,,,,,,,0.976,1,0,0,0,4,1,stimuli/blank.png,gerecht,a,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,1.077,,,,,,,,,1.077,1,0,1,1,18,1,stimuli/blank.png,human,a,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.662,,,,,,,,,0.662,1,0,2,2,6,1,stimuli/blank.png,begabt,a,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.498,,,,,,,,,0.498,1,0,3,3,14,1,stimuli/blank.png,gerecht,a,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,0,0.711,,,,,,,,,0.711,0,0,4,4,7,1,stimuli/blank.png,eitel,l,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.434,,,,,,,,,0.434,1,0,5,5,17,1,stimuli/blank.png,eitel,l,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.53,,,,,,,,,0.53,1,0,6,6,11,1,stimuli/blank.png,brutal,l,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.602,,,,,,,,,0.602,1,0,7,7,2,1,stimuli/blank.png,fröhlich,a,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.496,,,,,,,,,0.496,1,0,8,8,3,1,stimuli/blank.png,verlogen,l,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.383,,,,,,,,,0.383,1,0,9,9,10,1,stimuli/blank.png,aktiv,a,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.502,,,,,,,,,0.502,1,0,10,10,9,1,stimuli/blank.png,lustlos,l,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.579,,,,,,,,,0.579,1,0,11,11,1,1,stimuli/blank.png,brutal,l,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.618,,,,,,,,,0.618,1,0,12,12,15,1,stimuli/blank.png,träge,l,AN10JR,2023-08-15_00h46.49.946,openIAT,2023.1.3,MacIntel,62.5,
