instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.108796296,-0.391203704,1,0,0,instr_done_button,l,1,1.498,,,,,,,,,1.498,1,0,0,0,13,1,stimuli/blank.png,verlogen,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,1.602,,,,,,,,,1.602,1,0,1,1,5,1,stimuli/blank.png,träge,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,1.045,,,,,,,,,1.045,1,0,2,2,7,1,stimuli/blank.png,eitel,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.602,,,,,,,,,0.602,1,0,3,3,17,1,stimuli/blank.png,eitel,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.762,,,,,,,,,0.762,1,0,4,4,16,1,stimuli/blank.png,begabt,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.817,,,,,,,,,0.817,1,0,5,5,14,1,stimuli/blank.png,gerecht,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.78,,,,,,,,,0.78,1,0,6,6,6,1,stimuli/blank.png,begabt,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.716,,,,,,,,,0.716,1,0,7,7,15,1,stimuli/blank.png,träge,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.613,,,,,,,,,0.613,1,0,8,8,2,1,stimuli/blank.png,fröhlich,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.746,,,,,,,,,0.746,1,0,9,9,18,1,stimuli/blank.png,human,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.681,,,,,,,,,0.681,1,0,10,10,1,1,stimuli/blank.png,brutal,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.679,,,,,,,,,0.679,1,0,11,11,9,1,stimuli/blank.png,lustlos,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.713,,,,,,,,,0.713,1,0,12,12,3,1,stimuli/blank.png,verlogen,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.672,,,,,,,,,0.672,1,0,13,13,8,1,stimuli/blank.png,human,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.715,,,,,,,,,0.715,1,0,14,14,4,1,stimuli/blank.png,gerecht,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.563,,,,,,,,,0.563,1,0,15,15,12,1,stimuli/blank.png,fröhlich,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.569,,,,,,,,,0.569,1,0,16,16,11,1,stimuli/blank.png,brutal,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.649,,,,,,,,,0.649,1,0,17,17,10,1,stimuli/blank.png,aktiv,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.777,,,,,,,,,0.777,1,0,18,18,0,1,stimuli/blank.png,aktiv,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.595,,,,,,,,,0.595,1,0,19,19,19,1,stimuli/blank.png,lustlos,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,1.012,,,,,,,,,1.012,1,0,0,0,5,1,stimuli/blank.png,meine,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.832,,,,,,,,,0.832,1,0,1,1,14,1,stimuli/blank.png,jene,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.715,,,,,,,,,0.715,1,0,2,2,0,1,stimuli/blank.png,andere,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.451,,,,,,,,,0.451,1,0,3,3,10,1,stimuli/blank.png,andere,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.565,,,,,,,,,0.565,1,0,4,4,15,1,stimuli/blank.png,meine,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.667,,,,,,,,,0.667,1,0,5,5,13,1,stimuli/blank.png,mir,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,0,0.471,,,,,,,,,0.471,0,0,6,6,2,1,stimuli/blank.png,ihr,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.814,,,,,,,,,0.814,1,0,7,7,18,1,stimuli/blank.png,eure,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.717,,,,,,,,,0.717,1,0,8,8,7,1,stimuli/blank.png,eigene,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.818,,,,,,,,,0.818,1,0,9,9,16,1,stimuli/blank.png,euch,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.666,,,,,,,,,0.666,1,0,10,10,3,1,stimuli/blank.png,mir,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.633,,,,,,,,,0.633,1,0,11,11,19,1,stimuli/blank.png,selbst,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.609,,,,,,,,,0.609,1,0,12,12,6,1,stimuli/blank.png,euch,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.693,,,,,,,,,0.693,1,0,13,13,9,1,stimuli/blank.png,selbst,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.549,,,,,,,,,0.549,1,0,14,14,1,1,stimuli/blank.png,ich,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.78,,,,,,,,,0.78,1,0,15,15,4,1,stimuli/blank.png,jene,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.516,,,,,,,,,0.516,1,0,16,16,11,1,stimuli/blank.png,ich,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.56,,,,,,,,,0.56,1,0,17,17,8,1,stimuli/blank.png,eure,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.692,,,,,,,,,0.692,1,0,18,18,17,1,stimuli/blank.png,eigene,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.666,,,,,,,,,0.666,1,0,19,19,12,1,stimuli/blank.png,ihr,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.828,,,,,,,,,0.828,1,0,0,0,11,1,stimuli/blank.png,brutal,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.635,,,,,,,,,0.635,1,0,1,1,8,1,stimuli/blank.png,eure,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.608,,,,,,,,,0.608,1,0,2,2,6,1,stimuli/blank.png,euch,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.498,,,,,,,,,0.498,1,0,3,3,3,1,stimuli/blank.png,mir,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.605,,,,,,,,,0.605,1,0,4,4,13,1,stimuli/blank.png,verlogen,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.683,,,,,,,,,0.683,1,0,5,5,0,1,stimuli/blank.png,andere,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.59,,,,,,,,,0.59,1,0,6,6,9,1,stimuli/blank.png,selbst,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.731,,,,,,,,,0.731,1,0,7,7,10,1,stimuli/blank.png,aktiv,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.565,,,,,,,,,0.565,1,0,8,8,1,1,stimuli/blank.png,ich,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.616,,,,,,,,,0.616,1,0,9,9,18,1,stimuli/blank.png,human,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,0,0.486,,,,,,,,,0.486,0,0,10,10,14,1,stimuli/blank.png,gerecht,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.965,,,,,,,,,0.965,1,0,11,11,15,1,stimuli/blank.png,träge,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.653,,,,,,,,,0.653,1,0,12,12,2,1,stimuli/blank.png,ihr,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.647,,,,,,,,,0.647,1,0,13,13,4,1,stimuli/blank.png,jene,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.652,,,,,,,,,0.652,1,0,14,14,19,1,stimuli/blank.png,lustlos,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.615,,,,,,,,,0.615,1,0,15,15,5,1,stimuli/blank.png,meine,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.565,,,,,,,,,0.565,1,0,16,16,7,1,stimuli/blank.png,eigene,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.722,,,,,,,,,0.722,1,0,17,17,16,1,stimuli/blank.png,begabt,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.629,,,,,,,,,0.629,1,0,18,18,12,1,stimuli/blank.png,fröhlich,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,0,0.644,,,,,,,,,0.644,0,0,19,19,17,1,stimuli/blank.png,eitel,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.769,,,,,,,,,0.769,1,0,0,0,11,1,stimuli/blank.png,brutal,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.702,,,,,,,,,0.702,1,0,1,1,2,1,stimuli/blank.png,ihr,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.947,,,,,,,,,0.947,1,0,2,2,27,1,stimuli/blank.png,eigene,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.934,,,,,,,,,0.934,1,0,3,3,15,1,stimuli/blank.png,träge,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.746,,,,,,,,,0.746,1,0,4,4,37,1,stimuli/blank.png,eitel,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.597,,,,,,,,,0.597,1,0,5,5,13,1,stimuli/blank.png,verlogen,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.712,,,,,,,,,0.712,1,0,6,6,34,1,stimuli/blank.png,gerecht,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.843,,,,,,,,,0.843,1,0,7,7,25,1,stimuli/blank.png,meine,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.544,,,,,,,,,0.544,1,0,8,8,9,1,stimuli/blank.png,selbst,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.549,,,,,,,,,0.549,1,0,9,9,30,1,stimuli/blank.png,aktiv,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.6,,,,,,,,,0.6,1,0,10,10,7,1,stimuli/blank.png,eigene,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,0,0.549,,,,,,,,,0.549,0,0,11,11,22,1,stimuli/blank.png,ihr,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.595,,,,,,,,,0.595,1,0,12,12,10,1,stimuli/blank.png,aktiv,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.762,,,,,,,,,0.762,1,0,13,13,17,1,stimuli/blank.png,eitel,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.713,,,,,,,,,0.713,1,0,14,14,4,1,stimuli/blank.png,jene,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.696,,,,,,,,,0.696,1,0,15,15,1,1,stimuli/blank.png,ich,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.813,,,,,,,,,0.813,1,0,16,16,5,1,stimuli/blank.png,meine,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.632,,,,,,,,,0.632,1,0,17,17,35,1,stimuli/blank.png,träge,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.644,,,,,,,,,0.644,1,0,18,18,12,1,stimuli/blank.png,fröhlich,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.695,,,,,,,,,0.695,1,0,19,19,33,1,stimuli/blank.png,verlogen,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.75,,,,,,,,,0.75,1,0,20,20,28,1,stimuli/blank.png,eure,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,0.662,,,,,,,,,0.662,1,0,21,21,16,1,stimuli/blank.png,begabt,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,a,1,1.211,,,,,,,,,1.211,1,0,22,22,29,1,stimuli/blank.png,selbst,a,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.693,,,,,,,,,0.693,1,0,23,23,20,1,stimuli/blank.png,andere,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.728,,,,,,,,,0.728,1,0,24,24,6,1,stimuli/blank.png,euch,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
,,,,,,l,1,0.452,,,,,,,,,0.452,1,0,25,25,26,1,stimuli/blank.png,euch,l,BA03RG,2023-08-03_19h55.27.660,openIAT,2023.1.3,Win32,60.09615385,
