instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.031111111,-0.401111111,1,0,0,instr_done_button,l,1,1.238,,,,,,,,,1.238,1,0,0,0,1,1,stimuli/blank.png,brutal,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.413,,,,,,,,,0.413,1,0,1,1,8,1,stimuli/blank.png,human,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.914,,,,,,,,,0.914,1,0,2,2,16,1,stimuli/blank.png,begabt,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.746,,,,,,,,,0.746,1,0,3,3,18,1,stimuli/blank.png,human,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.722,,,,,,,,,0.722,1,0,4,4,10,1,stimuli/blank.png,aktiv,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.684,,,,,,,,,0.684,1,0,5,5,19,1,stimuli/blank.png,lustlos,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.716,,,,,,,,,0.716,1,0,6,6,15,1,stimuli/blank.png,träge,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,0,0.581,,,,,,,,,0.581,0,0,7,7,17,1,stimuli/blank.png,eitel,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,1.017,,,,,,,,,1.017,1,0,8,8,14,1,stimuli/blank.png,gerecht,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.737,,,,,,,,,0.737,1,0,9,9,3,1,stimuli/blank.png,verlogen,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.678,,,,,,,,,0.678,1,0,10,10,6,1,stimuli/blank.png,begabt,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.632,,,,,,,,,0.632,1,0,11,11,5,1,stimuli/blank.png,träge,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.579,,,,,,,,,0.579,1,0,12,12,0,1,stimuli/blank.png,aktiv,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.595,,,,,,,,,0.595,1,0,13,13,2,1,stimuli/blank.png,fröhlich,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.479,,,,,,,,,0.479,1,0,14,14,9,1,stimuli/blank.png,lustlos,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.668,,,,,,,,,0.668,1,0,15,15,4,1,stimuli/blank.png,gerecht,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.567,,,,,,,,,0.567,1,0,16,16,12,1,stimuli/blank.png,fröhlich,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,0,0.796,,,,,,,,,0.796,0,0,17,17,7,1,stimuli/blank.png,eitel,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,1.081,,,,,,,,,1.081,1,0,18,18,13,1,stimuli/blank.png,verlogen,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.904,,,,,,,,,0.904,1,0,19,19,11,1,stimuli/blank.png,brutal,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,1.091,,,,,,,,,1.091,1,0,0,0,12,1,stimuli/blank.png,ihr,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.696,,,,,,,,,0.696,1,0,1,1,17,1,stimuli/blank.png,eigene,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.963,,,,,,,,,0.963,1,0,2,2,14,1,stimuli/blank.png,jene,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.696,,,,,,,,,0.696,1,0,3,3,6,1,stimuli/blank.png,euch,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.6,,,,,,,,,0.6,1,0,4,4,5,1,stimuli/blank.png,meine,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.555,,,,,,,,,0.555,1,0,5,5,18,1,stimuli/blank.png,eure,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.712,,,,,,,,,0.712,1,0,6,6,9,1,stimuli/blank.png,selbst,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.649,,,,,,,,,0.649,1,0,7,7,11,1,stimuli/blank.png,ich,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.664,,,,,,,,,0.664,1,0,8,8,19,1,stimuli/blank.png,selbst,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.579,,,,,,,,,0.579,1,0,9,9,16,1,stimuli/blank.png,euch,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.598,,,,,,,,,0.598,1,0,10,10,13,1,stimuli/blank.png,mir,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.587,,,,,,,,,0.587,1,0,11,11,7,1,stimuli/blank.png,eigene,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.623,,,,,,,,,0.623,1,0,12,12,3,1,stimuli/blank.png,mir,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.503,,,,,,,,,0.503,1,0,13,13,10,1,stimuli/blank.png,andere,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.562,,,,,,,,,0.562,1,0,14,14,15,1,stimuli/blank.png,meine,a,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.523,,,,,,,,,0.523,1,0,15,15,8,1,stimuli/blank.png,eure,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,0,0.555,,,,,,,,,0.555,0,0,16,16,2,1,stimuli/blank.png,ihr,l,BT08RL,2023-08-16_16h41.38.950,openIAT,2023.1.3,MacIntel,62.5,
