instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.007407407,-0.407407407,1,0,0,instr_done_button,a,1,1.065,,,,,,,,,1.065,1,0,0,0,12,1,stimuli/blank.png,fröhlich,a,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,a,1,0.752,,,,,,,,,0.752,1,0,1,1,4,1,stimuli/blank.png,gerecht,a,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,a,1,0.656,,,,,,,,,0.656,1,0,2,2,16,1,stimuli/blank.png,begabt,a,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,l,1,0.749,,,,,,,,,0.749,1,0,3,3,15,1,stimuli/blank.png,träge,l,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,l,1,0.684,,,,,,,,,0.684,1,0,4,4,11,1,stimuli/blank.png,brutal,l,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,l,1,0.748,,,,,,,,,0.748,1,0,5,5,13,1,stimuli/blank.png,verlogen,l,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,a,1,0.616,,,,,,,,,0.616,1,0,6,6,10,1,stimuli/blank.png,aktiv,a,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,l,1,0.908,,,,,,,,,0.908,1,0,7,7,19,1,stimuli/blank.png,lustlos,l,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,a,1,0.733,,,,,,,,,0.733,1,0,8,8,6,1,stimuli/blank.png,begabt,a,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
,,,,,,a,1,0.697,,,,,,,,,0.697,1,0,9,9,2,1,stimuli/blank.png,fröhlich,a,CA06FI,2023-08-14_12h08.44.804,openIAT,2023.1.3,Win32,119.9040767,
