instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.076822917,-0.41796875,1,0,0,instr_done_button,l,1,1.0897,,,,,,,,,1.0897,1,0,0,0,19,1,stimuli/blank.png,lustlos,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,a,1,0.7485,,,,,,,,,0.7485,1,0,1,1,16,1,stimuli/blank.png,begabt,a,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,a,1,0.7382,,,,,,,,,0.7382,1,0,2,2,14,1,stimuli/blank.png,gerecht,a,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,a,1,0.6233,,,,,,,,,0.6233,1,0,3,3,6,1,stimuli/blank.png,begabt,a,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,l,1,0.8822,,,,,,,,,0.8822,1,0,4,4,7,1,stimuli/blank.png,eitel,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,l,1,0.682,,,,,,,,,0.682,1,0,5,5,13,1,stimuli/blank.png,verlogen,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,a,1,0.6326,,,,,,,,,0.6326,1,0,6,6,0,1,stimuli/blank.png,aktiv,a,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,l,1,0.6326,,,,,,,,,0.6326,1,0,7,7,1,1,stimuli/blank.png,brutal,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,a,1,0.6248,,,,,,,,,0.6248,1,0,8,8,4,1,stimuli/blank.png,gerecht,a,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,l,1,0.6158,,,,,,,,,0.6158,1,0,9,9,17,1,stimuli/blank.png,eitel,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,l,1,0.6315,,,,,,,,,0.6315,1,0,10,10,5,1,stimuli/blank.png,träge,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,a,1,0.5834,,,,,,,,,0.5834,1,0,11,11,12,1,stimuli/blank.png,fröhlich,a,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,a,1,0.8823,,,,,,,,,0.8823,1,0,12,12,18,1,stimuli/blank.png,human,a,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,l,1,0.5823,,,,,,,,,0.5823,1,0,13,13,15,1,stimuli/blank.png,träge,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,l,1,0.6478,,,,,,,,,0.6478,1,0,14,14,11,1,stimuli/blank.png,brutal,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,a,1,0.6157,,,,,,,,,0.6157,1,0,15,15,2,1,stimuli/blank.png,fröhlich,a,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
,,,,,,l,1,0.6019,,,,,,,,,0.6019,1,0,16,16,9,1,stimuli/blank.png,lustlos,l,DR02RL,2023-08-20_17h20.02.891,openIAT,2023.1.3,Win32,59.89458553,
