instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.045504386,-0.394736842,1,0,0,instr_done_button,l,1,0.7786,,,,,,,,,0.7786,1,0,0,0,19,1,stimuli/blank.png,lustlos,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.6186,,,,,,,,,0.6186,1,0,1,1,5,1,stimuli/blank.png,träge,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.7515,,,,,,,,,0.7515,1,0,2,2,8,1,stimuli/blank.png,human,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5842,,,,,,,,,0.5842,1,0,3,3,4,1,stimuli/blank.png,gerecht,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.6015,,,,,,,,,0.6015,1,0,4,4,13,1,stimuli/blank.png,verlogen,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.5854,,,,,,,,,0.5854,1,0,5,5,3,1,stimuli/blank.png,verlogen,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5019,,,,,,,,,0.5019,1,0,6,6,12,1,stimuli/blank.png,fröhlich,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5844,,,,,,,,,0.5844,1,0,7,7,14,1,stimuli/blank.png,gerecht,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5854,,,,,,,,,0.5854,1,0,8,8,16,1,stimuli/blank.png,begabt,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.5997,,,,,,,,,0.5997,1,0,9,9,15,1,stimuli/blank.png,träge,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,0,0.5181,,,,,,,,,0.5181,0,0,10,10,11,1,stimuli/blank.png,brutal,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,0,0.7008,,,,,,,,,0.7008,0,0,11,11,17,1,stimuli/blank.png,eitel,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.7185,,,,,,,,,0.7185,1,0,12,12,1,1,stimuli/blank.png,brutal,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.7182,,,,,,,,,0.7182,1,0,13,13,7,1,stimuli/blank.png,eitel,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.651,,,,,,,,,0.651,1,0,14,14,18,1,stimuli/blank.png,human,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.4682,,,,,,,,,0.4682,1,0,15,15,10,1,stimuli/blank.png,aktiv,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5183,,,,,,,,,0.5183,1,0,16,16,2,1,stimuli/blank.png,fröhlich,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.8017,,,,,,,,,0.8017,1,0,17,17,6,1,stimuli/blank.png,begabt,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.602,,,,,,,,,0.602,1,0,18,18,0,1,stimuli/blank.png,aktiv,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.5917,,,,,,,,,0.5917,1,0,19,19,9,1,stimuli/blank.png,lustlos,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.6722,,,,,,,,,0.6722,1,0,0,0,18,1,stimuli/blank.png,eure,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5181,,,,,,,,,0.5181,1,0,1,1,11,1,stimuli/blank.png,ich,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.4188,,,,,,,,,0.4188,1,0,2,2,10,1,stimuli/blank.png,andere,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5188,,,,,,,,,0.5188,1,0,3,3,15,1,stimuli/blank.png,meine,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.7183,,,,,,,,,0.7183,1,0,4,4,12,1,stimuli/blank.png,ihr,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.6346,,,,,,,,,0.6346,1,0,5,5,5,1,stimuli/blank.png,meine,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.6013,,,,,,,,,0.6013,1,0,6,6,1,1,stimuli/blank.png,ich,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.5518,,,,,,,,,0.5518,1,0,7,7,0,1,stimuli/blank.png,andere,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.7848,,,,,,,,,0.7848,1,0,8,8,14,1,stimuli/blank.png,jene,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.4524,,,,,,,,,0.4524,1,0,9,9,4,1,stimuli/blank.png,jene,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.4833,,,,,,,,,0.4833,1,0,10,10,13,1,stimuli/blank.png,mir,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.6344,,,,,,,,,0.6344,1,0,11,11,17,1,stimuli/blank.png,eigene,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.7571,,,,,,,,,0.7571,1,0,12,12,7,1,stimuli/blank.png,eigene,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5178,,,,,,,,,0.5178,1,0,13,13,19,1,stimuli/blank.png,selbst,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.5506,,,,,,,,,0.5506,1,0,14,14,8,1,stimuli/blank.png,eure,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.5332,,,,,,,,,0.5332,1,0,15,15,3,1,stimuli/blank.png,mir,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.684,,,,,,,,,0.684,1,0,16,16,2,1,stimuli/blank.png,ihr,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.7173,,,,,,,,,0.7173,1,0,17,17,6,1,stimuli/blank.png,euch,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.417,,,,,,,,,0.417,1,0,18,18,16,1,stimuli/blank.png,euch,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,a,1,0.586,,,,,,,,,0.586,1,0,19,19,9,1,stimuli/blank.png,selbst,a,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
,,,,,,l,1,0.5559,,,,,,,,,0.5559,1,0,0,0,8,1,stimuli/blank.png,eure,l,DR10AD,2023-08-15_12h37.49.069,openIAT,2023.1.3,Win32,58.71645822,
