instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.054629644,-0.408333319,1,0,0,instr_done_button,a,1,1.4769,,,,,,,,,1.4769,1,0,0,0,10,1,stimuli/blank.png,aktiv,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.9938,,,,,,,,,0.9938,1,0,1,1,13,1,stimuli/blank.png,verlogen,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,1.2669,,,,,,,,,1.2669,1,0,2,2,15,1,stimuli/blank.png,träge,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.6818,,,,,,,,,0.6818,1,0,3,3,16,1,stimuli/blank.png,begabt,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,1.0149,,,,,,,,,1.0149,1,0,4,4,9,1,stimuli/blank.png,lustlos,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.7546,,,,,,,,,0.7546,1,0,5,5,3,1,stimuli/blank.png,verlogen,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.6134,,,,,,,,,0.6134,1,0,6,6,6,1,stimuli/blank.png,begabt,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.8126,,,,,,,,,0.8126,1,0,7,7,18,1,stimuli/blank.png,human,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.6351,,,,,,,,,0.6351,1,0,8,8,14,1,stimuli/blank.png,gerecht,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.9028,,,,,,,,,0.9028,1,0,9,9,4,1,stimuli/blank.png,gerecht,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,1.0834,,,,,,,,,1.0834,1,0,10,10,17,1,stimuli/blank.png,eitel,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.8123,,,,,,,,,0.8123,1,0,11,11,19,1,stimuli/blank.png,lustlos,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.6817,,,,,,,,,0.6817,1,0,12,12,12,1,stimuli/blank.png,fröhlich,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.762,,,,,,,,,0.762,1,0,13,13,8,1,stimuli/blank.png,human,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.7566,,,,,,,,,0.7566,1,0,14,14,2,1,stimuli/blank.png,fröhlich,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.5791,,,,,,,,,0.5791,1,0,15,15,1,1,stimuli/blank.png,brutal,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.4706,,,,,,,,,0.4706,1,0,16,16,11,1,stimuli/blank.png,brutal,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.7522,,,,,,,,,0.7522,1,0,17,17,5,1,stimuli/blank.png,träge,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.6182,,,,,,,,,0.6182,1,0,18,18,7,1,stimuli/blank.png,eitel,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.4966,,,,,,,,,0.4966,1,0,19,19,0,1,stimuli/blank.png,aktiv,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,1.2622,,,,,,,,,1.2622,1,0,0,0,6,1,stimuli/blank.png,euch,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.5213,,,,,,,,,0.5213,1,0,1,1,18,1,stimuli/blank.png,eure,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.5902,,,,,,,,,0.5902,1,0,2,2,17,1,stimuli/blank.png,eigene,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.5994,,,,,,,,,0.5994,1,0,3,3,10,1,stimuli/blank.png,andere,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,l,1,0.7073,,,,,,,,,0.7073,1,0,4,4,14,1,stimuli/blank.png,jene,l,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.4832,,,,,,,,,0.4832,1,0,5,5,13,1,stimuli/blank.png,mir,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.5212,,,,,,,,,0.5212,1,0,6,6,15,1,stimuli/blank.png,meine,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.5554,,,,,,,,,0.5554,1,0,7,7,9,1,stimuli/blank.png,selbst,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
,,,,,,a,1,0.4464,,,,,,,,,0.4464,1,0,8,8,11,1,stimuli/blank.png,ich,a,FH01FO,2023-08-26_15h02.17.271,openIAT,2023.1.3,Win32,60.21194605,
