instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.052777778,-0.398611111,1,0,0,instr_done_button,a,1,0.789,,,,,,,,,0.789,1,0,0,0,2,1,stimuli/blank.png,fröhlich,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.698,,,,,,,,,0.698,1,0,1,1,5,1,stimuli/blank.png,träge,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.48,,,,,,,,,0.48,1,0,2,2,0,1,stimuli/blank.png,aktiv,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.49,,,,,,,,,0.49,1,0,3,3,11,1,stimuli/blank.png,brutal,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.515,,,,,,,,,0.515,1,0,4,4,12,1,stimuli/blank.png,fröhlich,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.698,,,,,,,,,0.698,1,0,5,5,18,1,stimuli/blank.png,human,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.635,,,,,,,,,0.635,1,0,6,6,4,1,stimuli/blank.png,gerecht,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.571,,,,,,,,,0.571,1,0,7,7,15,1,stimuli/blank.png,träge,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.615,,,,,,,,,0.615,1,0,8,8,9,1,stimuli/blank.png,lustlos,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.551,,,,,,,,,0.551,1,0,9,9,3,1,stimuli/blank.png,verlogen,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.513,,,,,,,,,0.513,1,0,10,10,1,1,stimuli/blank.png,brutal,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.498,,,,,,,,,0.498,1,0,11,11,19,1,stimuli/blank.png,lustlos,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.67,,,,,,,,,0.67,1,0,12,12,14,1,stimuli/blank.png,gerecht,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,0,0.8,,,,,,,,,0.8,0,0,13,13,7,1,stimuli/blank.png,eitel,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.751,,,,,,,,,0.751,1,0,14,14,8,1,stimuli/blank.png,human,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.613,,,,,,,,,0.613,1,0,15,15,6,1,stimuli/blank.png,begabt,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.767,,,,,,,,,0.767,1,0,16,16,17,1,stimuli/blank.png,eitel,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.585,,,,,,,,,0.585,1,0,17,17,13,1,stimuli/blank.png,verlogen,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.606,,,,,,,,,0.606,1,0,18,18,16,1,stimuli/blank.png,begabt,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.552,,,,,,,,,0.552,1,0,19,19,10,1,stimuli/blank.png,aktiv,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,1.179,,,,,,,,,1.179,1,0,0,0,12,1,stimuli/blank.png,ihr,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.655,,,,,,,,,0.655,1,0,1,1,17,1,stimuli/blank.png,eigene,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.585,,,,,,,,,0.585,1,0,2,2,18,1,stimuli/blank.png,eure,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.663,,,,,,,,,0.663,1,0,3,3,7,1,stimuli/blank.png,eigene,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.499,,,,,,,,,0.499,1,0,4,4,11,1,stimuli/blank.png,ich,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.564,,,,,,,,,0.564,1,0,5,5,9,1,stimuli/blank.png,selbst,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.565,,,,,,,,,0.565,1,0,6,6,8,1,stimuli/blank.png,eure,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.514,,,,,,,,,0.514,1,0,7,7,15,1,stimuli/blank.png,meine,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.582,,,,,,,,,0.582,1,0,8,8,2,1,stimuli/blank.png,ihr,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.553,,,,,,,,,0.553,1,0,9,9,3,1,stimuli/blank.png,mir,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.615,,,,,,,,,0.615,1,0,10,10,19,1,stimuli/blank.png,selbst,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.502,,,,,,,,,0.502,1,0,11,11,1,1,stimuli/blank.png,ich,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.595,,,,,,,,,0.595,1,0,12,12,4,1,stimuli/blank.png,jene,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.549,,,,,,,,,0.549,1,0,13,13,10,1,stimuli/blank.png,andere,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.497,,,,,,,,,0.497,1,0,14,14,5,1,stimuli/blank.png,meine,a,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.615,,,,,,,,,0.615,1,0,15,15,16,1,stimuli/blank.png,euch,l,HI09HR,2023-08-09_20h28.40.046,openIAT,2023.1.3,Win32,60.0240096,
