instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.033854167,-0.401041667,1,0,0,instr_done_button,l,1,0.8927,,,,,,,,,0.8927,1,0,0,0,13,1,stimuli/blank.png,verlogen,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,1.4712,,,,,,,,,1.4712,1,0,1,1,18,1,stimuli/blank.png,human,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.6505,,,,,,,,,0.6505,1,0,2,2,8,1,stimuli/blank.png,human,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5071,,,,,,,,,0.5071,1,0,3,3,0,1,stimuli/blank.png,aktiv,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5039,,,,,,,,,0.5039,1,0,4,4,16,1,stimuli/blank.png,begabt,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.508,,,,,,,,,0.508,1,0,5,5,17,1,stimuli/blank.png,eitel,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5062,,,,,,,,,0.5062,1,0,6,6,4,1,stimuli/blank.png,gerecht,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,0,0.3813,,,,,,,,,0.3813,0,0,7,7,12,1,stimuli/blank.png,fröhlich,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.8486,,,,,,,,,0.8486,1,0,8,8,19,1,stimuli/blank.png,lustlos,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.5546,,,,,,,,,0.5546,1,0,9,9,3,1,stimuli/blank.png,verlogen,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5819,,,,,,,,,0.5819,1,0,10,10,6,1,stimuli/blank.png,begabt,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.7155,,,,,,,,,0.7155,1,0,11,11,1,1,stimuli/blank.png,brutal,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.5701,,,,,,,,,0.5701,1,0,12,12,9,1,stimuli/blank.png,lustlos,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5655,,,,,,,,,0.5655,1,0,13,13,2,1,stimuli/blank.png,fröhlich,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.529,,,,,,,,,0.529,1,0,14,14,7,1,stimuli/blank.png,eitel,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.9116,,,,,,,,,0.9116,1,0,15,15,5,1,stimuli/blank.png,träge,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5146,,,,,,,,,0.5146,1,0,16,16,14,1,stimuli/blank.png,gerecht,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.568,,,,,,,,,0.568,1,0,17,17,10,1,stimuli/blank.png,aktiv,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.8009,,,,,,,,,0.8009,1,0,18,18,11,1,stimuli/blank.png,brutal,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.8463,,,,,,,,,0.8463,1,0,19,19,15,1,stimuli/blank.png,träge,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,1.1521,,,,,,,,,1.1521,1,0,0,0,7,1,stimuli/blank.png,eigene,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.5285,,,,,,,,,0.5285,1,0,1,1,18,1,stimuli/blank.png,eure,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5196,,,,,,,,,0.5196,1,0,2,2,17,1,stimuli/blank.png,eigene,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5196,,,,,,,,,0.5196,1,0,3,3,13,1,stimuli/blank.png,mir,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,0,0.497,,,,,,,,,0.497,0,0,4,4,0,1,stimuli/blank.png,andere,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.8308,,,,,,,,,0.8308,1,0,5,5,9,1,stimuli/blank.png,selbst,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.4316,,,,,,,,,0.4316,1,0,6,6,11,1,stimuli/blank.png,ich,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.4771,,,,,,,,,0.4771,1,0,7,7,4,1,stimuli/blank.png,jene,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5308,,,,,,,,,0.5308,1,0,8,8,5,1,stimuli/blank.png,meine,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.4651,,,,,,,,,0.4651,1,0,9,9,1,1,stimuli/blank.png,ich,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.5638,,,,,,,,,0.5638,1,0,10,10,10,1,stimuli/blank.png,andere,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.6467,,,,,,,,,0.6467,1,0,11,11,8,1,stimuli/blank.png,eure,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.5149,,,,,,,,,0.5149,1,0,12,12,6,1,stimuli/blank.png,euch,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5471,,,,,,,,,0.5471,1,0,13,13,19,1,stimuli/blank.png,selbst,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.5148,,,,,,,,,0.5148,1,0,14,14,2,1,stimuli/blank.png,ihr,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.5531,,,,,,,,,0.5531,1,0,15,15,16,1,stimuli/blank.png,euch,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.5336,,,,,,,,,0.5336,1,0,16,16,14,1,stimuli/blank.png,jene,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5549,,,,,,,,,0.5549,1,0,17,17,15,1,stimuli/blank.png,meine,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,0,0.4155,,,,,,,,,0.4155,0,0,18,18,12,1,stimuli/blank.png,ihr,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.7499,,,,,,,,,0.7499,1,0,19,19,3,1,stimuli/blank.png,mir,a,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.7682,,,,,,,,,0.7682,1,0,0,0,13,1,stimuli/blank.png,verlogen,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.4642,,,,,,,,,0.4642,1,0,1,1,11,1,stimuli/blank.png,brutal,l,KR09AE,2023-08-10_20h32.45.828,openIAT,2023.1.3,Win32,60.13590715,
