instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.178179825,-0.124451754,0,0,0,a,1,0.7944,,,,,,,,,0.7944,1,0,0,0,16,1,stimuli/blank.png,begabt,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6497,,,,,,,,,0.6497,1,0,1,1,4,1,stimuli/blank.png,gerecht,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5638,,,,,,,,,0.5638,1,0,2,2,1,1,stimuli/blank.png,brutal,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6631,,,,,,,,,0.6631,1,0,3,3,13,1,stimuli/blank.png,verlogen,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5806,,,,,,,,,0.5806,1,0,4,4,12,1,stimuli/blank.png,fröhlich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,0,0.5292,,,,,,,,,0.5292,0,0,5,5,19,1,stimuli/blank.png,lustlos,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.8167,,,,,,,,,0.8167,1,0,6,6,11,1,stimuli/blank.png,brutal,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.8469,,,,,,,,,0.8469,1,0,7,7,18,1,stimuli/blank.png,human,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,0,0.5487,,,,,,,,,0.5487,0,0,8,8,15,1,stimuli/blank.png,träge,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6695,,,,,,,,,0.6695,1,0,9,9,5,1,stimuli/blank.png,träge,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.8135,,,,,,,,,0.8135,1,0,10,10,10,1,stimuli/blank.png,aktiv,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5526,,,,,,,,,0.5526,1,0,11,11,3,1,stimuli/blank.png,verlogen,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.9481,,,,,,,,,0.9481,1,0,12,12,7,1,stimuli/blank.png,eitel,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5643,,,,,,,,,0.5643,1,0,13,13,0,1,stimuli/blank.png,aktiv,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6309,,,,,,,,,0.6309,1,0,14,14,9,1,stimuli/blank.png,lustlos,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
