instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.052910053,-0.403703704,1,0,0,instr_done_button,a,1,1.214,,,,,,,,,1.214,1,0,0,0,18,1,stimuli/blank.png,human,a,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,l,1,0.77,,,,,,,,,0.77,1,0,1,1,17,1,stimuli/blank.png,eitel,l,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,l,1,0.68,,,,,,,,,0.68,1,0,2,2,1,1,stimuli/blank.png,brutal,l,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,a,1,0.533,,,,,,,,,0.533,1,0,3,3,10,1,stimuli/blank.png,aktiv,a,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,a,1,0.693,,,,,,,,,0.693,1,0,4,4,8,1,stimuli/blank.png,human,a,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,a,1,0.623,,,,,,,,,0.623,1,0,5,5,14,1,stimuli/blank.png,gerecht,a,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,a,1,0.502,,,,,,,,,0.502,1,0,6,6,0,1,stimuli/blank.png,aktiv,a,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,l,1,0.505,,,,,,,,,0.505,1,0,7,7,9,1,stimuli/blank.png,lustlos,l,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,l,1,0.456,,,,,,,,,0.456,1,0,8,8,19,1,stimuli/blank.png,lustlos,l,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,a,1,0.484,,,,,,,,,0.484,1,0,9,9,4,1,stimuli/blank.png,gerecht,a,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
,,,,,,l,0,0.489,,,,,,,,,0.489,0,0,10,10,16,1,stimuli/blank.png,begabt,a,ML07SE,2023-08-28_10h58.28.086,openIAT,2023.1.3,MacIntel,250,
