instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.08,-0.386666667,1,0,0,instr_done_button,a,1,1.217,,,,,,,,,1.217,1,0,0,0,2,1,stimuli/blank.png,fröhlich,a,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.977,,,,,,,,,0.977,1,0,1,1,11,1,stimuli/blank.png,brutal,l,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.998,,,,,,,,,0.998,1,0,2,2,10,1,stimuli/blank.png,aktiv,a,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.475,,,,,,,,,1.475,1,0,3,3,19,1,stimuli/blank.png,lustlos,l,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.845,,,,,,,,,0.845,1,0,4,4,1,1,stimuli/blank.png,brutal,l,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.964,,,,,,,,,0.964,1,0,5,5,16,1,stimuli/blank.png,begabt,a,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.795,,,,,,,,,0.795,1,0,6,6,4,1,stimuli/blank.png,gerecht,a,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.644,,,,,,,,,0.644,1,0,7,7,0,1,stimuli/blank.png,aktiv,a,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.37,,,,,,,,,1.37,1,0,8,8,13,1,stimuli/blank.png,verlogen,l,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,2.476,,,,,,,,,2.476,0,0,9,9,17,1,stimuli/blank.png,eitel,l,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,2.328,,,,,,,,,2.328,1,0,10,10,18,1,stimuli/blank.png,human,a,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.72,,,,,,,,,0.72,1,0,11,11,6,1,stimuli/blank.png,begabt,a,MR03TO,2023-08-05_00h30.37.134,openIAT,2023.1.3,MacIntel,58.82352941,
