instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.083333333,-0.405555556,1,0,0,instr_done_button,l,1,2.792,,,,,,,,,2.792,1,0,0,0,17,1,stimuli/blank.png,eitel,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.899,,,,,,,,,0.899,1,0,1,1,15,1,stimuli/blank.png,träge,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.643,,,,,,,,,0.643,1,0,2,2,12,1,stimuli/blank.png,fröhlich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.51,,,,,,,,,0.51,1,0,3,3,0,1,stimuli/blank.png,aktiv,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.453,,,,,,,,,0.453,0,0,4,4,9,1,stimuli/blank.png,lustlos,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.681,,,,,,,,,0.681,1,0,5,5,10,1,stimuli/blank.png,aktiv,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.414,,,,,,,,,0.414,0,0,6,6,5,1,stimuli/blank.png,träge,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.399,,,,,,,,,0.399,1,0,7,7,14,1,stimuli/blank.png,gerecht,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,2.248,,,,,,,,,2.248,1,0,8,8,16,1,stimuli/blank.png,begabt,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.925,,,,,,,,,0.925,1,0,9,9,18,1,stimuli/blank.png,human,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.665,,,,,,,,,0.665,1,0,10,10,6,1,stimuli/blank.png,begabt,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.631,,,,,,,,,0.631,1,0,11,11,1,1,stimuli/blank.png,brutal,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.688,,,,,,,,,0.688,1,0,12,12,8,1,stimuli/blank.png,human,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.666,,,,,,,,,0.666,1,0,13,13,11,1,stimuli/blank.png,brutal,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.814,,,,,,,,,0.814,1,0,14,14,4,1,stimuli/blank.png,gerecht,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.978,,,,,,,,,0.978,1,0,15,15,13,1,stimuli/blank.png,verlogen,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.547,,,,,,,,,0.547,1,0,16,16,19,1,stimuli/blank.png,lustlos,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.515,,,,,,,,,0.515,1,0,17,17,3,1,stimuli/blank.png,verlogen,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.5,,,,,,,,,0.5,1,0,18,18,2,1,stimuli/blank.png,fröhlich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.57,,,,,,,,,0.57,1,0,19,19,7,1,stimuli/blank.png,eitel,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.277,,,,,,,,,1.277,1,0,0,0,15,1,stimuli/blank.png,meine,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.735,,,,,,,,,0.735,0,0,1,1,10,1,stimuli/blank.png,andere,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.811,,,,,,,,,0.811,1,0,2,2,13,1,stimuli/blank.png,mir,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.531,,,,,,,,,0.531,1,0,3,3,1,1,stimuli/blank.png,ich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.545,,,,,,,,,0.545,1,0,4,4,18,1,stimuli/blank.png,eure,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.437,,,,,,,,,0.437,1,0,5,5,0,1,stimuli/blank.png,andere,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.398,,,,,,,,,0.398,1,0,6,6,5,1,stimuli/blank.png,meine,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.351,,,,,,,,,0.351,0,0,7,7,8,1,stimuli/blank.png,eure,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.998,,,,,,,,,0.998,1,0,8,8,14,1,stimuli/blank.png,jene,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,2.235,,,,,,,,,2.235,0,0,9,9,17,1,stimuli/blank.png,eigene,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.667,,,,,,,,,0.667,1,0,10,10,9,1,stimuli/blank.png,selbst,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.244,,,,,,,,,1.244,1,0,11,11,6,1,stimuli/blank.png,euch,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.526,,,,,,,,,0.526,1,0,12,12,16,1,stimuli/blank.png,euch,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.635,,,,,,,,,0.635,1,0,13,13,19,1,stimuli/blank.png,selbst,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.57,,,,,,,,,0.57,1,0,14,14,2,1,stimuli/blank.png,ihr,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.767,,,,,,,,,0.767,1,0,15,15,4,1,stimuli/blank.png,jene,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,0.766,,,,,,,,,0.766,0,0,16,16,7,1,stimuli/blank.png,eigene,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.087,,,,,,,,,1.087,1,0,17,17,12,1,stimuli/blank.png,ihr,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.518,,,,,,,,,0.518,1,0,18,18,11,1,stimuli/blank.png,ich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.511,,,,,,,,,0.511,1,0,19,19,3,1,stimuli/blank.png,mir,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.619,,,,,,,,,1.619,1,0,0,0,0,1,stimuli/blank.png,andere,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.838,,,,,,,,,0.838,1,0,1,1,15,1,stimuli/blank.png,träge,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.55,,,,,,,,,0.55,1,0,2,2,3,1,stimuli/blank.png,mir,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.531,,,,,,,,,0.531,1,0,3,3,5,1,stimuli/blank.png,meine,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.53,,,,,,,,,0.53,1,0,4,4,8,1,stimuli/blank.png,eure,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.88,,,,,,,,,0.88,1,0,5,5,16,1,stimuli/blank.png,begabt,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.582,,,,,,,,,0.582,1,0,6,6,19,1,stimuli/blank.png,lustlos,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.696,,,,,,,,,0.696,1,0,7,7,4,1,stimuli/blank.png,jene,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.532,,,,,,,,,0.532,1,0,8,8,12,1,stimuli/blank.png,fröhlich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.617,,,,,,,,,0.617,1,0,9,9,2,1,stimuli/blank.png,ihr,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.48,,,,,,,,,0.48,1,0,10,10,10,1,stimuli/blank.png,aktiv,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,0.634,,,,,,,,,0.634,0,0,11,11,7,1,stimuli/blank.png,eigene,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.796,,,,,,,,,0.796,1,0,12,12,18,1,stimuli/blank.png,human,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.645,,,,,,,,,0.645,1,0,13,13,13,1,stimuli/blank.png,verlogen,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.796,,,,,,,,,0.796,1,0,14,14,11,1,stimuli/blank.png,brutal,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.151,,,,,,,,,1.151,1,0,15,15,9,1,stimuli/blank.png,selbst,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.673,,,,,,,,,0.673,1,0,16,16,17,1,stimuli/blank.png,eitel,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.732,,,,,,,,,0.732,1,0,17,17,14,1,stimuli/blank.png,gerecht,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.534,,,,,,,,,0.534,1,0,18,18,1,1,stimuli/blank.png,ich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.599,,,,,,,,,0.599,1,0,19,19,6,1,stimuli/blank.png,euch,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.631,,,,,,,,,0.631,1,0,0,0,33,1,stimuli/blank.png,verlogen,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.77,,,,,,,,,0.77,1,0,1,1,36,1,stimuli/blank.png,begabt,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.578,,,,,,,,,0.578,1,0,2,2,28,1,stimuli/blank.png,eure,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.764,,,,,,,,,0.764,1,0,3,3,35,1,stimuli/blank.png,träge,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.615,,,,,,,,,0.615,1,0,4,4,37,1,stimuli/blank.png,eitel,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.564,,,,,,,,,0.564,1,0,5,5,30,1,stimuli/blank.png,aktiv,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.549,,,,,,,,,0.549,1,0,6,6,20,1,stimuli/blank.png,andere,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,0.365,,,,,,,,,0.365,0,0,7,7,9,1,stimuli/blank.png,selbst,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.687,,,,,,,,,0.687,1,0,8,8,27,1,stimuli/blank.png,eigene,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,0.532,,,,,,,,,0.532,0,0,9,9,16,1,stimuli/blank.png,begabt,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.965,,,,,,,,,0.965,1,0,10,10,25,1,stimuli/blank.png,meine,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.512,,,,,,,,,0.512,1,0,11,11,32,1,stimuli/blank.png,fröhlich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.682,,,,,,,,,0.682,1,0,12,12,4,1,stimuli/blank.png,jene,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.619,,,,,,,,,0.619,1,0,13,13,5,1,stimuli/blank.png,meine,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.366,,,,,,,,,0.366,0,0,14,14,17,1,stimuli/blank.png,eitel,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.583,,,,,,,,,0.583,1,0,15,15,7,1,stimuli/blank.png,eigene,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.499,,,,,,,,,0.499,1,0,16,16,21,1,stimuli/blank.png,ich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.777,,,,,,,,,0.777,1,0,17,17,19,1,stimuli/blank.png,lustlos,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.649,,,,,,,,,0.649,1,0,18,18,22,1,stimuli/blank.png,ihr,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.469,,,,,,,,,0.469,1,0,19,19,1,1,stimuli/blank.png,ich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,1.296,,,,,,,,,1.296,0,0,20,20,34,1,stimuli/blank.png,gerecht,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.995,,,,,,,,,0.995,1,0,21,21,15,1,stimuli/blank.png,träge,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.049,,,,,,,,,1.049,1,0,22,22,6,1,stimuli/blank.png,euch,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.629,,,,,,,,,0.629,1,0,23,23,13,1,stimuli/blank.png,verlogen,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.517,,,,,,,,,0.517,1,0,24,24,38,1,stimuli/blank.png,human,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.567,,,,,,,,,0.567,1,0,25,25,29,1,stimuli/blank.png,selbst,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,0.814,,,,,,,,,0.814,0,0,26,26,18,1,stimuli/blank.png,human,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.597,,,,,,,,,0.597,1,0,27,27,26,1,stimuli/blank.png,euch,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.614,,,,,,,,,0.614,1,0,28,28,31,1,stimuli/blank.png,brutal,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.398,,,,,,,,,0.398,1,0,29,29,39,1,stimuli/blank.png,lustlos,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.46,,,,,,,,,0.46,1,0,30,30,14,1,stimuli/blank.png,gerecht,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.419,,,,,,,,,0.419,1,0,31,31,24,1,stimuli/blank.png,jene,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.532,,,,,,,,,0.532,1,0,32,32,3,1,stimuli/blank.png,mir,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.532,,,,,,,,,0.532,1,0,33,33,12,1,stimuli/blank.png,fröhlich,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.484,,,,,,,,,0.484,1,0,34,34,11,1,stimuli/blank.png,brutal,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.765,,,,,,,,,0.765,0,0,35,35,2,1,stimuli/blank.png,ihr,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.384,,,,,,,,,0.384,1,0,36,36,0,1,stimuli/blank.png,andere,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.43,,,,,,,,,0.43,1,0,37,37,8,1,stimuli/blank.png,eure,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.565,,,,,,,,,0.565,1,0,38,38,10,1,stimuli/blank.png,aktiv,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.716,,,,,,,,,0.716,1,0,39,39,23,1,stimuli/blank.png,mir,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.872,,,,,,,,,0.872,1,0,0,0,4,1,stimuli/blank.png,jene,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.516,,,,,,,,,0.516,1,0,1,1,15,1,stimuli/blank.png,meine,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.466,,,,,,,,,0.466,0,0,2,2,17,1,stimuli/blank.png,eigene,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.733,,,,,,,,,0.733,1,0,3,3,2,1,stimuli/blank.png,ihr,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.101,,,,,,,,,1.101,1,0,4,4,6,1,stimuli/blank.png,euch,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.603,,,,,,,,,0.603,1,0,5,5,12,1,stimuli/blank.png,ihr,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.262,,,,,,,,,1.262,1,0,6,6,0,1,stimuli/blank.png,andere,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.564,,,,,,,,,0.564,1,0,7,7,8,1,stimuli/blank.png,eure,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.545,,,,,,,,,0.545,1,0,8,8,10,1,stimuli/blank.png,andere,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.598,,,,,,,,,0.598,1,0,9,9,9,1,stimuli/blank.png,selbst,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.331,,,,,,,,,0.331,1,0,10,10,16,1,stimuli/blank.png,euch,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.543,,,,,,,,,0.543,1,0,11,11,1,1,stimuli/blank.png,ich,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.333,,,,,,,,,0.333,0,0,12,12,7,1,stimuli/blank.png,eigene,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.732,,,,,,,,,0.732,1,0,13,13,14,1,stimuli/blank.png,jene,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.479,,,,,,,,,0.479,0,0,14,14,3,1,stimuli/blank.png,mir,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.551,,,,,,,,,0.551,1,0,15,15,13,1,stimuli/blank.png,mir,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.537,,,,,,,,,0.537,1,0,16,16,5,1,stimuli/blank.png,meine,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.582,,,,,,,,,0.582,1,0,17,17,18,1,stimuli/blank.png,eure,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.666,,,,,,,,,0.666,1,0,18,18,19,1,stimuli/blank.png,selbst,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.429,,,,,,,,,0.429,1,0,19,19,11,1,stimuli/blank.png,ich,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.877,,,,,,,,,1.877,1,0,0,0,2,1,stimuli/blank.png,ihr,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.102,,,,,,,,,1.102,1,0,1,1,3,1,stimuli/blank.png,mir,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,0.647,,,,,,,,,0.647,0,0,2,2,10,1,stimuli/blank.png,aktiv,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.998,,,,,,,,,0.998,1,0,3,3,11,1,stimuli/blank.png,brutal,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.07,,,,,,,,,1.07,1,0,4,4,0,1,stimuli/blank.png,andere,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.651,,,,,,,,,0.651,1,0,5,5,4,1,stimuli/blank.png,jene,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.677,,,,,,,,,0.677,1,0,6,6,6,1,stimuli/blank.png,euch,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.761,,,,,,,,,0.761,1,0,7,7,1,1,stimuli/blank.png,ich,l,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.315,,,,,,,,,1.315,1,0,8,8,16,1,stimuli/blank.png,begabt,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,0,0.697,,,,,,,,,0.697,0,0,9,9,18,1,stimuli/blank.png,human,a,MR06WL,2023-08-07_09h37.54.247,openIAT,2023.1.3,MacIntel,58.82352941,
