instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.023148148,-0.408333333,1,0,0,instr_done_button,l,1,2.605,,,,,,,,,2.605,1,0,0,0,1,1,stimuli/blank.png,brutal,l,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,3.82,,,,,,,,,3.82,1,0,1,1,4,1,stimuli/blank.png,gerecht,a,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,1.698,,,,,,,,,1.698,1,0,2,2,9,1,stimuli/blank.png,lustlos,l,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.816,,,,,,,,,0.816,1,0,3,3,10,1,stimuli/blank.png,aktiv,a,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,1.198,,,,,,,,,1.198,1,0,4,4,5,1,stimuli/blank.png,träge,l,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,1.652,,,,,,,,,1.652,1,0,5,5,17,1,stimuli/blank.png,eitel,l,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,1.047,,,,,,,,,1.047,1,0,6,6,0,1,stimuli/blank.png,aktiv,a,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.883,,,,,,,,,0.883,1,0,7,7,6,1,stimuli/blank.png,begabt,a,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,1.419,,,,,,,,,1.419,1,0,8,8,15,1,stimuli/blank.png,träge,l,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.982,,,,,,,,,0.982,1,0,9,9,7,1,stimuli/blank.png,eitel,l,OG01SR,2023-08-06_21h41.17.697,openIAT,2023.1.3,Win32,60.0240096,
