instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.091666667,-0.401851852,1,0,0,instr_done_button,l,1,1.2368,,,,,,,,,1.2368,1,0,0,0,17,1,stimuli/blank.png,eitel,l,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,l,1,1.4944,,,,,,,,,1.4944,1,0,1,1,7,1,stimuli/blank.png,eitel,l,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,a,1,0.9024,,,,,,,,,0.9024,1,0,2,2,14,1,stimuli/blank.png,gerecht,a,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,l,1,1.001,,,,,,,,,1.001,1,0,3,3,1,1,stimuli/blank.png,brutal,l,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,a,1,0.8126,,,,,,,,,0.8126,1,0,4,4,2,1,stimuli/blank.png,fröhlich,a,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,l,0,1.0271,,,,,,,,,1.0271,0,0,5,5,16,1,stimuli/blank.png,begabt,a,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,a,1,2.1747,,,,,,,,,2.1747,1,0,6,6,4,1,stimuli/blank.png,gerecht,a,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,a,1,1.0397,,,,,,,,,1.0397,1,0,7,7,12,1,stimuli/blank.png,fröhlich,a,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,a,1,1.2314,,,,,,,,,1.2314,1,0,8,8,6,1,stimuli/blank.png,begabt,a,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,a,1,0.8996,,,,,,,,,0.8996,1,0,9,9,10,1,stimuli/blank.png,aktiv,a,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,l,1,0.8827,,,,,,,,,0.8827,1,0,10,10,11,1,stimuli/blank.png,brutal,l,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,l,1,1.002,,,,,,,,,1.002,1,0,11,11,3,1,stimuli/blank.png,verlogen,l,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
,,,,,,a,1,0.9443,,,,,,,,,0.9443,1,0,12,12,18,1,stimuli/blank.png,human,a,RT11AM,2023-07-31_11h08.57.177,openIAT,2023.1.3,Win32,49.98250612,
