instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.016666667,-0.397777778,1,0,0,instr_done_button,a,1,1.906,,,,,,,,,1.906,1,0,0,0,4,1,stimuli/blank.png,gerecht,a,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.899,,,,,,,,,0.899,1,0,1,1,5,1,stimuli/blank.png,träge,l,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.762,,,,,,,,,0.762,1,0,2,2,0,1,stimuli/blank.png,aktiv,a,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,1.195,,,,,,,,,1.195,1,0,3,3,11,1,stimuli/blank.png,brutal,l,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,0,0.794,,,,,,,,,0.794,0,0,4,4,9,1,stimuli/blank.png,lustlos,l,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.734,,,,,,,,,0.734,1,0,5,5,12,1,stimuli/blank.png,fröhlich,a,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.717,,,,,,,,,0.717,1,0,6,6,2,1,stimuli/blank.png,fröhlich,a,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.617,,,,,,,,,0.617,1,0,7,7,3,1,stimuli/blank.png,verlogen,l,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.998,,,,,,,,,0.998,1,0,8,8,17,1,stimuli/blank.png,eitel,l,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,l,1,0.601,,,,,,,,,0.601,1,0,9,9,13,1,stimuli/blank.png,verlogen,l,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.8,,,,,,,,,0.8,1,0,10,10,6,1,stimuli/blank.png,begabt,a,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.722,,,,,,,,,0.722,1,0,11,11,14,1,stimuli/blank.png,gerecht,a,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,1,0.582,,,,,,,,,0.582,1,0,12,12,10,1,stimuli/blank.png,aktiv,a,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
,,,,,,a,0,0.596,,,,,,,,,0.596,0,0,13,13,7,1,stimuli/blank.png,eitel,l,SL03TO,2023-08-05_14h48.25.422,openIAT,2023.1.3,MacIntel,62.5,
