instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.1875,-0.3625,1,0,0,instr_done_button,l,1,2.623,,,,,,,,,2.623,1,0,0,0,3,1,stimuli/blank.png,verlogen,l,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,1.129,,,,,,,,,1.129,1,0,1,1,19,1,stimuli/blank.png,lustlos,l,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.548,,,,,,,,,0.548,1,0,2,2,2,1,stimuli/blank.png,fröhlich,a,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.697,,,,,,,,,0.697,1,0,3,3,4,1,stimuli/blank.png,gerecht,a,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.549,,,,,,,,,0.549,1,0,4,4,12,1,stimuli/blank.png,fröhlich,a,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.723,,,,,,,,,0.723,1,0,5,5,14,1,stimuli/blank.png,gerecht,a,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.647,,,,,,,,,0.647,1,0,6,6,16,1,stimuli/blank.png,begabt,a,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,l,1,0.531,,,,,,,,,0.531,1,0,7,7,9,1,stimuli/blank.png,lustlos,l,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.73,,,,,,,,,0.73,1,0,8,8,10,1,stimuli/blank.png,aktiv,a,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
,,,,,,a,1,0.735,,,,,,,,,0.735,1,0,9,9,0,1,stimuli/blank.png,aktiv,a,SM02RU,2023-08-07_14h53.59.023,openIAT,2023.1.3,Win32,60.0240096,
