instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.013888889,-0.397222236,1,0,0,instr_done_button,a,1,1.4252,,,,,,,,,1.4252,1,0,0,0,8,1,stimuli/blank.png,human,a,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.561,,,,,,,,,0.561,1,0,1,1,12,1,stimuli/blank.png,fröhlich,a,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.7136,,,,,,,,,0.7136,1,0,2,2,5,1,stimuli/blank.png,träge,l,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.5176,,,,,,,,,0.5176,1,0,3,3,10,1,stimuli/blank.png,aktiv,a,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.4986,,,,,,,,,0.4986,1,0,4,4,18,1,stimuli/blank.png,human,a,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,a,1,0.6948,,,,,,,,,0.6948,1,0,5,5,16,1,stimuli/blank.png,begabt,a,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.3962,,,,,,,,,0.3962,1,0,6,6,15,1,stimuli/blank.png,träge,l,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.4963,,,,,,,,,0.4963,1,0,7,7,3,1,stimuli/blank.png,verlogen,l,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.4415,,,,,,,,,0.4415,1,0,8,8,19,1,stimuli/blank.png,lustlos,l,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.3829,,,,,,,,,0.3829,1,0,9,9,13,1,stimuli/blank.png,verlogen,l,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.4851,,,,,,,,,0.4851,1,0,10,10,17,1,stimuli/blank.png,eitel,l,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,0,0.5029,,,,,,,,,0.5029,0,0,11,11,14,1,stimuli/blank.png,gerecht,a,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
,,,,,,l,1,0.6462,,,,,,,,,0.6462,1,0,12,12,1,1,stimuli/blank.png,brutal,l,SM06HN,2023-08-11_20h44.03.385,openIAT,2023.1.3,Win32,60.13590715,
