instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.04,-0.374444444,1,0,0,instr_done_button,l,1,0.956,,,,,,,,,0.956,1,0,0,0,5,1,stimuli/blank.png,träge,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.729,,,,,,,,,0.729,1,0,1,1,0,1,stimuli/blank.png,aktiv,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.07,,,,,,,,,1.07,1,0,2,2,18,1,stimuli/blank.png,human,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.679,,,,,,,,,0.679,1,0,3,3,15,1,stimuli/blank.png,träge,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.748,,,,,,,,,0.748,0,0,4,4,17,1,stimuli/blank.png,eitel,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,1.172,,,,,,,,,1.172,1,0,5,5,6,1,stimuli/blank.png,begabt,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.737,,,,,,,,,0.737,1,0,6,6,4,1,stimuli/blank.png,gerecht,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.788,,,,,,,,,0.788,1,0,7,7,16,1,stimuli/blank.png,begabt,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.688,,,,,,,,,0.688,1,0,8,8,7,1,stimuli/blank.png,eitel,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.855,,,,,,,,,0.855,1,0,9,9,13,1,stimuli/blank.png,verlogen,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.516,,,,,,,,,0.516,1,0,10,10,3,1,stimuli/blank.png,verlogen,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.629,,,,,,,,,0.629,1,0,11,11,19,1,stimuli/blank.png,lustlos,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.735,,,,,,,,,0.735,1,0,12,12,14,1,stimuli/blank.png,gerecht,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.718,,,,,,,,,0.718,1,0,13,13,9,1,stimuli/blank.png,lustlos,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.74,,,,,,,,,0.74,1,0,14,14,11,1,stimuli/blank.png,brutal,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.616,,,,,,,,,0.616,1,0,15,15,8,1,stimuli/blank.png,human,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.732,,,,,,,,,0.732,1,0,16,16,12,1,stimuli/blank.png,fröhlich,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.757,,,,,,,,,0.757,1,0,17,17,2,1,stimuli/blank.png,fröhlich,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.716,,,,,,,,,0.716,1,0,18,18,1,1,stimuli/blank.png,brutal,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.7,,,,,,,,,0.7,1,0,19,19,10,1,stimuli/blank.png,aktiv,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.658,,,,,,,,,0.658,1,0,0,0,1,1,stimuli/blank.png,ich,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.729,,,,,,,,,0.729,1,0,1,1,6,1,stimuli/blank.png,euch,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.599,,,,,,,,,0.599,1,0,2,2,5,1,stimuli/blank.png,meine,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.656,,,,,,,,,0.656,1,0,3,3,14,1,stimuli/blank.png,jene,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.634,,,,,,,,,0.634,1,0,4,4,17,1,stimuli/blank.png,eigene,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.548,,,,,,,,,0.548,1,0,5,5,3,1,stimuli/blank.png,mir,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.581,,,,,,,,,0.581,1,0,6,6,15,1,stimuli/blank.png,meine,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.528,,,,,,,,,0.528,1,0,7,7,8,1,stimuli/blank.png,eure,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.475,,,,,,,,,0.475,1,0,8,8,18,1,stimuli/blank.png,eure,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.866,,,,,,,,,0.866,1,0,9,9,7,1,stimuli/blank.png,eigene,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.454,,,,,,,,,0.454,1,0,10,10,0,1,stimuli/blank.png,andere,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.526,,,,,,,,,0.526,1,0,11,11,10,1,stimuli/blank.png,andere,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.749,,,,,,,,,0.749,1,0,12,12,4,1,stimuli/blank.png,jene,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.506,,,,,,,,,0.506,1,0,13,13,16,1,stimuli/blank.png,euch,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.663,,,,,,,,,0.663,1,0,14,14,19,1,stimuli/blank.png,selbst,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.672,,,,,,,,,0.672,1,0,15,15,12,1,stimuli/blank.png,ihr,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.481,,,,,,,,,0.481,1,0,16,16,9,1,stimuli/blank.png,selbst,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.462,,,,,,,,,0.462,1,0,17,17,11,1,stimuli/blank.png,ich,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.588,,,,,,,,,0.588,1,0,18,18,2,1,stimuli/blank.png,ihr,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.548,,,,,,,,,0.548,1,0,19,19,13,1,stimuli/blank.png,mir,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.776,,,,,,,,,0.776,1,0,0,0,4,1,stimuli/blank.png,jene,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.755,,,,,,,,,0.755,1,0,1,1,17,1,stimuli/blank.png,eitel,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.771,,,,,,,,,0.771,1,0,2,2,5,1,stimuli/blank.png,meine,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.897,,,,,,,,,0.897,1,0,3,3,7,1,stimuli/blank.png,eigene,a,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.68,,,,,,,,,0.68,1,0,4,4,8,1,stimuli/blank.png,eure,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.654,,,,,,,,,0.654,1,0,5,5,11,1,stimuli/blank.png,brutal,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.871,,,,,,,,,0.871,1,0,6,6,0,1,stimuli/blank.png,andere,l,SS01OI,2023-08-19_10h11.06.997,openIAT,2023.1.3,MacIntel,58.82352941,
