instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.047222208,-0.387037065,1,0,0,instr_done_button,a,1,0.8779,,,,,,,,,0.8779,1,0,0,0,16,1,stimuli/blank.png,begabt,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.8097,,,,,,,,,0.8097,1,0,1,1,15,1,stimuli/blank.png,träge,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,0,0.6746,,,,,,,,,0.6746,0,0,2,2,7,1,stimuli/blank.png,eitel,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,0,0.5403,,,,,,,,,0.5403,0,0,3,3,17,1,stimuli/blank.png,eitel,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.9844,,,,,,,,,0.9844,1,0,4,4,10,1,stimuli/blank.png,aktiv,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.6689,,,,,,,,,0.6689,1,0,5,5,14,1,stimuli/blank.png,gerecht,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.7736,,,,,,,,,0.7736,1,0,6,6,8,1,stimuli/blank.png,human,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5552,,,,,,,,,0.5552,1,0,7,7,3,1,stimuli/blank.png,verlogen,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.5509,,,,,,,,,0.5509,1,0,8,8,0,1,stimuli/blank.png,aktiv,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.7383,,,,,,,,,0.7383,1,0,9,9,9,1,stimuli/blank.png,lustlos,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.5568,,,,,,,,,0.5568,1,0,10,10,12,1,stimuli/blank.png,fröhlich,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5529,,,,,,,,,0.5529,1,0,11,11,5,1,stimuli/blank.png,träge,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.6346,,,,,,,,,0.6346,1,0,12,12,6,1,stimuli/blank.png,begabt,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.7178,,,,,,,,,0.7178,1,0,13,13,19,1,stimuli/blank.png,lustlos,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.7511,,,,,,,,,0.7511,1,0,14,14,11,1,stimuli/blank.png,brutal,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5521,,,,,,,,,0.5521,1,0,15,15,13,1,stimuli/blank.png,verlogen,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5183,,,,,,,,,0.5183,1,0,16,16,1,1,stimuli/blank.png,brutal,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.5547,,,,,,,,,0.5547,1,0,17,17,18,1,stimuli/blank.png,human,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.5841,,,,,,,,,0.5841,1,0,18,18,4,1,stimuli/blank.png,gerecht,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.552,,,,,,,,,0.552,1,0,19,19,2,1,stimuli/blank.png,fröhlich,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.7933,,,,,,,,,0.7933,1,0,0,0,15,1,stimuli/blank.png,meine,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.593,,,,,,,,,0.593,1,0,1,1,13,1,stimuli/blank.png,mir,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.4549,,,,,,,,,0.4549,1,0,2,2,0,1,stimuli/blank.png,andere,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.4994,,,,,,,,,0.4994,1,0,3,3,5,1,stimuli/blank.png,meine,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5717,,,,,,,,,0.5717,1,0,4,4,12,1,stimuli/blank.png,ihr,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5842,,,,,,,,,0.5842,1,0,5,5,16,1,stimuli/blank.png,euch,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.5361,,,,,,,,,0.5361,1,0,6,6,1,1,stimuli/blank.png,ich,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.7568,,,,,,,,,0.7568,1,0,7,7,4,1,stimuli/blank.png,jene,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.4906,,,,,,,,,0.4906,1,0,8,8,17,1,stimuli/blank.png,eigene,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.5682,,,,,,,,,0.5682,1,0,9,9,11,1,stimuli/blank.png,ich,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.6011,,,,,,,,,0.6011,1,0,10,10,9,1,stimuli/blank.png,selbst,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5346,,,,,,,,,0.5346,1,0,11,11,6,1,stimuli/blank.png,euch,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,0,0.5107,,,,,,,,,0.5107,0,0,12,12,2,1,stimuli/blank.png,ihr,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.6317,,,,,,,,,0.6317,1,0,13,13,3,1,stimuli/blank.png,mir,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5348,,,,,,,,,0.5348,1,0,14,14,8,1,stimuli/blank.png,eure,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5642,,,,,,,,,0.5642,1,0,15,15,10,1,stimuli/blank.png,andere,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.5962,,,,,,,,,0.5962,1,0,16,16,7,1,stimuli/blank.png,eigene,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5968,,,,,,,,,0.5968,1,0,17,17,14,1,stimuli/blank.png,jene,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,a,1,0.612,,,,,,,,,0.612,1,0,18,18,19,1,stimuli/blank.png,selbst,a,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.5816,,,,,,,,,0.5816,1,0,19,19,18,1,stimuli/blank.png,eure,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
,,,,,,l,1,0.6608,,,,,,,,,0.6608,1,0,0,0,8,1,stimuli/blank.png,eure,l,SS12GA,2023-08-06_21h35.02.730,openIAT,2023.1.3,Win32,59.4848611,
