instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.011111111,-0.412037065,1,0,0,instr_done_button,a,1,1.0573,,,,,,,,,1.0573,1,0,0,0,8,1,stimuli/blank.png,human,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,1.0174,,,,,,,,,1.0174,1,0,1,1,18,1,stimuli/blank.png,human,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.8829,,,,,,,,,0.8829,1,0,2,2,3,1,stimuli/blank.png,verlogen,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,1.0107,,,,,,,,,1.0107,1,0,3,3,6,1,stimuli/blank.png,begabt,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,1.2374,,,,,,,,,1.2374,1,0,4,4,19,1,stimuli/blank.png,lustlos,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.7608,,,,,,,,,0.7608,1,0,5,5,5,1,stimuli/blank.png,träge,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.646,,,,,,,,,0.646,1,0,6,6,13,1,stimuli/blank.png,verlogen,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.813,,,,,,,,,0.813,1,0,7,7,1,1,stimuli/blank.png,brutal,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.9016,,,,,,,,,0.9016,1,0,8,8,4,1,stimuli/blank.png,gerecht,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,0,0.612,,,,,,,,,0.612,0,0,9,9,16,1,stimuli/blank.png,begabt,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,1.3455,,,,,,,,,1.3455,1,0,10,10,9,1,stimuli/blank.png,lustlos,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,3.4042,,,,,,,,,3.4042,1,0,11,11,0,1,stimuli/blank.png,aktiv,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.6617,,,,,,,,,0.6617,1,0,12,12,14,1,stimuli/blank.png,gerecht,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.6883,,,,,,,,,0.6883,1,0,13,13,11,1,stimuli/blank.png,brutal,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.6982,,,,,,,,,0.6982,1,0,14,14,12,1,stimuli/blank.png,fröhlich,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.9624,,,,,,,,,0.9624,1,0,15,15,15,1,stimuli/blank.png,träge,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.7838,,,,,,,,,0.7838,1,0,16,16,2,1,stimuli/blank.png,fröhlich,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.5879,,,,,,,,,0.5879,1,0,17,17,10,1,stimuli/blank.png,aktiv,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,1.4802,,,,,,,,,1.4802,1,0,18,18,17,1,stimuli/blank.png,eitel,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.8727,,,,,,,,,0.8727,1,0,19,19,7,1,stimuli/blank.png,eitel,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,1.3572,,,,,,,,,1.3572,1,0,0,0,8,1,stimuli/blank.png,eure,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,1.5681,,,,,,,,,1.5681,1,0,1,1,7,1,stimuli/blank.png,eigene,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,2.2106,,,,,,,,,2.2106,1,0,2,2,1,1,stimuli/blank.png,ich,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,1.796,,,,,,,,,1.796,1,0,3,3,6,1,stimuli/blank.png,euch,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,2.1984,,,,,,,,,2.1984,1,0,4,4,12,1,stimuli/blank.png,ihr,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,1.1282,,,,,,,,,1.1282,1,0,5,5,5,1,stimuli/blank.png,meine,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,1.0616,,,,,,,,,1.0616,1,0,6,6,2,1,stimuli/blank.png,ihr,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,1.1842,,,,,,,,,1.1842,1,0,7,7,11,1,stimuli/blank.png,ich,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.781,,,,,,,,,0.781,1,0,8,8,13,1,stimuli/blank.png,mir,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.7484,,,,,,,,,0.7484,1,0,9,9,15,1,stimuli/blank.png,meine,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.7827,,,,,,,,,0.7827,1,0,10,10,0,1,stimuli/blank.png,andere,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.646,,,,,,,,,0.646,1,0,11,11,17,1,stimuli/blank.png,eigene,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.6158,,,,,,,,,0.6158,1,0,12,12,19,1,stimuli/blank.png,selbst,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.7785,,,,,,,,,0.7785,1,0,13,13,10,1,stimuli/blank.png,andere,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.9018,,,,,,,,,0.9018,1,0,14,14,14,1,stimuli/blank.png,jene,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,1.0111,,,,,,,,,1.0111,1,0,15,15,9,1,stimuli/blank.png,selbst,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.7346,,,,,,,,,0.7346,1,0,16,16,16,1,stimuli/blank.png,euch,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,0,0.9644,,,,,,,,,0.9644,0,0,17,17,18,1,stimuli/blank.png,eure,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,1.3449,,,,,,,,,1.3449,1,0,18,18,4,1,stimuli/blank.png,jene,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.5195,,,,,,,,,0.5195,1,0,19,19,3,1,stimuli/blank.png,mir,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.8585,,,,,,,,,0.8585,1,0,0,0,12,1,stimuli/blank.png,fröhlich,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.6282,,,,,,,,,0.6282,1,0,1,1,13,1,stimuli/blank.png,verlogen,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.8061,,,,,,,,,0.8061,1,0,2,2,6,1,stimuli/blank.png,euch,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.8015,,,,,,,,,0.8015,1,0,3,3,17,1,stimuli/blank.png,eitel,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,0,0.9137,,,,,,,,,0.9137,0,0,4,4,14,1,stimuli/blank.png,gerecht,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.802,,,,,,,,,0.802,1,0,5,5,11,1,stimuli/blank.png,brutal,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.6201,,,,,,,,,0.6201,1,0,6,6,9,1,stimuli/blank.png,selbst,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.6864,,,,,,,,,0.6864,1,0,7,7,1,1,stimuli/blank.png,ich,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.8211,,,,,,,,,0.8211,1,0,8,8,2,1,stimuli/blank.png,ihr,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,1.5948,,,,,,,,,1.5948,1,0,9,9,10,1,stimuli/blank.png,aktiv,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.6459,,,,,,,,,0.6459,1,0,10,10,7,1,stimuli/blank.png,eigene,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.8123,,,,,,,,,0.8123,1,0,11,11,16,1,stimuli/blank.png,begabt,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.804,,,,,,,,,0.804,1,0,12,12,18,1,stimuli/blank.png,human,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.7301,,,,,,,,,0.7301,1,0,13,13,19,1,stimuli/blank.png,lustlos,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.8347,,,,,,,,,0.8347,1,0,14,14,3,1,stimuli/blank.png,mir,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.7478,,,,,,,,,0.7478,1,0,15,15,15,1,stimuli/blank.png,träge,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,l,1,0.7527,,,,,,,,,0.7527,1,0,16,16,4,1,stimuli/blank.png,jene,l,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
,,,,,,a,1,0.6692,,,,,,,,,0.6692,1,0,17,17,5,1,stimuli/blank.png,meine,a,TN10HL!,2023-08-21_10h36.58.147,openIAT,2023.1.3,Win32,60.04563468,
