instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.048888889,-0.393333333,1,0,0,instr_done_button,l,1,1.576,,,,,,,,,1.576,1,0,0,0,15,1,stimuli/blank.png,träge,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.927,,,,,,,,,0.927,1,0,1,1,4,1,stimuli/blank.png,gerecht,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.661,,,,,,,,,0.661,1,0,2,2,3,1,stimuli/blank.png,verlogen,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.498,,,,,,,,,0.498,1,0,3,3,6,1,stimuli/blank.png,begabt,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.527,,,,,,,,,0.527,1,0,4,4,5,1,stimuli/blank.png,träge,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.795,,,,,,,,,0.795,1,0,5,5,14,1,stimuli/blank.png,gerecht,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.843,,,,,,,,,0.843,1,0,6,6,9,1,stimuli/blank.png,lustlos,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.785,,,,,,,,,0.785,1,0,7,7,11,1,stimuli/blank.png,brutal,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.719,,,,,,,,,0.719,1,0,8,8,0,1,stimuli/blank.png,aktiv,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.713,,,,,,,,,0.713,1,0,9,9,19,1,stimuli/blank.png,lustlos,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.477,,,,,,,,,0.477,1,0,10,10,10,1,stimuli/blank.png,aktiv,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.945,,,,,,,,,0.945,1,0,11,11,18,1,stimuli/blank.png,human,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.517,,,,,,,,,0.517,1,0,12,12,8,1,stimuli/blank.png,human,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.679,,,,,,,,,0.679,1,0,13,13,16,1,stimuli/blank.png,begabt,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,0.578,,,,,,,,,0.578,1,0,14,14,13,1,stimuli/blank.png,verlogen,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.011,,,,,,,,,1.011,1,0,15,15,17,1,stimuli/blank.png,eitel,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.661,,,,,,,,,0.661,1,0,16,16,2,1,stimuli/blank.png,fröhlich,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,1,0.917,,,,,,,,,0.917,1,0,17,17,12,1,stimuli/blank.png,fröhlich,a,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,a,0,0.563,,,,,,,,,0.563,0,0,18,18,7,1,stimuli/blank.png,eitel,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.069,,,,,,,,,1.069,1,0,19,19,1,1,stimuli/blank.png,brutal,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
,,,,,,l,1,1.156,,,,,,,,,1.156,1,0,0,0,12,1,stimuli/blank.png,ihr,l,UE06UR,2023-08-13_23h06.25.538,openIAT,2023.1.3,MacIntel,58.82352941,
