instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.07127193,-0.408442982,1,0,0,instr_done_button,l,1,1.6679,,,,,,,,,1.6679,1,0,0,0,13,1,stimuli/blank.png,verlogen,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,1.5008,,,,,,,,,1.5008,1,0,1,1,18,1,stimuli/blank.png,human,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,l,1,1.1683,,,,,,,,,1.1683,1,0,2,2,17,1,stimuli/blank.png,eitel,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,l,1,1.4545,,,,,,,,,1.4545,1,0,3,3,9,1,stimuli/blank.png,lustlos,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,l,1,0.6514,,,,,,,,,0.6514,1,0,4,4,19,1,stimuli/blank.png,lustlos,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,1.2184,,,,,,,,,1.2184,1,0,5,5,16,1,stimuli/blank.png,begabt,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,1.1867,,,,,,,,,1.1867,1,0,6,6,14,1,stimuli/blank.png,gerecht,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,l,1,0.9679,,,,,,,,,0.9679,1,0,7,7,1,1,stimuli/blank.png,brutal,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,0.9178,,,,,,,,,0.9178,1,0,8,8,2,1,stimuli/blank.png,fröhlich,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,0.9838,,,,,,,,,0.9838,1,0,9,9,10,1,stimuli/blank.png,aktiv,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,l,1,0.971,,,,,,,,,0.971,1,0,10,10,15,1,stimuli/blank.png,träge,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,1.0178,,,,,,,,,1.0178,1,0,11,11,6,1,stimuli/blank.png,begabt,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,0.8639,,,,,,,,,0.8639,1,0,12,12,12,1,stimuli/blank.png,fröhlich,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,l,1,1.4177,,,,,,,,,1.4177,1,0,13,13,5,1,stimuli/blank.png,träge,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,l,1,1.5513,,,,,,,,,1.5513,1,0,14,14,11,1,stimuli/blank.png,brutal,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,0.9843,,,,,,,,,0.9843,1,0,15,15,8,1,stimuli/blank.png,human,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,l,1,0.9674,,,,,,,,,0.9674,1,0,16,16,7,1,stimuli/blank.png,eitel,l,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,0.9349,,,,,,,,,0.9349,1,0,17,17,4,1,stimuli/blank.png,gerecht,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
,,,,,,a,1,0.8838,,,,,,,,,0.8838,1,0,18,18,0,1,stimuli/blank.png,aktiv,a,WL03LD,2023-08-19_12h29.33.306,openIAT,2023.1.3,Win32,58.53772757,
