"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"AD06VL",2023-10-20,2,-77,-77,"-66",1697788080,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD06VL",2023-10-21,1,1,2,"In meinem Traum war ich in einem Haus, was mir nicht bekannt ist. Das Fenster im Badezimmer war geöffnet und daneben war ein Wespennest. Ich bin auf eine Wespe getreten. Freunde von mir waren auch dabei. Ich hatte Schmerzen am Fuß. Abgesehen davon, war die Stimmung gut. ",1697860800,2,1,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,47,15.6666666666667,3,1,1
"AD06VL",2023-10-22,1,2,5,"In meinem Traum bin ich in einer fremden Stadt in eine WG gezogen, zusammen mit 3 weiteren Mädels. Sie waren sehr nett und wir haben uns auf Anhieb gut verstanden. Unsere Wohnung war schon teilweise eingerichtet und wir haben in der schönen großen Küche einen Kaffee getrunken. Am Abend hat jeder von uns ein paar Freunde eingeladen und wir haben eine kleine Einweihungsparty im Garten gefeiert. Es waren 3-4 gute Freunde von mir da. Die Stimmung war gut und wir hatten Spaß ",1697948280,3,1,2,3,2,2,2,2,2,1,0,0,0,1,0,0,0,0,2,0,0,82,27.3333333333333,1.5,2,2
"AD06VL",2023-10-23,2,-77,-77,"-66",1698034080,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD06VL",2023-10-24,2,-77,-77,"-66",1698122040,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD06VL",2023-10-25,1,2,3,"Ich kann mich nicht mehr an alle Träume erinnern, aber der letzte bevor ich aufgewacht bin war, dass ich verschlafen habe. Ich war zwischendurch öfter wach in der Nacht und hatte keine Uhr in meiner Nähe, daher dachte ich, dass wir schon viel zu spät haben. Dann habe ich geträumt, dass ich plötzlich um 13 Uhr aufwache mit ganz vielen verpassten Anrufen von meiner Freundin, mit der ich zusammen um 9 zur Uni fahren wollte.",1698206400,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,37.5,2,1,NA
"AD06VL",2023-10-26,2,-77,-77,"-66",1698292860,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD06VL",2023-10-27,1,2,3,"Ich kann mich fast garnicht mehr an meinen Traum erinnern, ich weiß nur noch, dass mein Freund dabei war. Zwischendurch waren stressige Situationen im Traum, aber im Allgemeinen war er nicht sehr positiv/sehr negativ. Wir waren in unserem gewohnten Umfeld. ",1698379260,8,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,40,40,1,1,1
"AD06VL",2023-10-28,2,-77,-77,"-66",1698465720,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD06VL",2023-10-29,1,2,4,"Ich kann mich nur noch ein bisschen an die Träume erinnern. Es war ein normaler Tag und ich war zusammen mit meinen Freundinnen am lernen. Es ist nichts besonderes passiert. In einem späteren Traum haben mein Freund und ich uns Autos angeguckt, die wir kaufen könnten. In beiden Träumen ist nichts schlimmes oder aufregendes vorgefallen.",1698560520,10,2,2,3,2,2,2,0,0,2,0,0,0,1,0,0,0,0,3,0,0,55,18.3333333333333,1.5,1,2
"AD06VL",2023-10-30,1,2,4,"Der erste Traum, an den ich mich erinnere ist nicht ganz so positiv wie der zweite. In diesem Traum war ich auf einem riesen Containerschiff und es war allgemein eine stressige Atmosphäre. Ich habe im Allgemeinen Angst vor großen Schiffen, daher war ich sehr angespannt in meinem Traum. Ich weiß nicht mehr genau, was passiert ist und die Leute um mich herum waren mir alle unbekannt.   In meinem zweiten Traum war ich mit meinen zwei engsten Freundinnen im Urlaub auf Mallorca. Es ist nichts spezielles passiert, aber wir hatten eine schöne Zeit. ",1698645720,11,2,2,2,2,1,1,0,0,1,0,1,0,1,0,1,0,0,2,2,0,92,46,1,1,2
"AD06VL",2023-10-31,2,-77,-77,"-66",1698732180,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD06VL",2023-11-01,2,-77,-77,"-66",1698821100,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD06VL",2023-11-02,2,-77,-77,"-66",1698904980,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD06VL",2023-11-03,1,2,5,"In meinem Traum war ich mit einigen Freunden von mir shoppen. Die Stadt in der wir shoppen waren war mir nicht bekannt. Wir hatten viel Spaß, aber es ist nichts spezielles passiert. ",1698993660,15,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,32,32,1,1,1
