"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"AD09DR",2023-09-01,1,2,2,"Heute Nacht: Ich habe geträumt, dass meine Kurswahl anstand und ich sehr aufgeregt war, ob ich die Kurse bekomme, die ich gerne belegen wollte. Der Traum endete zum Start der Kurswahl, ich habe also keine Ahnung ob es geklappt hat.    Heute vorm Aufwachen: Ich habe geträumt, dass mein Bruder eine Freundin hat und diese ganz anders war als ich gedacht habe. Ich habe mit meinem Partner über sie geredet, da wir beide fanden, dass die beiden nicht wirklich zusammen passen. Sie ist dunkel geschminkt, hat in meinem Traum schwarze Haare und trägt schwarze Netzkleidung und Piercings. Ein ganz anderer Typ als mein Bruder. Dann haben wir erfahren, dass die beiden heiraten wollen und das hat sich falsch angefühlt.",1693564440,1,2,2,5,2,2,1,1,2,1,0,0,1,0,0,0,0,1,1,0,1,118,23.6,2.5,1,1
"AD09DR",2023-09-02,1,2,3,"Ich habe mit unbekannten weiblichen Personen (ca. 3-4 Personen) in meinem Alter in meiner Wohnung gestanden und habe mit ihnen besprochen, dass sie bei mir in die Wohnung ziehen und ich in die Wohnung unter dieser. Sie haben mir von ihren Einrichtungsideen (sehr modern und stylisch - hell und ladylike) erzählt und plötzlich war die Wohnung in dem Stil eingerichtet und viel größer als vorher. Danach hatte ich einen Termin in einem großen Schloss und auf dem Weg dort hin, kam mir im Schlosspark ein Polizeimotorrad entgegen weshalb ich trotz breiter Straße in den Graben gegangen bin um dem Motorrad in der Kurve Platz zu machen. Während dessen habe ich mir Sorgen über den Tausch der Wohnung gemacht, da ich Sorge habe, dass die WG abends zu laut ist. ",1693660560,2,1,2,6,2,2,2,2,2,0,0,2,0,0,0,2,0,0,0,4,0,129,21.5,3,2,1
"AD09DR",2023-09-03,1,2,2,"Ich war auf einer deutschen Urlaubsinsel und bin mit dem Auto meiner Mutter herumgefahren. Ich habe es zum Parken abgestellt und bin zu Fuß gelaufen. Auf dem Weg war ich mir unsicher ob ich das Auto abgeschlossen habe und wollte daher nochmal zurück zum Auto um zu überprüfen ob das Auto wirklich zu ist. Leider habe ich das Auto nicht mehr gefunden. Beim Suchen habe ich eine Bekannte getroffen, mit der ich eigentlich gar nichts zu tun habe, außer dass wir im gleichen Verein aktiv sind. Die hat mein Problem aber nicht wirklich verstanden und mir auch nicht wirklich zugehört. Dann bin ich allein weiter gegangen. Ich habe zuvor mit meiner Mutter und meiner Oma abgemacht um 19.40 Uhr wieder zuhause zu sein, damit mich Oma zu 20 Uhr zur Klausur bringen kann. Es war scheinbar eine Klausur für mein Studium, die allerdings in einem Schulgebäude statt fand. Leider habe ich mein Auto erst später wiedergefunden und kam daher auch zu spät zur Klausur. Ich war sehr gestresst und nervös und hatte Sorge, dass es jetzt für die Klausur zu spät war. Die Klausur hatte allerdings noch nicht angefangen und alle Studierenden standen im Flur vor dem Raum. Nachdem wir eine Stunde auf unsere Professorin gewartet haben, sind wir alle gefahren. Wir haben der Professorin eine Mail geschrieben und unsere Professorin schrieb uns später zurück, dass die Klausur jetzt nicht mehr stattfindet und wir diese Klausur aber allgemein nicht mehr schreiben müssen.",1693740600,3,1,4,16,6,5,3,2,4,1,4,0,0,0,2,0,0,0,1,6,0,242,15.125,4,4,3
"AD09DR",2023-09-04,2,-77,-77,"-66",1693806060,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD09DR",2023-09-05,1,2,3,"Ich bin im Urlaub irgendwo wo es schön und warm ist. Es erinnert mich an die Insel Kreta. Ich laufe zusammen mit meiner Muttwe an einem kleinen Lädchen in der Stadt vorbei. Dort gibt es scheinbar UGGs zu kaufen. Es so kuschelige Hausschuhe. Sie sind sehr flauschig und 3 Paare kosten insgesamt 85 Euro. Ich möchte sie kaufen aber iwi ist mir das zu viel Geld. Brauchen tue ich diese Schuhe nicht und eigentlich finde ich sie auch nicht schön. Ich würde sie in den Farben dunkelblau, schwarz und Lila-Karriert nehmen. Bevor ich sie kaufen kann, wache ich auf. ",1693923180,5,1,1,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,99,19.8,5,1,1
"AD09DR",2023-09-06,1,2,2,"Aus mir nicht bekannten Gründen waren mein Vater, mein Bruder und ich auf der Flucht vor bösen Männern. Wir sind zu dritt auf einem alten Mofa gefahren und haben uns an mir unbekannten Orten im Untergrund versteckt. Egal wo wir uns versteckt haben, die bösen Männer haben uns immer irgendwann aufgespürt, aber mein Bruder und ich konnten immer schnell entkommen. Wir haben immer Hilfe von anderen Menschen bekommen, die uns beim Verstecken geholfen haben. Einmal haben sie uns bis in ein Hostel gejagt. Dort habe ich mich in einer Duschkabine versteckt und als sie vor der Tür des Duschraumes standen, bin ich aus dem Fenster auf eine Wiese gesprungen. Ich konnte entkommen und bin wieder in den Untergrund geflüchtet. Aus irgendeinem Grund habe ich dann immer die selbe Kreuzung gezeichnet und irgendwann meinte dann eine unbekannte Person zu mir, dass diese Kreuzung nicht mehr ausreicht und ich doch bitte noch Kurven und weitere Straßen einzeichnen sollte.",1693987980,6,1,3,14,9,9,3,0,6,1,0,5,1,0,0,5,0,0,1,10,1,156,11.1428571428571,4.66666666666667,3,3
"AD09DR",2023-09-07,1,2,3,"Ich habe geträumt, dass ich auf einem Klassenausflug war. Komischerweise waren auch Studierende aus meinem Studium dabei. Ich fühle mich an dem Tag nicht gut und ziehe mich ein wenig von der Gruppe zurück. Wir befinden uns in einem großen Kaufhaus auf der obestern Etage. Es ist ohne Dach und dort ist ein kleines Fest mit Livemusik. Eine Schulkameradin (eine Schulfreundin von Früher) kommt zu mir und massiert meinen Nacken. Sie ist sehr freundlich zu mir. Das hebt meine Stimmung und ich lasse mich überreden mich den anderen Menschen anzuschließen. Vorher möchte ich aber ins Bad und mich frisch machen. Ich bin plötzlich im Bad einer Jugendherberge, wo wir als Klasse übernachten werden. Danach gehen wir wieder auf das Kaufhausdach.   Danach befinden ich mich in einem Garten mit einem großen Pool und einer Bio-Lehrerin aus der Gymnasiumszeit. Sie scheint nun Bio an der Uni zu unterrichten. Eine weitere mir nicht bekannte Bio-Professorin ist dort. Es geht darum die Gruppen für die Seminare in Bio zu wählen. Dafür sollen wir in den Pool springen und aus im Pool vorhandenen Papierschnibseln ein Bild kreieren. Leider komme ich in die Gruppe von der Bio-Professorin die ich nicht kenne. Sie hat kurze graue Haare ist wenig kommunikativ und wirkt streng. Mit der andere Bio-Lehrerin war ich bereits per Du und wir sind beide traurig dass ich nicht in Ihrem Kurs bin. Gut ist allerdings, dass meine Freundinnen ebenfalls in meiner Gruppe sind, das freut mich sehr.   ",1694072580,7,2,4,14,8,4,0,0,4,6,1,0,0,1,0,0,0,0,7,1,0,242,17.2857142857143,3.5,2,2
"AD09DR",2023-09-08,1,2,2,"Ich war mit meiner Mutter und meinen Großeltern auf einer Insel. Dort sind wir immer mit dem Bus zum Hafen gefahren. Wir sind auch mit großen Schiffen übers Meer gefahren. Da hatte ich immer etwas Angst, weil das Schiff stark geschwankt hat und das Meer bei Nacht so schwarz wirkte. Man musste über eine ungesicherte Plattform aufs Schiff. Dazwischen klaffte das Meer, ich hatte immer ein flaues Gefühl im Magen. An einem Abend hatte der Chef, dem die Insel gehört Geburtstag. Der Chef hatte eine Glatze und war mittleren Alters. Er wirkte eher wenig erwachsen und hatte immer ein großes Mitteilungsbedürfnis. Er erzählte von irgendwelchen Ex-Partnerinnen und war eher unprofessionell in seinem Umgang mit Touristen. Ihm gehörte ebenso das große Schiff auf dem wir öfter mitgefahren sind. An dem Abend feierte der Chef seinen Geburtstag auf dem Schiff. Unterm Deck gab es einen Massageraum, wo meine Mutter und ich uns massieren lassen wollten. Dort standen aber noch andere Gäste und letztendlich drehte sich die Masseurin von uns weg, ein Vorhang ging vor ihr auf und plötzlich stand sie auf einer großen Bühne und sang dem Chef mit E-Guitarre und handbangend ein Ständchen. ",1694152320,8,1,4,12,8,6,3,0,3,1,5,0,1,0,1,0,0,1,1,6,1,192,16,3,4,4
"AD09DR",2023-09-09,2,-77,-77,"-66",1694235600,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD09DR",2023-09-10,1,2,3,"Es war die Kommunion meines Bruders. Mein Bruder hatte keine Lust und ist zu spät zur Messe gekommen. Meine Familie war vor Ort. Alle standen draußen an einem Kloster und haben sich unterhalten. Mein Bruder trug ein beiges Gewand, welches dem eines Mönch ähnelte. Mein Bruder und ich gingen in das Kloster und trafen meine Tante. Mein Bruder und ich haben uns davor am Parkplatz getroffen. Er hatte nochmal nach seinem Auto geschaut. Komischerweise waren alle Personen, die zur Kommunion gingen in verschiedenen Altersgruppen. Er hat sich am Auto darüber aufgeregt, dass ich als ich mit seinem Auto gefahren bin den Sitz verstellt habe und nicht wieder zurückgestellt habe. Mein Bruder ging nicht mehr zur Messe. Wir unterhielten uns lieber mit den Verwandten und tauschten uns über aktuelle Geschehnisse in der Familie aus.",1694358120,10,1,3,10,9,6,4,2,4,8,0,1,0,2,0,1,0,0,10,2,0,133,13.3,3.33333333333333,3,3
