"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"AE03HN",2023-10-20,2,-77,-77,"-66",1697780820,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE03HN",2023-10-21,1,1,1,"Ich befand mich in der alten Wohnung von meinen Großeltern (beide sind tot)mitten in einer Therapie Sitzung bei einer Bekannten, die ich nur mal flüchtig kennen gelernt habe. Sie hat mir dann die Haare geflochten u d mir eine Art Lunch Paket gemacht mit Brötchen auf denen Wurst war (ich bin Vegetarierin). Gleichzeitig war da in der Wohnung aber auch eine Form von Kuppel, in der eine Achterbahn fuhr. Als sie die Lunch Pakete in der Küche gemacht hat, war da ein fremdes Mädchen, die verletztende Worte zu mir gesagt hat, woraufhin ich ausgerastet bin. Ich habe dann weinend die Wohnung verlassen.",1697865660,2,1,1,4,3,3,0,0,3,1,0,2,0,0,0,0,0,0,1,2,0,102,25.5,4,1,1
"AE03HN",2023-10-22,1,1,2,"Eine mir früher mal sehr nahestehende Person war bei mir Zuhause in meinem alten Kinderzimmer. Sie wollte mit mir über mein Essverhalten reden. Ich war dissoziativ und habe nur Phrasen mitbekommen. Es fühlte sich an, als ob ich nicht wirklich in meinem Körper war, sondern in meiner eigenen Welt. Letztlich bin ich nicht aus dem Zustand alleine heraus gekommen.",1697957160,3,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,59,59,1,1,1
"AE03HN",2023-10-23,2,-77,-77,"-66",1698034020,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE03HN",2023-10-24,1,1,2,"Ich war bei einer Bekannten (mit der ich jetzt leider keinen Kontakt mehr habe) und wollte dort irgendwie Trödel kaufen. Alles sollte 2.99 € kosten. Meine Eltern kamen dann irgendwann dazu und wir haben angefangen uns zu streiten, weil ich Zufuß da war und die Sachen gar nicht hätte tragen können. Meine Eltern haben mich dann mitgenommen und wir haben uns weiter gestritten. Irgendwie sind wir dann nochmal mit dem Auto dahin gefahren .",1698121620,5,1,3,4,4,4,3,2,3,4,0,0,0,3,0,0,0,0,7,0,0,74,18.5,1.33333333333333,3,3
"AE03HN",2023-10-25,2,-77,-77,"-66",1698224880,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE03HN",2023-10-26,1,1,2,"Ich war mit einer mir unbekannten Gruppe an Personen auf La Palma. Dort am Strand konnte man ins Wasser gehen, was ich auch kurz getan habe. Allerdings befanden sich im Wasser so Würmer, die sich durch die Haut fressen und in einen eindringen wollen. Ich bin dann ganz schnell wieder heraus gegangen, musste mir aber schon welche aus der Haut ziehen. Danach sind wir schnell weggegangen.",1698294900,7,1,1,4,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,66,16.5,4,1,1
"AE03HN",2023-10-27,1,1,2,"Ich habe von meinem Abitur geträumt und dass ich es nicht schaffe bzw es nicht gültig ist. Vor allem Mathe war sehr präsent und daran ist es dann letztlich gescheitert.",1698389460,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,1,1,NA
"AE03HN",2023-10-28,1,1,2,"Ich habe einer mir noch sehr unbekannten Person die Haare färben wollen, womit sie dann schlussendlich sehr unglücklich war. Es war ein Flieder/Lila Ton, den sie dann wieder versucht hat rauszuwaschen. Sie ist dann einfach weggegangen und hat nicht mehr mit mir gesprochen.",1698478980,9,1,1,3,3,2,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,45,15,3,1,1
"AE03HN",2023-10-29,1,1,2,"Ich habe mir ein Aquarium mit Axolotlen anschaffen wollen. Dann wollte ich auch noch ein Tattoo am Oberarm von einem haben. Das sollte dann aber knapp 600 € kosten, weshalb ich es dann doch nicht getan habe. Mein Traum endete, bevor ich die Axolotl hatte ",1698572700,10,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,3,1,NA
"AE03HN",2023-10-30,2,-77,-77,"-66",1698676200,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE03HN",2023-10-31,2,-77,-77,"-66",1698781320,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE03HN",2023-11-01,2,-77,-77,"-66",1698865740,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE03HN",2023-11-02,1,1,2,"Der Traum war während der NS Zeit und ich habe mich auf der Flucht befunden. Die Truppen sind marschiert und ich habe mich mit noch zwei anderen mir unbekannten Personen in einem sehr edlen Haus verstecken müssen. Die Soldaten haben uns zum Glück nicht gefunden, aber ich hatte wahnsinnige Angst ",1698914100,14,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,50,50,1,1,1
