"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"An02de",2023-07-29,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,25,8.33333333333333,3,1,1
"An02de",2023-08-07,NA,NA,NA,NA,NA,NA,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7.66666666666667,1.5,2,NA
"An02de",2023-08-10,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,38,38,1,1,1
"An02de",2023-08-12,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,1,1,NA
"An02de",2023-08-14,NA,NA,NA,NA,NA,NA,1,1,6,3,1,1,0,0,3,0,0,0,2,0,0,0,0,5,0,0,59,9.83333333333333,6,1,1
"AN02DE",2023-07-29,1,2,2,"Im Traum war ich mit einer Freundin unterwegs.  Ich erzählte ihr Dinge, aber sie nahm mich nicht ernst und lief immer wieder vor mir weg.",1690663440,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-07-30,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-07-31,2,-77,-77,"-66",1690781460,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-01,2,-77,-77,"-66",1690901520,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-02,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-03,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-04,2,-77,-77,"-66",1691157660,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-05,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-06,1,2,4,"Ich bin im Urlaub, irgendwo im Süden und gehe feiern und tanze. Dann schlendere ich durch die Altstadtgassen und stöbere durch die Souvenirläden.",1691364300,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-07,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-08,2,-77,-77,"-66",1691513280,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-09,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-10,1,2,3,"Ich weiß nicht mehr viel, aber an einer Stelle hat mich eine Freundin im Traum darauf angesprocgen, dass ich im Schlaf geredet hätte. Was ich gesagt haben soll und wie die ggenaue Situation war, weiß ich nicht mehr. ",1691637780,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-11,2,-77,-77,"-66",1691728200,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-12,1,2,3,"Ich weiß nur noch, dass es um einen Abzählvers ging.",1691823900,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-13,2,-77,-77,"-66",1691950260,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-14,1,2,3,"Ich war in einer Disko und Bekannte waren auch dort. Die tranken recht viel Alkohol. Selbst war ich zumindest nicht betrunken. Dann ging ich zur Bar und zwei Bekannte auch. Dort musste man sich selbst bedienen, was mich überraschte. Ein Bekannter öffnete sein Portemonnaie und da sah ich, dass es wie eine kleine Kiste für 4 kleine Schnapsflaschen war.",1691982840,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN02DE",2023-08-15,2,-77,-77,"-66",1692069780,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
