"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"AT04IA",2023-07-19,2,-77,-77,"-66",1689790200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-20,2,-77,-77,"-66",1689831000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-21,2,-77,-77,"-66",1689916380,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-22,2,-77,-77,"-66",1690004340,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-23,2,-77,-77,"-66",1690093860,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-24,1,2,5,"Ich befand mich auf einer Geburtstagsparty, jedoch wusste ich nicht genau wessen Party das ist. Ich dachte zu Beginn, dass ich ganz allein sei, ohne mir bekannte Freunde. Beim laufen durch den Raum, indem die Party stattfand, sah ich dann einen Freund von mir, den ich sehr attraktiv finde. Obwohl mir bewusst war im Traum, dass ich vergeben bin, bin ich dennoch sehr zielsicher auf ihn zugelaufen und habe ihn geküsst und gebeten mit mir die Party zu verlassen. ",1690197480,6,1,1,5,5,3,0,0,3,4,0,0,1,0,0,0,0,1,4,0,1,79,15.8,5,1,1
"AT04IA",2023-07-25,1,2,5,"Ich erinnere mich daran, dass ich an der Universität war um dort zu meinem Seminar zu gehen mit Freunden. Ich habe sehr intensiven Augenkontakt gepflegt mit meinem Dozenten und merkte, dass keiner von uns beiden weg gucken wollte. Ich hab mich sehr geschmeichelt gefühlt. Ich erinnere ich an nichts was in dem Kurz besprochen wurde, aber als das Seminar zu Ende war, war ich sehr traurig und habe das verlassen des Raumes lange hinaus gezögert, bis der Dozent meinen Nachnamen gerufen hat und meinte, dass ich noch eben warten soll, weil er mit mir reden wollte. Ich habe dann glücklich darüber, dass ich mehr Zeit mit ihm habe, meine Freunde raus geschickt. Als wir allein waren, hat mich der Dozent dann geduzt und gesagt, dass ich ihn ablenke im Kurs und das Konsequenzen nach sich ziehen wird. Dann drückte er mich gegen das Pult und wir hatten Sex.   ",1690268220,7,1,1,7,6,6,2,1,5,6,0,0,0,2,0,0,0,0,8,0,0,148,21.1428571428571,7,1,1
"AT04IA",2023-07-26,2,-77,-77,"-66",1690343220,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-27,2,-77,-77,"-66",1690437180,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-28,2,-77,-77,"-66",1690522200,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-29,1,1,2,"Ich habe geträumt, dass ich ungewollt und unerwartet schwanger war. Als ich es dann meinem Partner erzählt habe, war dieser sehr sauer auf mich, weil wir immer verhütet haben und er daher der festen Überzeugung war, dass ich ihn betrogen haben muss.  Selbst nach vielen Erklärungen, wie es passiert sein kann, hat er mir nicht glauben wollen.   Dennoch waren meine Freundinnen sehr hilfreich, da sie meinten, dass sie mir beistehen werden und sie mir beim erziehen der Kinder helfen würden.",1690617660,11,1,2,4,3,3,2,2,3,3,0,0,0,1,0,0,0,0,4,0,0,80,20,2,2,2
"AT04IA",2023-07-30,2,-77,-77,"-66",1690702500,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT04IA",2023-07-31,1,1,1,"In meinem Traum befand ich mich in der Wohnung meiner Eltern mit meinem großen Bruder und meinem Vater, meine Mutter war nicht anwesend, wobei ich auch nicht wusste, wo sie war. Mein Vater war sehr traurig und hat meinem Bruder und mir aufgetragen die Wohnung zu verwüsten um es aussehen zu lassen, als wäre jemand eingebrochen. Also haben mein Bruder und ich uns ran gemacht die schränke auszuräumen und Tische und Stühle umzuwerfen. Als das erledigt war, hat mein Vater die Gasleitung voll geöffnet und und sich von uns verabschiedet. Im ersten Moment habe ich geglaubt, dass er Selbstmord in der Wohnung begehen will, doch wir konnten ihn überzeugen uns zu folgen und so sind wir drei mit ein paar Wertsachen und etwas Geld abgereist und die Wohnung sollte mittels Zeitschaltuhr Feuer fangen, sobald wir weit genug weg wären. ",1690786500,13,1,1,8,6,6,3,0,3,5,0,0,0,0,0,0,0,0,5,0,0,138,17.25,8,1,1
"AT04IA",2023-08-01,2,-77,-77,"-66",1690876380,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
