"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"BA01MC",2023-10-20,1,1,1,"Ich habe geträumt, dass ich in einem Gebiet war in dem überall gekämpft wurde. Es gab Schusswaffen und Gebäude um mich rum waren zerbombt. Ich hatte Angst und habe verzweifelt meinen Freund gesucht, weil ich nicht wusste ob er noch lebt.   Ich bin zwischendurch öfter leicht aufgewacht und mein Freund wurde stellenweise von einer Freundin ersetzt aber das Szenario blieb gleich. ",1697794500,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,20.3333333333333,3,1,NA
"BA01MC",2023-10-21,2,-77,-77,"-66",1697869740,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA01MC",2023-10-22,1,2,2,"Ich war in einem College Dorm und hatte dort eine Mitbewohnerin die ich zwar nicht gesehen habe aber wusste, dass wir uns nicht mögen. Ich habe ihr eine Nachricht geschrieben, dass ich die Nacht ausgehen möchte egal ob sie mitkommt oder nicht. Danach ist meine Erinnerung etwas verschwommen. Aber ich erinner mich noch, dass irgendwann ein Mann in dee Wohnung war und einfach mit dem Gesicht nach unten auf dem Boden lag und ich dachte das wäre der Freund meiner Mitbewohnerin aber es war Fremder.   Dann hatte ich noch einen anderen Traum bei dem ich mit einer Professorin über eine Wiese Walzer getanzt habe, weil diese traurig war. Außerdem, waren wir in dem Traum Vampire.  ",1697954460,3,2,3,4,3,2,1,0,1,0,1,2,0,0,0,0,0,0,0,3,0,115,28.75,1.33333333333333,1.5,3
"BA01MC",2023-10-23,2,-77,-77,"-66",1698033660,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA01MC",2023-10-24,2,-77,-77,"-66",1698124200,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA01MC",2023-10-25,1,2,4,"Es war eine Diskussion ob feste oder weiche Matratzen besser sind mit einer Frau ca um die 40. Dabei ging es nicht um Schlaf sondern die Diskussion war eher darüber wie gut man auf der Matratze dann laufen kann zB.  ",1698203760,6,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,40,40,1,1,1
"BA01MC",2023-10-26,2,-77,-77,"-66",1698296400,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA01MC",2023-10-27,2,-77,-77,"-66",1698381120,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA01MC",2023-10-28,1,2,4,"Es ging darum Minder zu schützen. Ich war in einem großem Lagehaus mit mehreren Gruppen an Kindern zwischen 3 und 10ca. Es waren insgesamt sehr viele die nach Herkunft und Hobbies aufgeteilt wurden und in dem Traum wurde geklärt wer sich um welche Gruppe kümmern soll. ",1698476460,9,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,46,46,1,1,1
"BA01MC",2023-10-29,1,2,4,"Ich habe geträumt, dass ich wie bei Percy Jackson in einem Camp für Halbgötter bin. Ich war dabei unter Wasser mit noch einem Mädchen bei mir und wir haben die Welt dort erkundet. Wir sind an einem Strand vorbei geschwommen an denen auch Liegen zum entspannen waren. Auf diesen Liegen lagen aber Monster.   Außerdem, habe ich in diesem Camp verschiedene Körbe hergestellt um damit zb. magische Pulver zu transportieren.",1698565860,10,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,69,23,3,1,1
