"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"BT08RL",2023-08-02,2,-77,-77,"-66",1690982100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-03,1,1,2,"In meinem Traum war ich sehr niedergeschlagen und traurig. Mein Freund hat mich enttäuscht und ich habe mich nicht geliebt gefühlt. Unseren Jahrestag hat er vergessen und mir später gesagt, dass er aus zeitlichen Gründen es nicht geschafft hat, mir ein Geschenk zu besorgen. Auch wenn ich auf materielle Dinge in einer Beziehung nicht so viel Wert lege, hätte ich mir doch eine Aufmerksamkeit gewünscht. Danach bin ich aufgewacht.",1691083620,2,1,1,4,2,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,69,17.25,4,1,1
"BT08RL",2023-08-04,2,-77,-77,"-66",1691129760,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-05,2,-77,-77,"-66",1691228160,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-06,1,2,4,"In meinem Traum habe ich zusammen mit meiner Freundin meine Lippen machen lassen. Wir waren sehr erfreut über das Endergebnis.",1691297640,5,1,1,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,2,0,0,20,10,2,1,1
"BT08RL",2023-08-07,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-08,2,-77,-77,"-66",1691475000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-09,2,-77,-77,"-66",1691591400,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-10,1,1,1,"Ich und mein Freund waren in einem Wald unterwegs. Wir wollten in eine Hütte gehen, um dort ungestört und allein zu sein. Aufeinmal kam ein Mann in die Hütte hinein und bedrohte uns. Er stach auf mich nieder und plötzlich war mein Gesicht voller Blut. Dann bin ich aufgewacht.",1691659140,9,1,2,7,5,5,2,0,3,2,0,3,0,0,0,0,0,0,2,3,0,49,7,3.5,2,2
"BT08RL",2023-08-11,2,-77,-77,"-66",1691729400,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-12,2,-77,-77,"-66",1691818920,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-13,2,-77,-77,"-66",1691898120,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-14,2,-77,-77,"-66",1692037800,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-15,2,-77,-77,"-66",1692076140,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT08RL",2023-08-16,2,-77,-77,"-66",1692188220,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
