"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"CR07HL",2023-10-20,1,2,3,"Wir waren bei meinen Großeltern auf dem Hof. Da hat irgendeine Feier stattgefunden. Es gab einen Übergang, weil eine Freundin mir Bilder meines 18ten geschickt hat, der dort war (da waren Leute drauf, die gar nicht da waren) und dann waren wir auf einmal auf der Feier. Irgendjemand hat was gesungen (mir war der Inhalt sehr unangenehm), aber ich hab mitgemacht, damit irgendwas aus irgendeinem Grund nicht eskaliert. Zwei Freunde meiner Eltern, mit denen wir damals immer in den Urlaub gefahren sind haben die ganze Zeit Bierpong gespielt und waren ultra voll, was aber sehr unterhaltsam war. Danach hav ich ein Mädcheb getroffen, dass 2017 als Flüchtling in meine Klasse gekommen ist und mit der ich mich gut verstanden habe und wir haben dann zusammen bierpong gespielt.",1697776200,1,1,2,7,6,6,4,0,2,4,0,0,2,1,0,0,1,0,5,0,3,131,18.7142857142857,3.5,2,2
"CR07HL",2023-10-21,1,2,3,"Ich kann mich nicht mehr ganz so gut erinnern: Heute abend findet ein Konzert statt, aber in meinem Traum war ich irgendwie schon da. Ich weiß nur noch, dass eine befreundete Familie von mir auf einmal mit krassen Kostümen da war, die an Fische/ Pflanzen in einem Aquarium erinnern, wie riesen Laternen. Dann um 0:00 wurde Happy Birthday für eine Freundin gesungen (in der Realität hat sie erst nächste Woche Geburtstag) und meine Schwester hat das irgendwie angestimmt und sich vorher noch bei ner anderen Freundin entschuldigt, dass sie sie angezickt hätte- ich weiß nicht was passiert ist. Irgendwie gab es auch nachher so Gruppierungen mit festen Outfits (unter anderem Landschaftsbauer). Die Umgebung war nicht die, in der das Konzert war, ist nicht die eigentliche Location. Es gab einen draußenbereich, aber das Konzert war drinnen und mehr weiß ich nicht mehr ",1697870580,2,1,1,6,4,1,0,0,1,2,0,0,1,1,0,0,1,0,3,0,2,143,23.8333333333333,6,1,1
"CR07HL",2023-10-22,2,-77,-77,"-66",1697956260,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CR07HL",2023-10-23,2,-77,-77,"-66",1698039120,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CR07HL",2023-10-24,1,2,2,"Ich bin mir nicht mehr ganz sicher, aber an einer Kreuzung in meiner Heimat wurde ein Unfall nachgestellt (ich weiß nicht, ob ich die Person) war, um eine Frau (ihr Name war ein Filmcharakter) wieder herzulocken. Mein Tod hatte irgendwas mit ihr zu tun, irgendwas mit dem Erbe. Ich war aber nicht wirklich tot. Dann wurden an der gleichen Kreuzung meine 2 Nachbarn (Freund von mir und die sind Geschwister), von irgendjemandem versucht von der Straße zu drängen, damit die Kinder von denen irgendein Erbe bekommen.   Nachher war noch eine Frau da, bei der ich vorgegeben habe ihr Kind zu sein um irgendwas herauszufinden. ",1698125400,5,1,3,3,3,2,1,1,2,0,0,1,1,1,0,0,2,0,1,1,3,104,34.6666666666667,1,3,3
"CR07HL",2023-10-25,2,-77,-77,"-66",1698239880,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CR07HL",2023-10-26,1,2,3,"Ich weiß nur noch einen Part:  Wir haben eine E-Mail bekommen, dass wir aufgrund von irgendetwas nicht zur Uni gehen können und das seminar ausfällt (kurzer hintergrund: die letzten beiden male ist es tatsächlich ausgefallen)",1698294900,7,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,35,35,1,1,1
"CR07HL",2023-10-27,1,2,3,"Ich weiß wieder nur eine Sache:   wir mussten irgendwo mit dem Auto, aber under auto war in der Werkstatt (ist es tatsächlich sogar) und ich musste meinen Patrnonkel (auch Nachvar ) fragen, ob wir eins von deren haben können- aber ich hab mich nicht getraut ",1698422700,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,1,1,NA
"CR07HL",2023-10-28,2,-77,-77,"-66",1698518220,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CR07HL",2023-10-29,1,2,2,"Laut meiner Sprachnachricht:  Umgebung: in essen bei meiner schwester- ich war mit dem auto und die parkmarkierunfeb waren ganz komisch.Es gibt einen Verbrecher (das Gesicht war mir nicht bekannt) und irgendjemand liegt im Krankenhaus und eine meiner zwei schwestern steht auf den. Die wollen den befreien und ich weiß selbst nicht mal ob der unschuldig ist- sein alibi war eine richtig dumme aussage, dass jemand 2h bevor das verbrechen passiert ist an dem ort war und diese Person eben nicht dabei war. Unsere Eltern wollen nicht, dass wir den befreien, aber irgendwie war ich dabei das Fliegengitter im Zimmer meiner schwester durchzuschneiden um dann rauszukommen ",1698607860,10,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,107,26.75,4,1,1
