"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"DR07EA",2023-07-24,2,-77,-77,"-66",1690180680,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-07-25,2,-77,-77,"-66",1690257960,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-07-26,1,2,3,"Ich war auf einer Autobahn und hatte es eilig. Ich habe auf dem Weg mehrere Autos überholt. Danach hab ich einen Film mit einem Freund geguckt. Ich weiß nicht welcher Film es war aber ich ihn vorher schon geguckt und ich war aufgeregt ihn meinem Freund zu zeigen.",1690343220,3,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,48,16,1.5,2,1
"DR07EA",2023-07-27,2,-77,-77,"-66",1690437660,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-07-28,2,-77,-77,"-66",1690525620,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-07-29,2,-77,-77,"-66",1690608660,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-07-30,1,2,2,"Ich war der Trainer eines Fußballteams. Ich musste mich entscheiden wer in die Startaufstellung kommt. Die Entscheidung fiel auf eine Person, die ich nicht kannte anstatt auf einen Freund, da die andere Person bessere Ergebnisse erzielt.  Es war mir unangenehm diese Entscheidung zu treffen. ",1690697040,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,2,1,NA
"DR07EA",2023-07-31,2,-77,-77,"-66",1690792260,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-08-01,2,-77,-77,"-66",1690877580,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-08-02,2,-77,-77,"-66",1690957560,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-08-03,1,2,3,"Ich war mit einigen Freunden in einem Wald, ich weiß nicht mehr wer sie waren, nur, dass ich sie kannte. Wir sind eine Weile lang durch den Wald gelaufen und gejoggt. Danach war ich in einer Stadt, jetzt aber alleine.   Das nächste, und letzte, woran ich mich erinnern kann ist, dass ich in einem Raumschiff mit 2 oder 3 Außerirdischen war, die alle anders aussahen.",1691066040,11,3,3,4,2,1,1,0,0,1,0,1,0,1,0,0,0,0,2,1,0,65,16.25,1.33333333333333,1,2
"DR07EA",2023-08-04,2,-77,-77,"-66",1691137860,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-08-05,1,2,2,"Es war ein kurzer Traum.   Ein Mann ist einen Turm hintergerannt. Als er im Erdgeschoss angelangt ist, ist er sis dem Fenster gesprungen und der Turm ist hinter ihm explodiert. ",1691203680,13,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,3,1,NA
"DR07EA",2023-08-06,2,-77,-77,"-66",1691302620,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-08-07,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-08-08,2,-77,-77,"-66",1691501940,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR07EA",2023-08-09,2,-77,-77,"-66",1691565840,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
