"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"DR10AD",2023-08-01,1,2,4,"Wir waren zum Essen in der Mensa verabredet. Als ich zu zwei Uni Freundinnen dazu kam, war die eine schon fast fertig mit dem Essen, die andere wartete noch auf ihren Flammkuchen, der noch frisch gemacht wurde und deswegen immer so lange braucht. Ich stellte mich in die Nudelschlange, bekam relativ schnell mein Essen und setzte mich wieder zurück an den Tisch. In der zwischenzeit hatte sich noch eine alte Mitschülerin an den Tisch gesetzt und ihre Brotdose rausegeholt und erzählte von ihrer letzten Reise nach Tokio. Es klang total spannenend und wir haben alle über unsere Reisepläne geredet. Zm schluss kam noch eine Freundin aus Barcelona dazu, erzählte, wie genervt sie von der letzten Vorlesung sei und warum es in der Mensa im Moment immer so komische Essenskombinationen gab. Wer wäre denn auf die Idee gekommen Nudeln mit Donuts zu servieren. Erst da ist mir aufgefallen, was ich die ganze Zeit esse. Aber immerhin hatte ich gegessen, da der Flammkuchen der einen Unifreundin immer noch nicht fertig war. Ich unterhielt mich mit der Freundin aus Barcelona auf Spanisch aber wir wurden regelmäßig von durchsagen unterbrochen, welches Gericht jetzt fertig wäre und zum abhohlen bereit stände.   Gerade als die Uni Freundin ihrern Flammkuchen abhohlen konnte, mussten wir los zum nächsten Seminar und wir liefen in verschiedene RIchtungen davon",1690871220,1,1,2,11,6,3,2,2,3,6,0,0,0,0,0,0,0,0,6,0,0,218,19.8181818181818,5.5,2,2
"DR10AD",2023-08-02,1,2,3,"Es war kurz vor Weihnachten oder vielleicht sogar an Weihnachten. Auf jeden Fall war es weihnachtlich geschmückt und es war dunkel und kalt draußen.  Wir hatten ein Familienfest, dabei waren meine beiden Onkels mit jeweils ihren Frauen (also meine Tanten), meine Eltern, meine Oma und meine beiden Cousins. Wir waren in einer kleinen Wohnung in einem Hochhaus, die ich jedoch nicht erkannt habe, es war stickig und etwas überheitzt.  Vor dem Weihnachtsessen haben wir Geschenke verteilt und alle bekamen etwas. Meine Geschenke waren ganz ok, wie sie halt bei so Familienfeiern sind, abgesehen von dem Geschenk meiner einen Tante, die auch meine Patentante ist. Ich kann nicht mehr genau sagen, was ich Geschenkt bekommen habe, nur das ich mich gar nicht gefreut habe und es ein echt weiredes Genschenk war. Trotzdem habe ich versucht so zu tun also ob es mit wirklich gefallen würde, habe mich überschwänglich bedankt und dabei die ganze Zeit gelächelt. Oma und Mama haben gemerkt, dass es mir nicht gefallen hat, haben aber mitgespielt und mich bei meinem Theater unterstützt. Meiner Tante ist es nicht aufgefallen.   Das Wohnzimmer wird leere, anscheinend sind die meisten zu einem Spaziergang aufgebrochen. Nur noch Mama, meine Tante und ich stehen im Wohnzimmer. Meine Tante öffnet einen alten Holzschrank, sieht darin verschiedene Porzelanfigürchen und überlegt ob sie mir davon noch eine schenken soll. Dann fällt ihr aber ein, dass das gar nicht ihre Wohnung ist und die Figuren eh viel zu teuer zum verschenken. Mir war es egal und hoffte, dass die anderen schnell zurückkommen würden. Während ich wartete kraulte ich einen viel zu großen Hund mit lahmender Pfote  Als das passierte, erzählte mein älterer Cousin, wie toll er den Spanziergang meisterte und wir gingen zum Abendessentisch.  Dort verkündete mein anderer Onkel, das er seine Partnerin jetzt heiraten wolle.   Meine Cousins (seine Söhne) waren mittelmäßig begeistert und ich ging mit dem jüngeren der beiden mit Weißweinflaschen auf den Balkon um uns zu besaufen. Es war echt kalt draußen.",1690959900,2,1,3,11,9,6,2,1,5,8,0,0,0,2,0,0,0,0,10,0,0,327,29.7272727272727,3.66666666666667,3,3
"DR10AD",2023-08-03,1,2,4,"Ich war Campen auf einer Lichtung mitten im Wald. Es war regnerisch aber nicht wirklich kalt. Ich hatte so ein ovales Wurfzelt in grün, meinen Schlafsack und einen Rucksack mit allen anderen Dingen die ich noch so gebraucht habe. Leider hatte ich meinen Campingkocher vergessen und musste stattdessen Feuer zum kochen und trocknen meiner Sachen machen. Keine Ahnung, wie ich das Feuer anbekommen habe aber auf einmal hatte ich ein schönes Lagerfeuer, mit Steinen umgrenzt damit es nicht größer wurde und ein Gestell aus Stöcken gebastelt, an das ich meinen Topf hängen konnte.   Dort habe ich dann einen Eintopf erwärmt und den Abend unter den Sternen gegessen.  Es war entspannend und ich wurde richtig Müde bis ich leicht frierend in meinem Schlafsack geklettert bin",1691046180,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,20.6666666666667,6,1,NA
"DR10AD",2023-08-04,2,-77,-77,"-66",1691131740,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR10AD",2023-08-05,1,2,4,"Ich habe einen Urlaub in Den Haag gebucht und ein Airbnb direkt am Strand gefunden. Auf der Hinreise stande ich etwas im Stau und es war echt viel Verkehr auf der Autobahn. Ich brauchte auch ein bisschen bis ich die Adresse gefunden hatte, es war eine versteckte Wohnung im Erdgeschoss und die Eingangstür war um eine Ecke herum. Beim Ausladen der Koffer und meines Fahhrrades fing es an zu Regen und das richtig stark. Ich beeilte mich richtig, zog mich dann schnell in trockene Sachen um, kochte mir einen Tee und stellte mich ans große Fenster um auf die Straße zu gucken. Dabei hatte ich den Eindruck plötzlich nicht mehr in DenHaag zu sein sondern in Camden London. Ich konnte auf en Kanal gucken, sah eine alte Mitschülerin die über die Brücken tantzte und ein Musikviedo drehte, überall an den Wänden waren Banksy-Graffitis und Sherlock Holmes stand davor und versuchte sich zu erklären wie sie dahin kamen. Ich lief eine weile durch die Straßen und guckte mir alles genau an. Es war etwas merkwürdig aber auch ganz schön. Ich bog um eine weitere Ecke um dann wieder an meinem Fenster in Denhaag zu stehen und einen weitern ehemaligen Mitschüler vorbeilaufen zusehen, der durch den Regen nass war. Ich wollte ihm hinterherlaufen, fand ihn aber nicht mehr wieder",1691229180,5,1,3,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,217,19.7272727272727,3.66666666666667,3,2
"DR10AD",2023-08-06,1,2,4,"Ich war mit einer alten Schulfreundin essen. Sie hatte mir vorher erzählt, dass sie noch nie Miso Rahmen gegessen habe und als sie mich dann zum ersten Mal in meiner Wohnung besucht hat, sind wir auf die Rü gegangen um dort in die japanische Nudelbar zu gehen. Wir haben gerade noch den letzten freien Tisch bekommen, es war so ein hoher Bartisch direkt an der Tür zur Toilette. Der Kellner brachte uns nicht die Karte sondern sagte uns nur wir sollen den QR Code scannen, was aber bei uns beiden nicht funktionierte Also nahmen wir einfach die Karte vom Nachbartisch. Meine Schulfreundin konnte sich gar nicht entscheiden und braucht gefühlte 20min um sich für ein Getränk zu entscheiden. Als sie dass dann bestellte, bestellte ich gleich für sie eine Suppe mit. Das essen war blitzschnell da aber es war das falsche. Ich hatte für uns beide vegetarisch bestellt aber es kam zwei mal mit Fleisch. Meine Freundin hat das nicht gestört, was mich ziemlich überraschte, weil sie siech eigentlich vegan ernährte. Ich beschwerte mich aber beim Kellner und bekam eine neue mit Tofu. Diese war super lecker und meiner Freundin schmeckte auch ihre sehr gut.  Auf einmal war ich mit einer anderen Freundin (aus dem Kindergarten) in einer Art Trampolinhalle mit ganz vielen Schwimmbecken. Ein Bademeister wies uns an, dass wir in diesem um die Wette schwimmen sollten um das Gebäude wieder verlassen zu dürfen. Meine Freundin sollte zuerst und ich musste noch ein bisschen warten. Es roch stark nach chlor und alles war nass von dem spritzenden wasser. Ich hatte ein wenig Angst, weil ich keine gute Schwimmerin bin und meine Freundin bei den Deutschen Meisterschaften gewonnen hatte. Wie sollte ich den je gewinnen und nach Hause zu dürfen?  Als ich an der Reihe war wurde ich zu einem großen Schwimmbecken mir Gegenstromanalge geführt aber der Wasserstand war total niedrig. Ich versuchte zwar zu schwimmen, schaffte es aber nicht, weil überall um mich herum noch andere Menschen waren und ich meine Arme nicht auschstrecken konnte.",1691311620,6,2,2,12,10,8,3,0,5,5,3,0,2,0,0,0,0,2,5,3,2,336,28,6,1,2
"DR10AD",2023-08-07,1,2,3,"Ich war zuhause in meinem Heimatort zu Besuch bei meinen Eltern. Es war ein kühler und sonniger Herbsttag und wir unternehmen eine Fahhradtour an dem Fluss hier entlang, über die Felder und durch einen Wald. Die Stimmung war gut und wir hatten richtig Spaß. Als wir bergab durch den Wald rassten, wurden wir von einer Familie auf Hoverboards überholt, die fast aussahen als ob sie fliegen würden. wir machen an einem kleinen Bach pause, saßen auf einem Baumstamm und tranken heißen Tee aus der mitgebrachten Thermosflasche. Ich lief ein bisschen am Bach entlang und machte schöne Naturfotos. Als ich wieder zurück zu meinen Eltern kam, war mein Vater am Handy in meinte zu meiner Mutter, das er verpasste Anrufe von meiner Tante hatte. Also schauten wir alle auf unsere Handys und sie hatte tatsächlich versucht uns alle zu erreichen. Wir hörten gemeinsam die Mailbox ab und sie hatte angerufen, dass Opa verstorben war.",1691393880,7,1,1,7,6,5,3,0,2,5,0,0,0,3,0,0,0,1,8,0,0,153,21.8571428571429,7,1,1
"DR10AD",2023-08-08,2,-77,-77,"-66",1691480340,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DR10AD",2023-08-09,1,1,2,"Ich war zuhause in der Küche. Hatte gerade überlegt, was es zum Abendbrot geben sollte und wann der Rest meine Familie nach Hause kommen würde, als ich bemerkte, dass mein linker unterer Eckzahn wackelte. Es fühlte sich so an als ob ich wieder meine Milchzähne verlieren würde. Ich konnte nicht damit aufhören, mit der Zunge immer wieder dagegen zu kommen und an dem Zahn zu wackeln. Ich fühlte, wie er immer lockere wurde und sich in meinem Zahnfleisch bewegte. Um ihn herum hatte sich schon das Zahnfleisch gelöst aber die Wurzel hin noch fest. Ich versuchte nebenbei Routine Aufgaben in der Küche zu machen, wie abspülen und die Spülmaschine ausräumen. Als ich gerade die Lebensmittel neu in den Kühlschrank sortiere, kam meine Familie nach Hause. Es waren nicht nur wie erwartet meine Eltern, sondern auch meine Tanten und Onkels. Ich hatte keine Lust mehr auf meinen losen Zahn, vor allem beim Essen nicht, also ging ich ins Bad um ihn zu ziehen. Es tat ein bisschen weh aber am schlimmsten war das knackende Geräusch als endlich die Wurzel brach und ich den Zahn in der Hand hielt. Trotzdem hatte ich immer noch das Gefühl, dass Zahnsplitter in meinem Mund seien und alles so trocken war. Ich hatte Angst, mich an den Zahnresten zu verschlucken und wurde von meiner Familie ausgelacht, weil ich mit Zahnlücke wieder wie in der 2. Klasse aussah.",1691561400,9,1,1,8,2,1,0,0,1,2,0,0,0,2,0,0,0,0,4,0,0,231,28.875,8,1,1
"DR10AD",2023-08-10,2,-77,-77,"-66",1691646660,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
