"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"EK12AI",2023-10-20,1,2,2,"Ich war bei meinem Bruder und seiner Freundin in der Küche. Mein Bruder saß am Esstisch und seine Freundin und ich standen in der Küche und kochten bzw wollten ein Rezept aus Ihrem eigenen Kochbuch welches sie bald rausbringen würde kochen. (In echt ist dies nicht der Fall :D ). Das Rezept welches wir kochen wollten waren Japanische Ramen. Im Traum stand ich in der Küche und schaute ihr zu wie sie immer hin und her in der Küche lief um immer mehr Zutaten zu organisieren. Ich fühlte ein Gefühl von  Hektik und stress. Da ich nicht einfach so rumstehen wollte fragte ich immer nach ob ich etwas übernehmen kann eventuell das Gemüse schneiden. Sie verneinte es immer. Da sie ja immer noch die Zutaten sucht stellte sie fest das eine bestimmte Paste zur Herstellung fehlte.  Daraufhin meckerte sie  das kann nicht wahrsein das ist alles nur weil du hier rumstehst . Im selben Moment kam mein Ex Freund in die Wohnung und sagte das ich nichts dafür kann. Er hätte die Paste gestern benötigt und sich ausgeliehen. Ich stand immer noch am selben Fleck und teilte meinem Ex Freund und auch der Freundin meines Bruders mit das sie das was sie hier abziehen alleine weiter machen können. In meiner letzten Erinnerung war ich auf der Straße und lief mit meiner Arbeitskollegin zur Arbeit. Ihr erzählte ich das die beiden mir unterstellt hätten das ich schuld daran wäre das diese Paste weg ist. Mein Bruder war im Traum nicht mehr zu sehen.",1697774520,1,2,2,7,6,6,3,2,5,5,0,0,0,0,0,0,0,0,5,0,0,252,36,3.5,1,2
"EK12AI",2023-10-21,2,-77,-77,"-66",1697860800,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EK12AI",2023-10-22,2,-77,-77,"-66",1697950860,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EK12AI",2023-10-23,1,2,2,"Ich war zuhause und saß mit meiner Mutter, einer Freundin, meinen Brüdern und deren Freundinnen an dem Essenstisch. Wir aßen zur Abend. Wir unterhielten uns (worüber weiß ich nicht mehr). Ich bin vom Tisch aufgestanden und schaute auf die Uhr in der Küche es war 18:45 Uhr. Als ich wieder an den Tisch ging um mich zu verabschieden da ich um 19 Uhr bei einem Termin sein  musste geriet ich im Stress. Die Uhr im Wohnzimmer zeigt 19:06 Uhr an. Ich stopfte mir mein restliches Essen in den Mund und verließ die Wohnung. Ich rannte durch einen kleinen Wald weg und kam um 19:12 bei meinem Termin bei meiner Therapeutin an. Als ich anklingelte sah ich wie sie bereits ihre Jacke anzog und ihre Tasche zusammen packte.  Ich sagte  es tut mir leid ich habe nicht auf die Uhr geschaut  und sie ignorierte mich. Sie machte sich immer weiter fertig. Schließ die Fenster. Ich sagte ihr ob ich in den Behandlungsraum gehen sollte da antwortete sie:  du bist zu spät wie die letzten vier Sitzungen auch, anscheinend ist es dir nicht mehr wichtig genug.    Darauf hin antwortet ich:   Es tut mir leid, ich wollte pünktlich sein und sie kennen mich ich bin immer pünktlich aber ich war mit meiner Familie am Essen und plötzlich war es so spät und..  sie unterbrach mich und sagte   nächste Woche um 19:00 Uhr, für heute ist es zuspät  . Ich lief durch den Wald weg nachhause. Plötzlich traf ich auf diesem Weg einen Influencer. Dieser sagte  Was ist los? Du siehst traurig aus   und ich sagte  Quatsch alles gut danke! Seit wann wohnst du hier?  Und er sagte  ich glaube nicht das alles gut ist du siehst sehr traurig aus.. wollen wir ein bisschen Sport machen? Das lenkt mich immer ab  es fing an zu regnen und wir beide rennen los. In der Nähe stand ein Pavillon wo wir uns unterstellen wollten. Plötzlich rutschte er auf und fiel er auf den Boden. Er sagte dass sein Bein weh tat. Ich sagte ihm das meine Wohnung hier in der Nähe ist und ich Hilfe hole. Das letzte woran ich mich erinnern kann ist das ich nicht von der stelle weg kam.",1698030900,4,1,3,14,7,6,5,3,4,3,3,0,0,0,0,0,0,0,3,3,0,368,26.2857142857143,4.66666666666667,3,3
"EK12AI",2023-10-24,2,-77,-77,"-66",1698114300,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EK12AI",2023-10-25,1,2,4,"Ich war mit ein paar mit Studierenden (3 Leute) in der Bib. Dort suchten wir Bücher für unsere Gruppenarbeit. Leider konnten wir kein einziges Buch finden, denn dort wo die Bücher stehen sollten war eine Lücke im Regal. Wir vier konnten uns vor lachen nicht mehr einkriegen. Wir fanden es so lustig dass es zu unserem Thema kein Buch mehr gab und lachten weiter bis jemand von der Bib kam und uns raus gebeten hat. Wir sein viel zu laut, andere müssten sich konzentrieren. Daraufhin mussten wir nur noch mehr lachen und ein Mit Studierender erklärte dem Mitarbeiter der Bib unsere Situation. Dieser fing daraufhin auch mit uns an zu Lachen. ",1698201840,6,1,1,5,5,5,4,3,4,4,2,0,0,3,0,0,0,0,7,2,0,115,23,5,1,1
"EK12AI",2023-10-26,2,-77,-77,"-66",1698289620,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EK12AI",2023-10-27,1,1,2,"Ich war an der Uni und suchte einen Parkplatz auf dem Parkplatz am S6 Gebäude. Ich fuhr bestimmt ingesamt 30 mal auf jeden Parkplatz der Uni um einen Parkplatz zu finden, aber leider vergebens. Irgendwann fand ich einen Parkplatz am Straßenrand. Dort Parkte ich. Daraufhin lief ich zur Uni und nahm in meinem Seminar, zu dem ich viel zu spät kam durch die lange Parkplatz suche, platz. Das Seminar lief ganz normal. Als ich plötzlich aus dem Fenster schaute sah ich ein Riesen gerät auf dem Uni Parkplatz. Dieses Gerät konnte die Autos hochheben und direkt in eine Presse geben, wodurch die Autos zur Staub gemacht wurden. Als alle anderen im Raum die laute Geräusche der Maschine mit bekommen hatten geriet Panik im Raum auf. Alle liefen runter um irgendwie ihr Auto zu retten. Ich lief beruhigt zur meinem Auto, denn meins war ja zum Glück nicht auf dem Parkplatz. Als ich näher an die Straße meines Auto kam bemerkte ich das auch hier alle Autos bereits weg waren. Ich rannte los. Ich rannte zurück zu den anderen. Wir alle standen verzweifelt auf dem Parkplatz.   Im Traum war ich sehr gestresst. Daraufhin bin ich Wach geworden das war ca um 3 Uhr nachts. ",1698374400,8,1,4,13,4,1,1,0,0,0,0,0,4,0,0,0,4,0,0,0,8,205,15.7692307692308,3.25,4,2
"EK12AI",2023-10-28,2,-77,-77,"-66",1698466620,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EK12AI",2023-10-29,2,-77,-77,"-66",1698557460,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
