"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"FA07OA",2023-07-19,1,2,3,"Traum 1:  Ich stehe mit einer Freundin an einer Hotelbar, das Zimmer ist mit warmen Farben eingerichtet. Die Barkeeperin öffnet eine Apfelsaftflasche aus Glas, indem sie sie auf den Kopf dreht und dann einen Flaschenöffner benutzt, der in einer Box befestigt ist. Es läuft aber nichts aus der Flasche aus. Ich habe keine Erinnerung an meine Gefühle.    Traum 2:  Ich zelte mit 3 weiteren Personen, einer mir unbekannten Person, einer Freundin (L, andere als Traum 1) und meinem Partner mit hellgrünen Zelten in einem Nadelwald mit sehr, sehr hohen Bäumen. Zwei Zelte, also das des mir Unbekannten ohne Gesicht und das von mir und meinem Partner stehen direkt nebeneinander. L entscheidet sich, ihr Zelt auf der anderen Seite des kleinen Baches auf einer offeneren Wiese aufzustellen. Unsere Zeltstelle ist zu diesem Zeitpunkt auf Waldboden, der mit vertrockneten Tannennadeln überdeckt ist. Als wir zu Bett gehen wollen, hören wir Wolfsgeheul aus der Ferne. Ich habe das Gefühl, sie sind etwas näher und uns allen ist etwas mulmig.   Dann sehe  ich die Zeltstelle aus der Vogelperspektive während ich selbst aber noch im Zelt sitze. Von da oben habe ich Übersicht und erkenne 6 Wölfe, die sehr nah an unserer Zeltstelle sind. Ich warne meinen Partner, der aber ziemlich entspannt ist, ich habe Angst, aber nicht sehr stark. Dann sehe ich, dass 3 der Wölfe links in einiger Entfernung einfach vorbeilaufen. Die drei anderen Wölfe laufen auf unsere Zelte zu, da habe ich große Angst (immer noch Vogelperspektive, kein Albtraumgefühl!). Die drei Wölfe springen aber einfach über unsere zwei nebeneinanderstehenden Zelte drüber.    Traum 3:  Ich bin immer noch im selben Wald mit den Zelten, nun ist unsere Zeltstelle aber durch Holzstreben eingezäunt und es führt ein kleiner Steg über den Bach. Wir, also ich, der Youtuber Fresh Torge und eine weitere mir unbekannte Person drehen ein Musikvideo. Ich trage ein Kostüm und habe die Rolle der bösen Königin. Ich muss über den Steg laufen, das Outfit präsentieren und mich dann ganz schnell zurück ins Zelt begeben und mich umziehen. Mein zweites Kostüm soll das eines Zwerges sein. Ich bin sehr gestresst, weil es schnell gehen muss und schaffe es nicht rechtzeitig, mich umzuziehen. Dann höre ich, dass Freshtorge und der/die Unbekannte das Musikvideo mit einer kleinen Moderation beenden. Ich bin etwas enttäuscht, dass ich es nicht geschafft habe.    Keiner der Träume war ein Albtraum und sie waren auch nicht sehr unangenehm trotz Angst oder Stress.",1689782100,1,3,4,15,6,3,2,0,1,2,1,0,0,0,0,0,0,0,2,1,0,404,26.9333333333333,3.75,1.33333333333333,4
"FA07OA",2023-07-20,2,-77,-77,"-66",1689834000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FA07OA",2023-07-21,2,-77,-77,"-66",1689966600,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FA07OA",2023-07-22,1,2,5,"1) Es war ein längerer Traum, ich erinnere mich aber nur noch an einen Teil davon.    Mach einem längeren Weg (es ist hellichter Tag und blauer Himmel), an den ich mich leider nicht mehr erinnere, kommt meine Gruppe, die zu dem Zeitpunkt aus ca. 9 Leuten besteht an einem Weg an, der nach links führt. Zwei Menschen in meiner Gruppe sind mir bekannt, beides ehemalige Schulkameraden, zu denen ich keinen Kontakt mehr habe. Wir sind schon lange unterwegs und alle sind müde. Es ist nicht sichtbar, wohin der Weg führt. Ich sehe ein braunes Pferd am Wegrand stehen und nähere mich an, sodass ich auf seinen Rücken springen kann und den Weg schnell entlanggaloppieren kann, um zu sehen, was am anderen Ende ist. Es ist eine große, alte Villa. Dann ist der Traum etwas verschwommen; das nächste, an was ich mich erinnere ist, dass die Gruppe Menschen nun aus ca. 30 Menschen besteht. Eine Person (der Ex-Verlobte von einer meiner Freundinnen, mit welcher ich kaum noch Kontakt habe) versucht, den See zu durchqueren, der hinter dem Haus ist, um ans  andere Ufer zu kommen. Wir sind auf der Flucht vor irgendwas (ich habe keine Angst und bin zuversichtlich). Aber neben dem Haus ist ein Steg, der jedoch an einer Stelle instabil ist. Da die Strömung sehr stark ist, weiß niemand, wie man am besten dahin kommen sollte. Da sehe ich wieder ein paar Pferde und schnalze mit der Zunge. Ein dunkles Pferd galoppiert direkt auf mich zu und ich kann auf seinen Rücken springen und versuche, mit ihm zu schwimmen. Das funktioniert aber nicht so gut. Es ist meist mit dem Kopf unter Wasser, ich habe aber keine Panik und reite einfach wieder aus dem Wasser raus. Im nächsten Moment haben zwei mir unbekannte Personen den Steg repariert und viele Leute sitzen auf dem Steg. Sie haben einen Reisepass bekommen, der sie dazu berechtigt. Ich reite von Person zu Person, das Wasser ist nun nämlich weg, und befrage manche, ob alles in Ordnung bei ihnen ist. Wir sind alle glücklich, dass wir es geschafft haben. Ich fühle mich als Verantwortliche in dieser Situation, da ich den Überblick auf meinem Pferd habe und damit schnell bin.    2) Ich bin mit einer Freundin abends (es ist schon fast dunkel, die Straßen sind gelblich beleuchtet) mit einem eScooter (grün, im Traum von nextbike) in Neapel unterwegs, wir müssen auf Kopfsteinpflaster zu einem Supermarkt fahren. Dort angekommen möchte ich den eScooter mit reinnehmen, darf es aber nicht. Deshalb versuche ich den eScooter wie ein Fahrrad mit einer Kette am Fahrradständer zu befestigen, während meine Freundin schon im Supermarkt einkauft. Das klappt auch nach einiger Zeit. Als ich fertig bin, macht mich jedoch ein ehemaliger Klassenkamerad, mit dem ich nie viel Kontakt hatte, darauf aufmerksam, dass mein Reifen auf einmal wie eine 8 geformt ist, weil jemand dagegen gefahren ist. Er beteuert, es nicht gewesen zu sein, ich glaube ihm aber nicht und beschuldige ihn. Der Traum ging noch weiter, ich kann mich aber leider nicht mehr daran erinnern. Ich war in diesem Traum ziemlich genervt.    3) Ich sitze mit meinem Partner in der allerletzten Kinoreihe am Gang und wir gucken einen Film. Auf einmal kommt ein mir unbekannter, junger Mann mit blonden Rasterlocken (helle Haut) rein und ruft laut, dass er sich nun weit hinten einen Platz sucht. Die Stimmung ist sehr bedrohlich und alle Leute im Kinosaal sind unruhig und haben Angst. Mein Partner setzt sich schnell auf meine andere Seite, sodass er zwischen mir und dem Typen sitzen würde, wenn er sich neben und setzen würde. Ich verstecke mich etwas hinter dem Rücken meines Partners und versuche, den Film weiterzusehen. Mein Partner ebenso. Dann meldet sich ein Mann einige Reihen vor uns und sagt dem bedrohlichen Mann an, dass neben ihm noch was frei ist. Dieses Angebot nimmt der Mann an, ich erinnere mich nicht mehr an das Gespräch, und er setzt sich. Ich verspüre Erleichterung und denke, dass der Mann sich gerade für uns alle geopfert hat. Der Traum war eher unangenehm, aber noch kein Albtraum.",1689995220,4,3,6,29,15,12,7,1,6,7,0,5,1,0,0,2,1,0,7,7,2,685,23.6206896551724,4.83333333333333,2,6
"FA07OA",2023-07-23,2,-77,-77,"-66",1690090800,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FA07OA",2023-07-24,2,-77,-77,"-66",1690216260,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FA07OA",2023-07-25,2,-77,-77,"-66",1690255020,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FA07OA",2023-07-26,2,-77,-77,"-66",1690363320,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FA07OA",2023-07-27,1,2,3,"Es waren verschiedene Traumsequenzen:  1) Ich bin in einem langen Tunnel auf der rechten Seite gelaufen und war vor etwas auf der Flucht, was mir aber keine Angst gemacht hat. Der Tunnel war lang und grau, auf der linken Fahrspur standen viele Autos im Stau und ich konnte links an allen vorbeilaufen. Auf der linken Spur fuhr nur ein Auto dabei.    2) Ich bin aus einem schwarzen Auto ausgestiegen und habe mich zu einem Holztisch unter einem Vorstand gestellt. Dort wollte ich mit jemandem reden, als ich bemerkt habe, dass ich mein Baby (ich habe in Wirklichkeit keines) im Auto vergessen habe. Es lag in einem Maxicosi und ich habe es aus dem Auto geholt.    3) Ich stand vor einem großen, rechteckigen Spiegel und habe meine Haare auf der rechten Seite kürzer geschnitten, da die linke Seite kürzer war. Ich habe versucht, es so professionell aussehen zu lassen, wie möglich. Meine Haare waren mittellang und braun.    4) Ich wurde von jemandem an die Wand gehoben und gedrückt, der böse war. Ich habe ihn Teufel genannt und ihm ein stumpfes Messer ins Ohr gerammt, um sein Gehirn zu treffen, was sehr schwierig war. Ich erinnere mich nicht mehr daran, ob ich es geschafft habe.    Keine der Personen in meinem Traum ist mir in Wirklichkeit bekannt. Keiner der Träume war für mich gruselig oder ein Albtraum.",1690482600,9,4,4,10,3,3,0,0,3,1,0,2,0,0,0,0,0,0,1,2,0,228,22.8,2.5,1,2
"FA07OA",2023-07-28,1,2,4,"Nur eine kurze Traumsequenz:  Ich habe eine Nachricht von einer Freundin über Whatsapp bekommen. Sie hat mir lang nicht mehr geschrieben (stimmt mit Realität überein) und ich habe nicht mehr damit gerechnet, dass sie mir jemals wieder schreibt. Es war ein einfaches  Hallo, wie geht es dir? . Ich habe mich im Traum gefreut, dass sie doch noch an mich denkt und mich nicht vergessen hat.",1690573920,10,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,66,66,1,1,1
