"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"FT05SY",2023-10-22,2,-77,-77,"-66",1697954100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FT05SY",2023-10-23,1,2,2,"Ich hatte ihn heute nacht. Ich war mit meinen 2 Freundinnen im Urlaub. Wir waren in einer stadt und haben uns plötzlich dazu entschieden von da aus für ein tag in eine andere stadt zu gehen um ski zu fahren. Die Autofahrt war sehr lange in meinem kopf ging ganze zeit nur rum dass ich zu wenig eingepackt habe. Ich hatte kaum was dabei nicht mal unterhosen und was für den nächsten tag. Ich hab mir vorwürfe gemacht und wusste nicht was ich machen sollte da es zu spöt war zurück zu fahren. Als wir angekommen sind. Hat es stark geregnet und ich hatte nichts dabei was mich warm halten würde. Ich war komplett ahnungslos",1698039480,2,1,3,4,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,117,29.25,1.33333333333333,3,1
"FT05SY",2023-10-24,1,2,3,"Ich habe geträumt dass ich mit meinen freunden nach movie park gegangen bin. Ich und meine Freundin haben verschlafen und sind später los als wir wollten. Ich brauchte auch nochmal lange um mich fertig zu machen. Als wir ankamen meinten 2 von meinen anderen Freundinnen dass sie doch nicht mit wollen. Wir haben versucht sie zu überreden und ich habe frustation gespürt dass meine geplqnten dinge nicht aufgehen. Letztendlich sidn wir doch reingegangen weil die schlange nicht so voll war. Ausserdem was etwas im traum mit einem schaden den ich in der mensa vorzeigen musste. Allerdings musste die mensa mir das geld überweisen, da etwas von mir beschödigt wurde. Und eine frau hat mich ganze zeit darum gebeten irgendeine nummer zu sagen die echt schwer war in meinen emails zu finden. Die frau hat auch immer drüber geguckt ob ich für einen mensa besuch freigeschalten war um allgemein dort essen zu dürfen. Ich empfand faulheit und hatte nie lust mich um den schaden zu kümmern weil das raussuchen der nummer so lange dauert",1698126180,3,2,3,10,6,6,3,0,3,4,0,2,0,2,0,0,0,0,6,2,0,175,17.5,3.33333333333333,1.5,3
"FT05SY",2023-10-25,2,-77,-77,"-66",1698211860,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FT05SY",2023-10-26,1,2,2,"Ich habe geträumt dass ich mit einem Jungen aus meiner alten Freundesgruppe was habe und ich mich aber schäme dass ich ihn direkt geküsst habe anstatt dass er mich auf ein date ruft oder miche rst mal noch besser kennenlernen will. Ich mache mir vorwürfe dass ich es zugelassen habe. Er war bei mir Zuhause und wir haben ein Film geguckt er hat sich auch gut mkt meiner mutter und schwester verstanden. Als ich ihn tschüss sagen wollte. Sagte ich zu ihm. Jetzt haben wir uns ja schon geküsst ohne ein richtiges date gehabt zu haben oder irgendwie sowas. Er hat gemerkt dass ich mich schäme und versucht mich zu umarmen und beruhigen ich wusste aber dass es nur show ist und er mich garnicht so kennenlernen möchte also dachte ich. Und mich nur wollte um eben zu küssen etc. als ich ihm tschüss gesagt habe hab ich mir gewünscht es rückgängig zu machen da man mich nicht so einfach küssen können sollte. ",1698299340,5,1,3,5,4,4,4,3,3,4,0,0,0,0,0,0,0,0,4,0,0,167,33.4,1.66666666666667,3,3
"FT05SY",2023-10-27,2,-77,-77,"-66",1698386100,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FT05SY",2023-10-28,1,2,1,"In diesem Traum ging es wieder um Scham. Ich habe geträumt dass ich mich mit meinem Ex freund getroffen habe, den ich eigentlich abstoßend finde. Irgendwie ist es dazu gekommen dass wir uns geküsst haben. Und er irgebdwas gepostet hat was das andeutet dass wir uns geküsst haben. Ich weiss allerdings nicht mehr genau was. Ich erinnere mich an mein gefühl ich hatte angst dass die anderen das verstehen und wissen und mcih verurteilen ausserdem habe ich mich geschämt. Ausserdem war später Halloween meine schwester hat geburtstag und ich musste ihre Freunde schminken gleichzeitig musste ich es aber hinbekommen meine freunde zu dchminken und mich selber. Wir haben abgesprochen dass meine freunde und ich ein kleid anzeihen werden für ein kostüm und plötzlich stand ich alleine mit einem kleid und war irgendwie aufgebracht. Und danach gibg es darum dass meine freundin eine ausbildung bei irgendeiner firma machen will. ",1698469980,7,2,4,7,4,3,2,1,2,3,0,0,0,2,0,0,0,0,5,0,0,150,21.4285714285714,1.75,2,3
"FT05SY",2023-10-29,2,-77,-77,"-66",1698567480,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FT05SY",2023-10-30,1,2,3,"Keine genaue erinnerung nur dass ich zu spät zur uni gegangen bin weil ich zu lange geschlafen habe und meine gruppe mit der ich an einem projekt sitze ohne mich angefangen haben",1698648720,9,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,32,32,1,1,1
"FT05SY",2023-10-31,2,-77,-77,"-66",1698737940,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
