"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"GB06JH",2023-07-24,1,2,3,"Wir standen in unserem Badezimmer. Ich habe geträumt, dass über ein Onlineportal meine Noten für das Abitur erschienen. Diese habe ich meiner Mama gezeigt und mich gefreut. Ich habe ihr gesagt, dass ich gerne wieder in die    Schule möchte und traurig bin, dass es vorbei ist  Einerseits war ich glücklich über die Ergebnisse und andererseits traurig, weil ich nicht mehr in die Schule gehen kann.",1690179180,1,1,2,4,3,2,0,0,2,2,0,0,1,0,0,0,0,1,2,0,1,65,16.25,2,2,2
"GB06JH",2023-07-25,2,-77,-77,"-66",1690250760,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GB06JH",2023-07-26,2,-77,-77,"-66",1690343280,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GB06JH",2023-07-27,1,2,2,"Ein Charakter, die meine Freundin war, im echten Leben jedoch unbekannt ist, hatte Angst, auf einem Boot zu fahren. Wir mussten aber zu 4. fahren (Partner des Charakters, Kumpel von ihnen, Charakter und ich). Sie hatten in ihrer Wohnung auf der Insel ein schönes Aquarium  Ebenso gab es auf der Insel ein Parkhaus, wo 2 Menschen umgekommen sind, weil sie erschossen wurden. Ich war dort mit meinen Eltern und habe geweint, weil eines der Opfer, ein Mädchen, das ich aber nicht persönlich kannte und an dessen Kreuz wir im Parkhaus vorbei gingen, mir leid tat. Mein Vater fragte mich, warum ich weinte, weil ich das ja nicht ändern könnte. Ich sagte, dass sie mir leid tut, weil sie sich nicht wehren könnte und erschossen worden wäre. Mein Vater verstand das nicht und fragte, was das mit mir zu tun hätte (er versteht Emotionen (besonders die Emotion Trauer) bei mir oft nicht) und ich sagte nur, dass sie mir leid tat, weil es sicher schlimm war.     Der Traum hatte einen größeren Zusammenhang, aber ich kann mich leider nur an Bruchstücke erinnern. Die beiden Teile waren (logisch) miteinander verknüpft. Hoffe, dass das okay ist :)",1690427220,4,1,3,6,3,2,2,1,1,3,0,0,0,2,0,0,0,0,5,0,0,193,32.1666666666667,2,3,2
"GB06JH",2023-07-28,1,2,3,"Ich erinnere mich leider nur noch daran, dass die Mutter eines früheren Klassenkamerads (habe ihn neulich gesehen und stehe ambivalent zu ihm) die Wäsche macht",1690516860,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,25,1,1,1
"GB06JH",2023-07-29,1,2,4,"Ich war als Prinzessin in einem Schloss mit unzähligen Räumen und lief von Etage zu Etage, um meine Untertanen (andere Royals) zu treffen.",1690599060,6,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,23,23,1,1,1
"GB06JH",2023-07-30,1,2,2,"Ich sollte in einer Stadt in meiner Ungebung im Rahmen eines Computerspiels das Cover eines Notizbücher entwerfen. Meine Mutter tat dies für sich später ebenfalls, aber noch während sie sich den Prozess und die Optionen bei mir ansah, meinte sie, dass sie viel besser wäre als ich.",1690685820,7,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,47,23.5,2,1,1
"GB06JH",2023-07-31,2,-77,-77,"-66",1690769520,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GB06JH",2023-08-01,2,-77,-77,"-66",1690872060,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GB06JH",2023-08-02,2,-77,-77,"-66",1690954260,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
