"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"GL09IM",2023-10-17,1,2,3,"Ich lief in Berlin auf der Baerwaldstr. Ecke Gneisenaustr. am Abend als es schon dunkel war. Vor mir lief eine junge Frau, die langsamer als ich lief und deshalb bald von mir überholt wurde. Sie zeigte sich unsicher in der Dunkelheit, also kündigte ich an, dass ich sie gleich überholen würde. Sie begrüßte das Verhalten und lächelte, während ich sie überholte. Kurz darauf warteten wir beide an einer roten Ampel auf das Grünwerden. Währenddessen kamen wir in ein kurzes Gespräch. Vermutlich handelte es sich um etwas Oberflächliches. An den Inhalt kann ich mich nicht mehr erinnnern.",1697515200,1,1,2,5,4,3,1,1,3,0,0,4,0,0,0,0,0,0,0,4,0,96,19.2,2.5,2,2
"GL09IM",2023-10-18,1,2,3,"Im letzten Traum war ich bemüht, eine gebuchte Unterkunft für einen Urlaub über Booking.com zu stornieren, da sich das Antreten der Reise aus zeitlichen Gründen als unmöglich herausgestellt hat. Für die Stornierung rief ich bei der entsprechenden Stelle von Booking.com an, doch es folgte kein Telefonat, sondern ein persönliches Gespräch mit einem älteren Herrn, der einen schwarzen Anzug mit weißem Hemd trug. Er erklärte mir, dass die von mir gebuchte Unterkunft resp. Option, eine unentgeltliche Stornierung nicht zulasse. Die Unterkunft kostete 28€. Unklar ist, um wie viele Nächte es sich handelte; vermutlich eine.    Anmerkung: Real ist keine Reise geplant und dementsprechend keine Unterkunft gebucht.",1697597160,2,1,1,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,104,34.6666666666667,3,1,1
"GL09IM",2023-10-19,2,-77,-77,"-66",1697692800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GL09IM",2023-10-20,2,-77,-77,"-66",1697775240,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GL09IM",2023-10-21,1,2,2,"An den Traum aus der letzten Nacht erinnere ich mich kaum bis gar nicht. In der Nacht bin ich aufgewacht, nachdem ich die im Traum vorgenommene Handlung auch im Bett umgesetzt habe: Im Traum wurde ich von einer - vermutlich - männlichen Person mehrfach so gereizt, was in mir das Bedürfnis weckte, einen Hieb mit dem Ellenbogen auszuführen. Verärgert und ein wenig verwirrt, wachte ich auf und konnte den Grund für dieses Verhalten nicht mehr rekonstruieren.",1697864880,5,1,1,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,76,25.3333333333333,3,1,1
"GL09IM",2023-10-22,2,-77,-77,"-66",1697951280,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GL09IM",2023-10-23,1,2,3,"Eine mir unbekannte Person erzählte an einem rechteckigen Tisch, an dem im Freien mit mehreren Personen gegessen werden sollte, von meinem Forschungsinteresse und verpackte den Inhalt des Erzählten so, als würde es das eigene Forschungsinteresse sein. Die Mutter meiner nicht türkisch sprechenden Freundin - mir noch unbekannt - saß auch am Tisch und teilte mit, sie spreche auch (meint mich als mind. eine Person, die das auch tun kann) Türkisch. Sodann fingen wir an auf Türkisch zu sprechen, und ich war der Meinung in Antalya und nicht in Essen zu studieren. ",1698080400,7,1,1,3,3,3,1,1,3,2,0,1,0,0,0,1,0,0,2,2,0,91,30.3333333333333,3,1,1
"GL09IM",2023-10-24,1,2,4,"Ich bin in einem Freibad gewesen, habe junge Frauen gesehen, die kunstvoll ins Wasser gesprungen sind und habe mich dann dazu entschlossen, Bahnen zu schwimmen. Das wandelte sich dann in ein Bahnentauchen, wobei ich bemerkte, dass nach 25m (eine Bahn) eine zweite noch realistisch scheint. Auch nach der zweiten bemerkte ich die noch vorhandene Kapazität. Dieses Schema zog sich bis zum Absolvieren der 8. Bahn durch. Während meines Bahnenziehens hielt ein ca. 11-jähriger Junge einen Vortrag über Bildungsungerechtigkeit im deutschen Schulsystem aus eigener Perspektive und sprach in ein verkabeltes Mikrofon. Mitten im Traum musste ein ca. 40-jähriger Mann an den Sicherungskasten des inzwischen zum Hallenbad gewordenen Schwimmbads, der unter Wasser angebracht war. Ob auch der den Vortrag haltende Junge unter Wasser war, erinnere ich nicht mehr. Zwischenzeitlich befanden sich auch andere Menschen im Becken, die ich immer wieder durch das unter sie hinweg Tauchen überholte. ",1698125880,8,1,3,8,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,147,18.375,2.66666666666667,3,3
"GL09IM",2023-10-25,2,-77,-77,"-66",1698243900,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GL09IM",2023-10-26,1,2,3,"In der letzten Nacht habe ich davon geträumt, in meinem früheren Bett in Berlin zu sitzen. Dabei habe ich Schnecken im Bett herumkriechen sehen. Verwundet über die Anwesenheit der Schnecken, habe ich mich gefragt, wie und warum sie in meinem Bett sind. Den Fall ungeklärt, bin ich aufgewacht.",1698304020,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,1,1,NA
