"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"HI01IG",2023-10-19,1,2,4,"Traum 1:  Ein Student hat in einer Sitzung (er saß mir im Kreis gegenüber, zwischen uns Tische, Umgebung war mir bekannt) gefragt, ob wer die Internetseite zu möglichen Studien pflegt. Dann fragte er, ob er das übernehmen darf und wurde anschließend von anderen Anwesenden (vorher nur bewusst wahrgenommen) bestätigt. Ich war nur Zuschauer in diesem Kreis.  Der Traum war neutral und daher angenehm. Mir war bewusst, dass ich träume und bin dadurch wach geworden um es aufzuschreiben.    2. Traum:   Auch bei diesem Traum war mir bewusst, dass ich träume und habe ihm Traum geträumt wie ich es formuliere in meinen Notizen. Dann ich doch noch aufgewacht um es aufzuschreiben.   Der Traum war angenehm fast witzig.     Mein Vater saß auf dem Beifahrersitz von einem mir unbekannten Mann den ich aber als Influencer wahrgenommen habe. Die beiden fahren mit dem Auto langsam an mir vorbei. Ich parke mein Auto wie immer auf parallel zum Bürgersteig vor unserer Haustür. Ich schaue zu Papa der die Geste Finger aufs Handgelenk tippen macht. Mir ist klar, dass er damit andeuten will das wir Essen wollen/müssen.   Der mir unbekannte Mann lacht bzw. Versucht das Lachen zu unterdrücken und macht daher Größe Augen und kneift seine Lippen zusammen. Nachdem ich Papa antworte: „Gutes Auge“    Traum 3:   Ich war mit meinen Eltern auf einem Konzert in meiner alten Schule in der Aula, der Künstler war mir bekannt aber den habe ich bisher nie live gesehen. Meine Eltern hören nicht regelmäßig diese Musik. Das Bühnenbild und Tänzer war etwas wie ein Wohnzimmer aufgebaut, sowohl die Tänzer als auch die Zuschauer sind immer weniger geworden bis wir nur noch ca. 3 Leute waren. Während des Konzerts habe ich immer wieder mit einem Füller mitschreiben wollen. Die Tinte ist leer geworden und der Füller hat seine Feder verloren. Beim aufsammeln hat der Sänger Tinte an seine Hand bekommen und die graue fleece Decke aus unserem Wohnzimmer auch.   Die 2 Lieder die gespielt wurden waren durch die Bühnenshow witzig, durchs Publikum von ca 50 Menschen mit einem Bollerwagen gefahren, Silbermond Sängerin hat auch gesungen, eine blonde Moderatorin hat über ihre schlechte Unterkunft und ihrem Ex Lindemann (aber der Name war nicht Till wie gedacht, es ging aber im kleinen negativen Video was dann auf der Bühne gezeigt wurde eindeutig um Till Lindemann)   Ich habe eine Mädchen Freundesgruppe von früher wiedererkannt. Und die Tochter einer Arbeitskollegin die aber viel jünger war als ich sie je kennengelernt habe. Bei dem Mädchen war es so: sie hatte eine schürfwunde, die sollte ich mit einem Pflaster abdecken und das in der Hoffnung dass der Sänger es sieht und mit mir/ uns interagiert. In diesem Moment stand ich auch vor der Absperrung und zwischen der hohen Bühne.   Der Traum war nicht ganz so angenehm, weil es viele Themensprünge gab und ich bewusst meinen gegenüber täuschen wollte um vom Sänger wahrgenommen zu werden, sowas würde ich im echten Leben nicht so machen wollen.     Traum 4:   Auf der Straße in der ich aufgewachsen bin. Ich auf einem Soft-Surfbrett (Wellenreiten) und einem Lenkrad in der Hand. Ich surfe rückwärts auf dem Bürgersteig mit viel Wasser (keine Angst reinzufallen) zu unserem Haus um „Höhe zu fahren“ wie beim windsurfen. Frage meinen Vater, ob er das gesehen hat, weil ich sehr gut mein Gleichgewicht an 2 Laternen entlang gehalten habe. Mein Vater verneint und bittet mich auf der Straße die auch viel Wasser hat es nochmal zu machen. Ich sehe mich auf dem türkisen Board zu im Paddeln im Neopren.     Bei dem Traum habe ich mit Gut gefühlt und hatte Spaß beim Surfen. Ich bin durch meinen Wecker wachgeworden. ",1697717940,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HI01IG",2023-10-20,1,2,2,"Ich habe keine genaue Erinnerung an den Traum, nur das ich flackerlicht wie auf einer Party gesehen habe. (Ich war feiern und hab wenig geschlafen) Ich habe ein gestresstes Gefühl nach dem aufwachen gehabt.",1697776680,2,4,5,25,16,7,2,1,6,7,4,2,2,2,0,2,1,0,9,8,3,599,23.96,5,1.25,5
"HI01IG",2023-10-21,1,1,2,"Ein unbekannter Mann hat mich angeschrieen: Es muss ein Auto gekauft werden, deswegen der Wecker! Die Umgebung und den Mann konnte ich nicht wahrnehmen.    Ich kann mich nur erinnern, dass er geschrien hat und das hat mich mit einem schlechtes Gefühl aufgeweckt.",1697913600,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,1,1,NA
"HI01IG",2023-10-22,1,2,3,"Traum 1:   Meine Umgebung war meine ich ein Flughafen und die Menschen nicht alle bekannt. Ich hatte von einer Person die Aufgabe bekommen, den Schaumstoff meiner Akupunktur-Matte mit dem Stoff neu auszurichten. Die Plastik Nägel waren nicht zentral. Also habe ich im Traum den Stoff genommen und etwas geschüttelt, dadurch ist der Schaumstoff nicht wirklich verrückt, Ich habe es weiter versucht und dann hat es geklappt. Anschließend habe ich eine Klassenkameradin von einer Freundin gesehen (die ich vor 2 Tagen nach langer Zeit mal wieder gesehen habe) . Sie ist mit einem Kind (Bruder) zum Windeln wechseln gegangen. Mit dem Kinderwagen an einem Schild: Windeln für 0,10€ vorbei und in eine umkleide sie im Schwimmbad rein. Dort hab ich andere Kinder und ihre Eltern gesehen. Die Kinder saßen auf Schaukeln. Das war ne Art Ablehnung für die Kinder.     Traum 2:   Meine Akupunktur-Matte nochmal gerichtet, weil mir aufgefallen ist, wie lange mich die 2 cm Verschiebung (nicht zentral) gestört hat. ",1697996160,4,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,42,42,1,1,1
"HI01IG",2023-10-23,1,2,3,"Traum 1:  Ich musst einen Test ausfüllen. Die Seiten waren oben links mit einer Büroklammer zusammengeheftet.     Traum 2:   Ich war auf einem Golfplatz. Zuerst habe ich eine Frau beobachtet, sie hatte weniger Glück und den Ball nicht gut getroffen. Dann habe ich einem Mann in kurzärmligen Tshirt, kurzer Hose und Cap (alles in hellblau) und weißen Schuhen beobachtet. Der Golfplatz war wie auf 2 Etagen und der original Weg war wie Serpentinen ein Berg runter (nur 1 Kurve). Ich hörte 2 Moderatoren, die sofort sagten, dass der Ball von ihm falsch läuft (nicht nicht den Weg wie vorgeben). Es war eher Minigolf. Doch der Mann hat einfach abgekürzt und den Ball mit dem ersten Stoß geradeaus den Berg runter in das sehr große Loch gespielt. Die Wiese war saftig grün im im Loch war es wie ein Schachbrett mit hellen und dunkeln Feldern. Die Frau hat sich nicht gefreut, die Moderatoren haben sich gefreut und ich hab mich für den Mann auch gefreut. Ich hatte ein eher positives Gefühl aber hatte das Gefühl als wäre ich in diesem Moment ein Caddie gewesen. ",1698026220,5,2,3,6,3,1,0,0,1,1,0,1,1,0,0,1,0,0,1,2,1,159,26.5,2,1.5,2
"HI01IG",2023-10-24,NA,NA,NA,NA,NA,6,2,2,6,5,0,0,0,0,0,1,3,0,0,1,0,0,0,0,5,0,182,30.3333333333333,3,1,1
"HI01IG",2023-10-25,1,2,3,"Es war dunkel und nur Straßenlaternen haben eine Einkaufstraße beleuchtet. In 2 Schaufenstern war ein italienisches Restaurant. Es war voll ausgebucht. Die heterogenen Paar saßen an 2er Tischen am Fenster. Es kam ein Mann in schwarzer Kleidung mit schwarzen Mantel vorbei und hatte ein sehr hellen Licht dabei. Das hat er genutzt um in das Restaurant zu leuchten. Dort saßen die Menschen nur mit Kerzen und konnten deswegen, mit dem hellen Licht sehen wie ihr Partner aussieht. Also konnte man sehen wie viel Make-up jemand drauf hatte. Das dieser Mann regelmäßig dort vorbei geht aber die Uhrzeit sich ändert wusste ich so. Das Restaurant hat als Schutz für die Gäste gelbe Plissees am Fenster installier, die schnell hochfahren und das Licht nicht durchleuchten lassen. ",1698207540,7,1,1,6,4,0,0,0,0,0,0,4,0,0,0,2,0,0,0,6,0,124,20.6666666666667,6,1,1
"HI01IG",2023-10-26,1,2,4,"Ich wurde von meinem Trainer/ einem Freund zu seinem Geburtstag nächstes Jahr eingeladen. Auf meine Frage wann er nochmal feiert, antwortete er 09.11.2024. Ich hab mich sofort erinnert, dass meine beste Freundin da Geburtstag hat aber trotzdem es notiert und mündlich schon einmal zugesagt, weil ich das Gefühl hatte, dass sie nicht feiern wird. Ich stand neben einem Mann. Der hatte einen weißen Kittel an. Wir standen in einem Labor. Eine Frauenstimme erklärte mir, dass ich an eine Abstimmung teilnehmen sollte. Bei der Abstimmung/ Wahl wurde „Der/Die Daddy des Labors“ gesucht. Zu gewinnen gibt es einen goldenen Ring der den Satz „Daddy des Labors“ eingraviert hat und vielleicht auch einen Diamanten hat. In einer schwarzen Ringbox, wie bei einem Heiratsantrag. In meinem Traum habe ich den Ring wie in einer Werbung immer näher an meinem Gesicht kommen sehen während dieser sich gedreht hat. ",1698287220,8,2,2,4,2,2,1,1,2,1,0,0,1,0,0,0,0,0,1,0,1,143,35.75,2,1,2
"HI01IG",2023-10-27,1,2,3,"Traum 1:  Ich bin eine steile Straße mit parkenden Autos hochgelaufen und habe mit einer Freundin telefoniert. Hinter mir sind ein paar Mädels aus meinem Team gelaufen. Meine Freundin am Handy wollte die neusten Gerüchte über meinen ehemaligen Trainer hören. Ich habe diese ihr erzählt und sie hat sie für mich eingeordnet, ob sie   stimmen.    Traum 2:   Eine Frau hat einem italienischen Mädchen einen Satz vom deutschen ins englische übersetzt in dem es über irgendwas mit fixen/reparieren von einer Sache geht. Als das Mädchen den Satz konnte ist sie weiter zu einem Jungen. Der hat den Satz vom deutschen ins englische übersetzt. Daraufhin hat die Frau eine komplizierte Satzstellung (wie beim Mädchen) angefangen zu erklären. ",1698379920,9,2,2,5,4,3,3,3,3,1,0,3,0,0,0,0,0,0,1,3,0,115,23,2.5,1,2
"HI01IG",2023-10-28,1,2,2,"Ich war mit 3 Freunden zusammen. Meine Freundin hat mir gesagt, dass an Karneval volles Haus ist und somit nicht nur wir 4 bei ihr schlafen werden. Ich habe mich etwas geschockt aber mehr enttäuscht zu ihr umgedreht und Sie angeschaut.   Im inneren wusste ich, dass sie keine Chance hatte, die anderen nicht bei ihr schlafen zu lassen aber ich hatte die Hoffnung, dass wir nur 4 Personen seien werden.     Die Umgebung war dunkel, und wenn ich drüber nachdenke ist es so als säßen wir bei ihr im Wohnzimmer und sie und ihr Freund auf dem Sofa und ich und ein Freund auf den Boden davor. Als Lichtquelle war nur der Fernseher an und eine Kerze auf dem Tisch (wie immer wenn ich mit ihr einen Film schaue) ",1698466020,10,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,128,64,2,1,1
