"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"HL08RL",2023-11-16,1,2,5,"Der Traum hat in der Wohnung von einem Freund statt gefunden. Ich habe ihn noch nicht nach seinem Umzug Besucht und war auch noch nie in dem Wohnzimmer aus dem Traum.  Wir saßen auf einer kleinen couch vor der ein Tisch stand. Zudem führte eine balkontür auf den Balkon.Wir haben White Russian(Cocktail aus Kaluah, Wodka und Milch) getrunken und uns über verschiedene Dinge unterhalten. Ich glaube wir haben über eineVideospiel(Diablo 4) geredet das wir zusammen spielen aber ich kann mich nicht an die anderen Gesprächthemen erinnern. Ich habe mich in dem Traum sehr wohl gefühlt weil ich den Freund sehr gerne mag und wir schon lange nicht mehr zusammen saßen und geredet haben.  An mehr erinnere ich mich leider nicht und ich bin durch meinen Wecker aufgewacht wodurch der Traum unterbrochen wurde.",1700106300,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,132,44,3,1,1
"HL08RL",2023-11-17,2,-77,-77,"-66",1700190660,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL08RL",2023-11-18,1,1,1,"Ich habe davon geträumt wieder in der Schule zu sein. Die Gänge hatten weiße Wände, Grauen Boden und graue Türen. Ich bin die ganze Zeit durch die Gänge geirrt und wusste nicht in welche Klasse ich muss oder wo ich bin. Ich habe mich nicht getraut eine der Türen auf zu machen, weil ich Angst hatte das es die falsche ist. Ich hatte die ganze Zeit Panik, dass ich zu spät zum Untereicht komme.  Die Gänge waren alle leer aber ich konnte hören das in den Räumen Leute sind. Ich bin bis zum Ende des Traums durch die Gänge geirrt und Treppen hoch und runter gelaufen ohne je meine Klasse zu finden.",1700289420,3,1,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,112,22.4,5,1,1
"HL08RL",2023-11-19,1,2,5,"Der Raum aus meinem Traum hatte weiße Wände und ein Fenster. Drausen war es dunkel und man konnte nichts aus dem Fenster erkennen. Der Raum war ca. 20 Quadratmeter groß und an den Wänden standen Regale und hingen Poster. In der einen Ecke stand ein Schreibtisch mit einem Computer und in der anderen ein weißes Doppelbett mit schwarzem Bettbezug und diversen Kissen und Plushies. Der Raum nahm mir bekannt vor weil er dem von meinem Partner sehr ähnelte.  In dem Traum hatte ich Geschlechtsverkehr mit meinem Partner. Wir sind in einer homosexuellen Beziehung und er war in meinem Traum dominant. Ich habe mich in dem Traum geborgen und wohl gefühlt. ",1700377860,4,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,110,36.6666666666667,3,1,1
"HL08RL",2023-11-20,1,1,1,"Ich bin in meinem Traum nachts eine Straße lang gelaufen. Die Straße war wie in einer Spielstraße ohne Bürgersteit und mit rechteckigen Steinen gepflastert. Am Rand der Straße standen Bäume und kleine Einfamilienhäuser. In den Fenstern war kein Licht und nur vereinzelte Straßenlaternen haben die Straße beleuchtet. Es hat stark geregnet und es waren keine Sterne und kein Mond zu sehen.  Ich bin im Traum die Straße lang gelaufen um glaube ich nachhause zu laufen. Ich habe keine Person gesehen aber hatte die ganze Zeit das gefühlt von jemandem oder etwas verfolgt zu werden. Wenn ich mich umgedreht habe dachte ich immer Bewegungen in den Schatten zu sehen aber ich hab nie klar jemanden oder etwas erkennen können. Durch den starken Regen konnte ich auch nichts hören. Ich bin immer schneller gegangen weil ich Angst hatte aber die Straße hat nicht aufgehört. Es waren immer die gleichen Häuser und ein par Abzweigungen. Ich habe mich gestresst und verfolgt gefühlt. Ich konnte in dem Traum nicht rennen und wurde immer panischer. Irgendwann war ich so gestresst das ich aufgewacht bin.",1700461680,5,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,29.8333333333333,6,1,NA
"HL08RL",2023-11-21,2,-77,-77,"-66",1700549460,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL08RL",2023-11-22,1,2,3,"In meinem Traum habe ich mich in einem Lagerhaus befunden. Es war ein sehr großes Lagerhaus mit Laufstegen, die etwa 3 Meter hoch durch die Halle führten.   In meinem Traum habe ich mich mit einem Freund in der Lagerhalle versteckt. Wir haben uns vor den Sicherheitsleuten versteckt aber ich wusste nicht den Grund warum wir überhaupt dort waren. Das Licht in der Halle war nicht überall an un von Türen in den Wänden ist Licht auf den Laufsteg gefallen. Wir dachten erst das wir erwischt wurden als jemand durch die Tür geguckt hat vor der wir ca 7 Meter entfernt saßen aber dann ging er einen anderen Weg den Laufsteg entlang.  Irgendwann wurden wir von einem der Sicherheitsleute aber entdeckt und rausgeworfen. Da wir die Frau kannten die uns entdeckt hat, ist uns aber nichts passiert. Als wir gegangen sind ist mir aufgefallen das ich eine Trinkflasche in der Halle vergessen hab und die Frau, die uns gefunden hat, hat sie mir vor dem Tor der Halle gegeben. Ich hab während des Traumes nichts großartig gefühlt.",1700631180,7,1,3,9,5,3,1,0,2,1,4,0,0,0,0,0,0,0,1,4,0,180,20,3,3,3
"HL08RL",2023-11-23,1,1,2,"Ich bin in meinem Traum nachts über die Straße gelaufen. Es war dunkel und die Laternen haben ein orangene Licht auf die Straße geworfen. Zudem war es leicht am regnen. Als ich bei einem Zebrastreifen über die Straße gegangen bin kam von irgendwo ein schwarzes Auto. In dem Moment in dem mich das Auto getroffen hat bin ich aufgewacht.",1700717880,8,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,19.6666666666667,3,1,NA
"HL08RL",2023-11-24,1,2,3,"In meinem Traum war ich in einer Mensa. Es war ein sehr großer Raum und am den Seiten standen mehrere Tische. Auf der einen Seite war der Eingang und dem gegenüber war die Essensausgabe. An den Seiten an denen Tische stehen waren dahinter viele Fenster. Die Mensa hatte zudem eher gelb-orangene Wände und eine Weise Decke. Die Decke war zudem ungefähr so hoch wie in einem normalen Raum.  Ich hatte mir mit meinem Partner etwas zu essen geholt als ich auf dem Weg zum Tisch einen anderen Komolitonen gesehen hab den ich noch etwas fragen wollte. Ich bin deswegen zu dem anderen Komolitonen gegangen um ihn zu fragen. Er hatte sich mit drei anderen Leuten über irgendetwas unterhalten. Als er fertig war und sich mir zugewandt hatte habe ich ihn gefragt ob es noch öfter table top Abende gibt und er hat ja gesagt. Danach habe ich mich bedankt und bin mit meinem Partner zurrück zu unserem essensplatz gegangen. Die Stimmung des Trauns war die ganze Zeit sehr neutral aber als der Klmolitone mir gesagt hat das es noch öfter Tabltetop Abende gibt hab ich mich gefreut.  (Falls relevant: Ich möchte den Kommolitinen in echt auch fragen ob es noch andere Tabletop Abende gibt habe aber bis jetzt nicht die Gelegenheit gehabt) ",1700797800,9,1,1,7,5,4,4,2,2,5,0,1,0,1,0,1,0,0,6,2,0,216,30.8571428571429,7,1,1
"HL08RL",2023-11-25,1,2,4,"  Am Himmel waren keine Wolken und die Sonne ist langsam untergegangen. Es ist leicht warm, so das mir in meinem Tshirt und meiner Kurzen Hose nicht kalt ist. In der Ferne kann ich andere Menschen hören aber bei mir ist niemand anderes.  Ich bin in einem Labyrinth und stehe auf einem Weg zwischen hohen Hecken. Die Hecken sind so dicht, dass ich nicht hindurch sehen kann und ungefähr drei Meter hoch. Die Blätter sind klein und grün. Der Weg ist ein staubiger Schotterweg. Immer wieder sehe ich ein par Krähen am Himmel.  Ich laufe in meinem Traum immer weiter durch das Labyrinth, aber weiß nicht ob ich tiefer ins Labyrinth laufe oder zum Ausgang.   Ich hab mich in dem Traum eher wohl gefühlt weil es angenehm warm war und die Luft sauber war. Ich hatte nur etwas Angst davor, den Ausgang nicht zu finden bevor es dunkel wird.",1700899800,10,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,37,4,1,NA
"HL08RL",2023-11-26,1,2,5,"Ich war in einem großen Raum. Die Wände waren weiß und an der Wand hing eine schwarze große Pendeluhr. An einer Seite des Rauns waren große Fenster und draußen schien die Sonne. Der Raum kam mir teilweise bekannt vor weil er einem Raum in der alten Wohnung des Freundes, der auch im Traum vorkommt, ähnelte.  Ich saß mit dem Fteund an einem großen Holztisch. Auf dem Tisch standen kleine Figuren und Farben. Manche der Figuren waren gekauft und andere mit einem 3D-Drucker gedruckt.  Wir haben zusammen eine große gedruckte Figur bemalt und sie dann Stück für Stück zusammen gesetzt. Dabei haben wir uns über Warhammer 40k(Tabletop-Spiel) unterhalten.   Die Stimmung in dem Traum war sehr angenehm und wir waren beide glücklich und konzentriert.",1700987400,11,1,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122,40.6666666666667,3,1,1
"HL08RL",2023-11-27,1,2,1,"In meinem Traum war ich in meinem alten Kinderzimmer. Auf dem Boden liegt ein orangener Teppich und die Wände sind in einem Gelb-Orange gestrichen. In einer Wand ist ein Fenster und draußen ist es dunkel. An den Wänden hängen Poster.   In meinem Traum diskutiere ich mit meiner Mutter, dass ich nicht zum Taekwondo-Training möchte. Die Diskussionwird immer mehr zu einem Streit. Ich laufe während des Streits in meinem Zimmer auf und ab. Ich fühle mich sehr frustriert weil ich nicht zum Training möchte und denke das es Zeitverschwendung ist. Zudem bin ich sowieso schon lange nicht hingegangen und hab die Sachen wieder verlernt.  Ich bin aufgewacht bevor der Streit zuende war.",1701063540,12,1,1,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,0,0,111,27.75,4,1,1
"HL08RL",2023-11-28,2,-77,-77,"-66",1701162600,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL08RL",2023-11-29,1,2,4,"Ich bin in meinem Traum mit einem Freund über einen Friedhof gelaufen. Die Sonne hat geschienen und auf viele Gräbern waren bunte Blumen. Der Weg war ein staubiger Schotterweg. Zwischen den Gräbern standen große Nadelbäume unter denen es schattig war.  Wir hatten beide unsere Haare an den Spitzen blau um zueinander passende Haare zu haben. Zudem hatten wir beide die gleiche Kette mit einem Pentagram mit einem blauen Stein in der Mitte.  Nachdem wir eine Weile über den Friedhof spaziert sind kam eine Straße und auf der anderen Straßenseite war ein Gebäude. Das Gebäude war vier oder fünf Etagen hoch und aus Ziegeln. In jeder Etage waren viele hohe Fenster. Wir sind in das Gebäude gegangen und die Treppe hoch. Die Träppe war aus schwarzem Stein und hatte weiße Wände. Ganz oben war eine Tür die auf das Dach des Gebäudes führte und wir haben uns auf dem Dach in den Schatten einer Wand gesetzt und über die Stadt geguckt. Den Traum über war es die meiste Zeit eine angenehme Stimmung und ich habe mich geborgen gefühlt.  Als es irgendwann dunkel wurde und wir gegangen sind habe ich mich traurig und einsam gefühlt. Ich vermisse den Freund aus dem Traum sehr. ",1701243240,14,1,3,9,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,205,22.7777777777778,3,3,3
