"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"HL20VK",2023-09-28,2,-77,-77,"-66",1695880020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-09-29,2,-77,-77,"-66",1696005780,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-09-30,1,2,5,"ich hab geträumt dass ich nach einem Krankenhausaufenthalt nochmal hin musste und habe die Nachricjt von meiner Mutter bekommen, dass ich einen tollen Eindruck hinterlassen habe und einen Praktikumsplatz sicher habe ",1696098600,3,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,32,16,2,1,1
"HL20VK",2023-10-01,1,2,2,"Ich war in einer Art Mensa und alle haben was zu essen am Tisch bekommen außer meine beste Freundin, die hat Potato Wedges bekommen und sich darüber profiliert.   Das empfand ich schon als unangenehm.",1696145460,4,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,2,36,18,2,1,1
"HL20VK",2023-10-02,2,-77,-77,"-66",1696225860,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-03,2,-77,-77,"-66",1696323060,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-04,2,-77,-77,"-66",1696397700,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-05,2,-77,-77,"-66",1696489860,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-06,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-07,2,-77,-77,"-66",1696703400,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-08,2,-77,-77,"-66",1696743840,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-09,2,-77,-77,"-66",1696835820,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-10,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL20VK",2023-10-11,2,-77,-77,"-66",1697020500,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
