"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"JH12MR",2023-09-05,2,-77,-77,"-66",1693890240,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JH12MR",2023-09-06,2,-77,-77,"-66",1693975140,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JH12MR",2023-09-07,1,2,2,"Ich war in einer fremden Umgebung. Ich wusste im Traum aber dass ich in Italien war. Dort war ich mit meinem Freund, der aber  real nicht existiert.  Er taucht plötzlich auf und schimpft, weil ich einen Gurkenbaum.sehe und einen Zweig davon abschneide. Ich möchte zuhause einen Ableger haben. Dann fällt mit aber im Traum ein  dass es gar keine Gurkenbäume gibt und das macht mich sehr traurig. Dann bin ich zuhause und der Baum ist weg. Ich suche ihn überall. Mein Freund lacht mich aus. Mein Freund hat im Traum kein Gesicht",1694102460,3,1,2,7,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,92,13.1428571428571,3.5,2,2
"JH12MR",2023-09-08,2,-77,-77,"-66",1694149860,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JH12MR",2023-09-09,2,-77,-77,"-66",1694232120,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JH12MR",2023-09-10,1,1,2,"Ich bin mit einer Freundin unterwegs, wir sind auf dem Weg  nach Hause. Wir stehen im Bus, obwohl wir Sitzplätze haben, die für uns reserviert sind, das ist irgendwie sehr wichtig für uns. Vorher haben wir in einem Café nichts mehr zu essen bekommen und sind beide sauer. Deswegen haben wir es eilig. Der Bus fährt längst, als ich durch dienHeckscheibe meinen Vater sehe. Ich habe noch eine Frage an ihn und rufe ihm durch die offene Tür zu. Er antwortet mir, aber ich verstehe ihn nicht. Jetzt steht auch meine Mutter neben ihm und beide rennen los und versuchen den Bus einzuholen. Ich schreie, dass es nicht so wichtig ist, ich kann sie ja noch anrufen. Meine Freundin findet, wir sollen uns jetzt bitte hinsetzen. Ich mach mir aber sorgen und schaue immer wieder nach meinen Eltern. Ich sehe dass der Busfahrer meine Rltern im Rückspiegel beobachtet und ich denke er stoppt jetzt die Fahrt. Aber er hält nicht an. Meine Eltern liegen jetzt wie tot auf der Straße und ich habe Angst, dass sie über fahren werden.Ich sage zu meiner Freundin, dass wir sofort aussteigen müssen, aber vorher müssen wir noch unsere Sitzplätze mit einer schweren Eisenkette sichern. Wir schaffen es aber nicht. Meine Freundin fängt an zu weinen und ich bin genervt, weil ich sie jetzt trösten muss obwohl meine Eltern doch wie tot auf der Straße hinter uns liegen. Der Bus ist jetzt eine Straßenbahn und fährt in die unterirdische Haltestelle ein. Die Tür öffnet sich, aber wir sind noch mit der Kette beschäftigt und können nicht aussteigen. Wir sind alleine in der Bahn und denken dass bald die Tür wieder schließt und lassen die Kette einfach fallen um auszusteigen. Ich bin sehr traurig weil ich weiß dass es zu spät ist, meine Eltern sind sicher tot. Dann ich bin aber sauer, weil ich jetzt keine Antwort mehr auf meine Frage erhalte und die Sitzplätze sind ja auch nicht gesichert.  Jetzt bin ich shoppen und meine Mutter steht neben mir und schimpft, weil ich den Bus nicht angehalten habe, deswegen sei sie jetzt tot. Ich sage dass das ja nicht meine Schuld sei, ich bin nicht der Busfahrer  sie sagt doch das bist du, du trägst doch die Uniform. Ich schau an mir runter und sehe keine Uniform aber ich weiß dass sie recht hat.  Ich bin jetzt sehr genervt und will weg von meiner Mutter, aber da steht jetzt nur meine Freundin mit der Eisenkette in der Hand",1694315280,6,1,3,21,16,10,6,2,6,15,1,0,0,2,0,0,0,0,17,1,0,416,19.8095238095238,7,3,3
"JH12MR",2023-09-11,2,-77,-77,"-66",1694407080,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JH12MR",2023-09-12,2,-77,-77,"-66",1694494980,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JH12MR",2023-09-13,1,2,4,"Ich gehe über eine Blumenwiese, sie duftet so schön, wonach weiß ich nicht. Ich bin alleine, aber ich warte auf meinen Freund. Er kommt nicht, dafür eine Freundin. Wir schaukeln auf einem Spielplatz der plötzlich da ist. Dann fliege ich über Häuser. Mein Freund ist unten und winkt mir zu. Ich will noch weiter fliegen, aber auch zu ihm. Ich rufe er soll auch fliegen, aber jetzt ist er weg. Ich fliege weiter bis zu einem Kirchturm. Meine Freundin ist wieder bei mir, wie küssen uns. Da endet dr Traum",1694585880,9,1,3,8,4,3,2,1,2,4,0,0,0,0,0,0,0,0,4,0,0,90,11.25,2.66666666666667,3,3
"JH12MR",2023-09-14,2,-77,-77,"-66",1694664180,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
