"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"JN06AM",2023-08-17,2,-77,-77,"-66",1692252000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-18,2,-77,-77,"-66",1692376260,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-19,1,2,4,"Ich war mit meinen Uni-Freunden auf „Klassenfahrt“ mit noch weiteren Personen von der Uni. Wir waren insgesamt ca. 7 Personen. 3 davon sind meine engen Freunde aus der Uni und 3 Personen kenne ich nur flüchtig. Wir waren alle zusammen in einer Art Arztpraxis, weil sich einer aus der Gruppe nicht wohl fühlte. Er war dann für den Hauptteil des Traums nicht mehr anwesend. Ich saß mit den weiteren Personen im Wartezimmer und wir redeten über die Statistiknote, die wir über den Tag bekommen haben. Es war ein sehr entspanntes Gespräch. Nach einer gewissen Zeit im Wartezimmer kamen zwei Männer, die ich nicht kannte, die aber anscheinend auch an der Uni studierten und über die Uni-Memes Seite mit uns redeten. Nach einer gewissen Zeit kam mein Freund aus der Untersuchung und wir gingen alle zusammen etwas essen. Es muss Lobster gewesen sein, weil wir beim nächsten Setting, auf einem Boot auf dem See darüber sprachen, wie der Abend und das Abendessen war. Auf dem Boot waren dann noch mit uns zusammen ein American Football Quarterback und seine Frau, die sich dann auch mit uns über Lobster unterhielt. Er sagte, dass er erst gar nicht wusste, was wir meinen und nannte dann ein franziösisches Wort, dass er immer für die Bezeichnung von Lobster verwendete. Ich kannte dieses Wort nicht und die gesamte Gruppe auf dem Boot inkl. der Quarterback mit seiner Frau lachten darüber.     Dann war der Traum vorbei.",1692422400,3,1,5,11,10,9,7,4,6,1,0,1,0,0,0,2,0,0,1,3,0,239,21.7272727272727,2.2,5,5
"JN06AM",2023-08-20,2,-77,-77,"-66",1692562800,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-21,1,2,2,"Ich war mit zwei Freundinnen in einem Konzert. Wir waren alle sehr chic angezogen. Im Laufe des Abends entwickelte sich das positive Setting immer mehr zu einem Tatort-Setting. In den Gängen des Opernhauses war es sehr dunkel. Dunkelbraune Holzelemente waren an den Wänden und die Räumen wurden nur schwach von Lampen an den Wänden beleuchtet. Ich war gerade mit meinen Freundinnen auf dem Weg zur Toilette, doch dann ging ein Mann schnellen Schrittes an uns vorbei und ging in die Toilette. Wir blieben kurz stehen und wunderten uns, dass er auf die Frauentoilette ging, doch nach etwa 30sek folgte ihm eine Frau in die Toilette und man hörte schnell aufeinander folgende Hebelgeräusche. Wir baten die beiden Männer, die auf den Bänken um die Toilette saßen um Hilfe. Wir rannten alle gemeinsam in die Toilette, weil uns klar war, dass dort gerade auf jemanden eingestochen wird. Wir wussten nur nicht, wer auf wen einstach. Als wir die Tür öffneten, sahen wir, wie die Frau immer wieder für den nächsten Stich ausholt. Als sie uns bemerkte, ließ sie das Messer fallen, kam auf uns zu und sagte: „Sagt mir Bescheid, ob er es übersteht.“ und ging an uns vorbei. ",1692595920,5,1,2,14,10,5,3,0,2,2,0,6,0,2,0,1,0,0,4,7,0,197,14.0714285714286,7,2,2
"JN06AM",2023-08-22,2,-77,-77,"-66",1692686040,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-23,2,-77,-77,"-66",1692768720,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-24,2,-77,-77,"-66",1692896220,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-25,2,-77,-77,"-66",1692967140,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-26,2,-77,-77,"-66",1693074600,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-27,2,-77,-77,"-66",1693166160,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-28,1,2,2,"Dieser Traum fühlt sich so an, als würde ich im Traum schlafen und hätte das Jeweilige geträumt.   Ich war in Asien und war auf der Flucht. Wie es dazu gekommen ist, kann ich nicht sagen. Ich bin durch die ganze Stadt gelaufen und konnte die Verfolger schnell abhängen, aber irgendwie lief ich trotzdem weiter. Ich rannte in so eine Art Freizeitpark und dort wurde ich weiter verflogt und rannte über Hängebrücken und durch Warteschlangen durch. Danach war ich wieder beim Frühstück mit meiner Familie und wurde nicht mehr verflogt. ",1693222320,12,2,3,9,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,89,9.88888888888889,3,1.5,1
"JN06AM",2023-08-29,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-30,2,-77,-77,"-66",1693371720,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-08-31,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JN06AM",2023-09-01,1,2,4,"Ich war in einer Garderobe mit fünf Freundinnen. Wir waren alle chic angezogen und trugen lange Ballkleider. Wir redeten gerade über das nächste Semester als unser mein bester Freund in den Raum kam. Er strahlte über beide Ohren und trug einen schwarzen Anzug. Er kam auf uns zu und sagte:“ Na Ladies, seid ihr bereit?“ wie strahlten alle zurück und gingen raus. Ich hatte einen schönen Strauß in der Hand und wusste noch nicht, wofür ich in brauchen werde, doch dann kam es mir. Ich traten aus dem Haus heraus und vor uns war ein etwa 30m langer Weg mit einem weißen Teppich und vielen Blumenblättern auf dem Boden. Die Musik began, als wir ankamen und eine meine Freundin ging los. Es dämmerte mir, dass wir wohl auf der Hochzeit unseres besten Freundes waren.  Als ich auf dem Weg war, bin ich leider aufgewacht.",1693548240,16,1,1,11,5,3,2,1,2,5,0,0,0,2,0,0,0,0,7,0,0,146,13.2727272727273,11,1,1
