"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"JS08VC",2023-08-22,1,2,2,"Ich habe geträumt, dass ich mit meiner Tante spreche über ein Mädchengymnasium in Mannheim. Wir befinden uns auf einem großen Platz in Mannheim Neckarstadt, es befinden sich keine Menschen um uns. Nur ich, meine Tante und ein Mann der sich als der Hausmeister des Gymnasiums herausstellt. Die Wiesen sind alle gelb wie Stroh. Wir stehen in der Nähe von Straßenbahngleisen. Es ist schönes, heißes Wetter. Die Sonne scheint.   Wir sprechen darüber, dass die Mädchen in diesem Mädchengymnasium wohl ständig schwanger geworden sind, also recht früh Mütter wurden (Teeniemütter). Dafür sei das Gymnasium bekannt gewesen. Diese Teeniemütter hätten ihre Babies immer umgebracht und diese in ihre Betten gelegt und über die Betten Kreuze angebracht. Es wurde mir erzählt, dass sogar Sarah Conners Sohn dort auf das Gymnasium ging. Obwohl das, im Nachhinein, unlogisch ist, weil er ein Junge ist. Er hätte dort seine erste psychische Störung entwickelt. Meine Tante berichtete darüber, dass es zu ihrer Zeit nicht so schlimm gewesen sei, aber das sie sich vorstelle, dass es jetzt schlimmer sei. Der Hausmeister berichtete, dass das Gymnasium letztendlich geschlossen worden sei.",1692691920,1,1,1,3,2,2,1,1,2,1,1,0,0,0,0,0,0,0,1,1,0,180,60,3,1,1
"JS08VC",2023-08-23,2,-77,-77,"-66",1692776100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JS08VC",2023-08-24,1,1,2,"Ich befinde mich in einer mir unbekannten Küche und trage eine schwarze Abaya. Ich bin beschäftigt das Geschirr abzuräumen und höre im Nebenraum Gespräche die ich nicht klar verstehen kann. Auf einmal kommt jemand rein und bringt Geschirr in die Küche. Ich sehe alles aus der Vogelperspektive. Es ist ein Besucher (männlich) mir unbekannt. Er ist ungefähr Ende 20 und stellt das Geschirr neben mir ab. Ich bedanke mich und fahre fort als er mich an meinem Handgelenk zu sich dreht und mich gegen die Küchenzeile drückt. Er sagt mir er wüsste das ich unter meiner Abaya wunderschön sei. Ich stürme aus der Küche zu meinem Exfreund und berichte ihm von dem Vorfall. Er schaut mich an und fragt mich wer es gewesen sei. Dann endete der Traum.",1692873660,3,1,4,12,9,6,1,1,6,3,0,5,1,0,0,0,0,1,3,5,1,128,10.6666666666667,3,4,4
"JS08VC",2023-08-25,2,-77,-77,"-66",1692973980,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JS08VC",2023-08-26,2,-77,-77,"-66",1693062840,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JS08VC",2023-08-27,1,2,4,"Ich hatte während eines Power Naps den Traum, dass ich vor einem Haus stehe. Es ist mir unbekannt, aus roten Backsteinen mit weißen Fensterrahmen und einem Vorgarten.  Das Häuschen steht auf einem Hügel, es scheint die Sonne. Im Hintergrund sehe ich einen See. Er ist so groß, dass ich das andere Ufer nicht sehen kann. Ich möchte reinlaufen aber ich kann mich nicht bewegen. Es sieht nicht bewohnt aus.   Ich fühle mich glücklich.",1693149600,6,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,14.6,5,1,NA
"JS08VC",2023-08-28,1,2,4,"Ich bin in einem Fußballstadion. Es ist jedoch komplett leer. Es ist alles in Grautönen gehalten (so wie ein Schwarz/Weiß Film). Nur ich bin da und A. Wir sehen uns von weitem. Er freut sich sehr mich zu sehen. Ich überlege ob ich zu ihm laufen soll oder nicht. Ich entscheide mich dafür und laufe auf ihn zu. Ich bin so froh das wir endlich sprechen können.",1693211400,7,1,1,4,2,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,67,16.75,4,1,1
"JS08VC",2023-08-29,1,2,4,"Ich befinde mich in einer Art Kinderfreizeit. Es sind sehr viele Kinder um mich herum und ich scheine eine Erzieherin zu sein. Der Traum bricht öfter ab und ändert ständig die Szene. Erst befinde ich mich in einem Raum in dem ganz viele Kinder an Tischen sitzen und basteln und malen. Ein kleines Mädchen ist an meiner Seite, sie ist dunkelhäutig und trägt ein knallorangenes Kleid ich küsse sie auf die Stirn und nehme sie mit an einen Tisch.   Dann bricht der Traum ab und ich befinde mich in einem Spieleparadies und rutsche mit einigen der Kinder eine grüne Wellenrutsche hinunter.   Erneut bricht der Traum ab und ich befinde mich dieses Mal jedoch auf einem Schiff.   Dabei habe ich Süßigkeiten in der Hand und suche eine kleine Tüte um diese reinzulegen. Dabei klopfe ich an eine Tür und eine Bekannte macht mir auf und gibt mir eine Tüte.  ",1693287300,8,2,3,12,7,4,1,0,3,2,0,5,0,0,0,3,0,0,2,8,0,148,12.3333333333333,4,1.5,3
"JS08VC",2023-08-30,2,-77,-77,"-66",1693420200,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JS08VC",2023-08-31,1,2,3,"Ich sitze in einem Auto, es ist ein sonniger Tag und fahre über eine Kreuzung. Dabei fällt mir ein kleiner Junge auf, er sitzt alleine auf einer Parkbank. Als ich umkehren will um nachzuschauen ob er alleine ist, ist er verschwunden.   Ich steige aus dem Auto und schaue mich um aber finde ihn nicht mehr wieder. Es ändert sich die Szene. Ich sitze zuhause.",1693504080,10,1,2,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,64,9.14285714285714,3.5,2,1
"JS08VC",2023-09-01,1,2,2,"Ich befinde mich in Räumlichkeiten, die ich nicht kenne mit der Familie meines Exmannes.   Jedoch soll ich wohl wieder zurück zu dem Gemeindechor und singen obwohl ich das nicht mehr möchte. Sie sagen, ich solle wieder freitags zum Proben da sein und sonntags singen. Es wird auf mich eingeredet obwohl ich das nicht mehr möchte. Ich fühle mich überrumpelt. Der Raum ist hellgrau und es stehen kaum Möbel in ihm. Ich sehe alles aus meiner Perspektive. Es sind L, JM, M und E da sowie auch S.  ",1693535220,11,1,1,3,2,1,0,0,1,2,0,0,0,2,0,0,0,0,4,0,0,87,29,3,1,1
"JS08VC",2023-09-02,2,-77,-77,"-66",1693675980,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
