"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"KR04SB",2023-10-25,1,2,3,"Ich war auf einem Grundstück mit Haus das im Traum meinem Vater gehört hat, meine kleinen Brüder und er haben eine Grillparty gemacht. Dann hat er mir am Rande des Grundstückes am Zaun eine Holzwand mit Riss gezeigt. Er meinte darunter schwimmt oft ein kleiner Delfin durch, durch welchen die Risse im Holz entstehen. Links davon stand ein Korb mit Kompost in welchem auch ein kleiner delfinatiger Fisch lag, mein Vater meinte allerdings das es nicht um diesen ginge. Rechts von der Holzwand lag etwas steiler ein Gartenteil der wohl mal mit roten Steinplatten bedeckt war, nun lagen davon aber nur noch wenigen im sehr durchnässten Matsch herum. Dazwischen kam ein Karpfengroßer, matschiger Delfin aus dem Boden hervor der keine Angst vor Menschen zu haben schien und mich neugierig beäugte. Nach einer Weile schnappte ich mir eine Gießkanne und fing an ihn vorsichtig zu Wässern, woraufhin sich der Schmutz löste und ich den Delfin zum ersten Mal tatsächlich betrachten konnte. Ich ging zurück zum Haus das sich inzwischen in eine Hausfront, die halb in einer Anhöhe welche mit geernteten Mini-Mais bedeckt war, vergraben lag, verwandelt hatte und stieg die Anhöhe zum Tor hinauf hinter welchem ich Felder und einen Sonnenuntergang erahnen konnte. Als ich mich umdrehte hatte der Garten sich in eine Feldlanschaft verwandelt auf welcher Pferde grasten. Ich ging zu den Pferden auf die Weide, welche mit erstaunlich dichtem Unkraut bewachsen war und bemerkte ein Weiß-Braun getüpfeltes Felbündel das zwischen meinen Beinen vorbeireaste und im Gestrüp verschwund. Erst dachte ich es wäre eine Rate gewesen aber alsbald folge ihr eine ähnlich gemusterte Katze mit einem weiteren Katzenbaby im Maul. Ich begann die Katze zu streicheln. Als das jedoch die Pferde bemerkten, scheuten sie, schnappten nach mir und liesen sich nicht mehr beruhigen. Die Katze floh darufhin mit ihrem jungen im Maul in einer umglaublichen Geschwindigkeit ins Unkraut. Als ich zurück am Haus war, zeigten Dorfbewohner wieder auf die Felderlandschaft, auf welcher links neben der Pferdekoppel auf einmal ein Fahrradladen aufgetaucht war, welcher zu meiner Blickrichtung keine Wänder hätte und das Feld hinter der Koppel von irgendwas nicht sichtbarem durchflügt und zerstört wurde. Ich fand mich im Fahrradladen wieder in welchem ich den aufgebrachten Dorfbewohner:innen erklärte dass es sich dabei um die verschreckte Katze und ihre Jungtiere handelte und ich mich drum kümmern würde. Daraufhin fing ich an mit den Armen zu flattern, flog zum demolierten Feld und beobachtete die Katze von oben. Im nächsten Moment war ich an einer Straße hinter der Hausfassade und stieg in das Auto von irgendeinem Dude ein, in welchem ich weiterhin darüber nachdachte, wie mit der Katze zu verfahren wäre. Erst als der Dude anfing unglaublich schnell über die Landstraße zu fahren und sich der Tacho 300kmh näherte, konzentrierte ich mich wieder auf ihn und schrie ihn an anzuhalten und mich rauszuhalten, er könne sich alleine umbringen. Von dort aus konnte ich die Felder und die Hausfront sehen und machte mich auf den Weg dorthin zu laufen. Allerdings kam ich nicht dort sondern auf einer Bergsenke am Meer an und war plötzlich ein schwarzhaariger, 12 jähriger Weisenjunge. Die höchste Stelle der Bergsenke bildete zum Meer hin eine Klippe und neigte sich zur anderen Seite wie ein Tal hinab zu einem Krater in welchem der Boden schwarz und aufgewölbt war. Ich stand vor dem Krater und sah zu meinem Weisenhaus hinauf welches sich auf dem linken Rand der Klippe befand. Der Berg war überwachsen von hohem Gras welches sich im Winde des Meeres wog. Sobald der Wind in meine, und in die des Kraters in meinem Rücken, bließ, kaumen aus dem Gras Blumen hervor welche Pfeile bildeten die hinab auf den Krater deuteten und von mir verlangten hinein zu gehen. Plötzlich erschienen um mich herum meine mit-Weisenkinder, spielen auf und am Krater, verschwanden aber genauso schnell wieder. Ich entschied mich nach langem Zögern in den Krater zu gehen, in welchem sich nach geräumer Zeit ein sich öffnender Lüftungsschacht in der Wand auftat. Mit den Blumenpfeilen im Rücken kletterte ich hinein.   Vor mir erstreckte sich eine unterirdische Anlage aus Beton die sich im rechten Teil des Berges befinden musste. Ich lief einen Gang entlang bis ich zu einem großen Raum, ich würde kleine Halle sagen aber dafür waren die Decken zu niedrig, vollgestellt mit Apparaturen kam und mich hinter einem Senkrecht in den Boden geramten Stahlträger versteckte. Mir wurde klar das hier Menschenexperimente durchfeührt wurden. Links von mir begann eine der Apparaturen, die aussah wie ein Polylux nur mit einer altmodischen Laserpistole statt dem Lichtprojektor Teil, an zu blinken und wirr in alle Richtungen zu schießen. In dem Gedanken dass dies eine Abwehrfunktion der Einrichtung wäre und ich entdeckt worden wäre, kauerte ich mich tiefer hinter den Stahlträger um nicht getroffen zu werden. Nach kurzer Zeit erschien eine Wissenschaftlerin im weißen Kittel und mit einem Tablett in der Hand und versuchte panisch herauszufinden was mit dem Gerät nicht stimmt. Woraufhin alle Aperraturen in dem Raum begannen verrrücktzuspielen und in alle Möglichen Richtungen zu schießen. Ein Alarm ging los und der Raum wurde in das flackernde Rote Licht einer Alarm Leuchte getaucht. Mehr Wissenschaftler:innen erschienen aus Toren und Türen an der gegenünerliegenden Wand. Diese aber nicht bemüht darum die Apparaturen in den Griff zu kriegen sondern auf der Flucht aus dem Gebäude. Keiner bemerkte mich. Mir wurde klar das mir hier gerade die Vergangenheit gezeigt wurde. Die erste Wissenschaftler:in stand aufeinmal durchgeschwitzt neben mir und rief in die Menge  Das ist alles meine Schuld ich übernehme die volle Verantwortung für all das hier  und deutete in die Halle. Daraufhin verschwanden die Wissenschaftler:innen und ich stand wieder alleine in der Halle. Dieses unterirdische Konstrukt schien eine Einrichtung gewesen zu sein welche die Menschen auf dem Berg beobachtete und wir Weisenkinder waren was davon übrig war? Icht spürte Druck den Raum zu durchqueren und mehr herauszufinden aber wachte stattdessen auf.",1698211620,1,1,12,35,10,4,0,0,4,1,3,5,1,0,1,3,0,1,1,12,1,987,28.2,2.91666666666667,12,6
"KR04SB",2023-10-26,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR04SB",2023-10-27,1,2,4,"(Ich geh davon aus das ich hiervor noch mehr geträumt habe, dunkel kann ich mich an einen Ice der in einem Tal durch Schnee fährt erinnern aber mehr nicht.)   Ich kam aus einem Container und war auf einer Talwiese in Österreich mit meiner Traum-Famile, bestehend aus Edward und Bella von Twillight als Eltern und weiteren unwichtigen Geschwistern. Die Gipfel der Berge um uns herum trugen Schnee und am Rand der Wiese lief ein Fluß, welcher zum Wald hin mit Bauzäunen abgestellt war und sich irgendwo im Wald verlor. Meine Geschwister gingen jeden Tag aus und regelmäßig zur Schule nur ich musste immer bewacht von meinen Eltern auf der Wiese bleiben. Eines Tages überzeigte ich meine Mutter davon mit mir auf Reifen den Fluss entlang zu fahren. Als dieser Reißender wurde und kurz davor war sich zu spalten, trat ich gegen den Reifen meiner Mutter und beförderte sie so auf den rechten Flußarm, der wieder an der Wiese vorbei führen würde und mich auf den Linken, welcher in einen dichten Urwald hinein führte.   Nach einer Weile Spaltete sich der Fluß plötzlich wieder. Links floss er langsam und breit weiter, recht endete er in einer Schmalen nach oben Führenden Spirale. Ich nach Rechts um eine Windung und Sprang dann auf das Ufer zwischen den beiden Flußteilen. In der Mitte der Spirale lag ein mit Bauzäunen abgegrenztes Wasserbecken in welches das Wasser nach untengezogen zu werden schien. Von dort aus ging eine Rutsche, deren oberes Ende aber noch hinter den Bauzäunen lag, die Anhöhe zum linken Flußteil hinab und endete in diesem. Ich kletterte ein Stück die Erhöhung zum linken Teil hinab und überlegte mir wie ich auf den unteren Teil der Rutsche kommen könnte um von da aus zu sehen ob Tiere im Wasser waren die mir bei der überqueerung des Flusses gefährlich werden könnten. Zwischen mir und dem Zugang zur Rutsche lagen Schlangen verschiedener Größe und Farben. Endlich schaffte ich es diese zu umgehen und stand nun auf der Rutsche. Im Wasser konnte ich keine Tiere entdecken. Auf der anderen Seite des Ufers Stand eine brüchige Mauer, welche Halb vom Urwald überwachsen war. Aus dieser schauten mich zwei Geschwister an und sagten mir das der Fluss sicher zu überqueeren währe. Vor meinem geistigen Auge machten mir die eine der Beiden es vor. Ich sprang rein und zog mich am anderen Ufer die Mauer hinauf auf einen Vorsprung, von dem aus ich zu dem gleichhohen, etwas mehr Flussabwärts gelegenen Fenster der Geschwister sehen konnten. Das Mädchen kicherte und vor meinem inneren Auge sah ich ein Bild von hier wie sie von meiner Position aus nochmal reinsprang, sich Flussabwärts treiben lies und sich dann das Fenster hoch zu ihrem Bruder zog, tat es ihr nach und wurde alsbald von den neugierig von den Geschwistern beäugt. Ich sah mich um. Hinter dem Fenster lag ein verfallener kleiner Raum. Ein altes Motorad stand in der Ecke und ein Durchgang ohne Tür schien in weitere Räume zu führen. Die Geschwister waren beide in Schwarz gekleidet und trugen umhänge. Ich erklärte Ihnen das ich mich vor meiner Familie (welche inzwischen nicht mehr Edward und Bella sondern die Eltern von der Adams Famile waren), verstecken musste und fragte sie ob sie mir bei der Flucht helfen konnten. Der Bruder nahm den Auftrag an und im selben Moment fuhren meine Eltern auf einem schwebenden Motrorrad über den Fluss, am Fenster vorbei, entdeckten mich aber nicht.   Von da an war ich mit dem Bruder unterwegs.   Nachdem wir den Urwald durchquert hatten, und uns nicht selten im Unterholz verstecken mussten wenn uns plötzlich Motarradgeräusche entgegen kamen, landeten wir auf einer Pferdefarm.   Den Urwald in der Ferne noch erahnbar standen wir nun in der Wüste. Vor uns ein eingezäunte sand Koppel, an den Rändern Boxen mit Pferden. Ganz vorne standen zwei Menschen in bunter Kleidung und machten Yoga und Tanzübungen vor, welche von den Pferden, die für die meisten Übungen auf zwei Beinen standen, eifrig nachgemacht wurden. Neben mir stand nun eine Frau und erklärte mir das dies besonders gut für die Pferde sei und Teil ihres Geschäftskonzeptes. Ich fragte sie nach Unterkunft und sie bot uns ein Zimmer an unter der Bedingung das wir kurz halfen die Tanz/Yoga Runde anzuleite. Die Übungen mussten nämlich möglichst abwechslungsreich sein damit die Pferde sich nicht langweilten und weiter fleißig mit machten.   Also zappelte ich mir einen ab, was mir große Freude bereitete, wurde anschließend abgelöst und begann aus dem Publlikum mit den Pferden und meiner Reisebegleitung weiter zu tanzen. Irgendwann fing mein Begleiter an mich im Kreis zu spinnen und die Pferde bildeten einen klatschenden Ring um uns (hier wunderte ich mch kurz das ich so viele pirouetten drehen konnte ohne das mit schlecht wurde und dachte daran wie verwirrt meine Eltern wären wenn sie mich jetzt sehen könnten. Schließlich war ich nicht weggelaufen um nie wieder zu ihnen zurück zu kehren, sondern um rauszufinden warum sie nicht wollten, dasss ich unbeobachtet in der Welt herumlief.)  Anschließend fielen mein Begleiter und ich zu Boden und machten ein paar Fotos, von uns und von den Geschehenissen um uns herum. Als ich wieder aufstand flog mir aus der Ecke einer Spinne ins Gesicht, welcher ich versuchte auszuweichen, die allerdings fliegen konnte und fest davon überzeugt war in meinem Gesicht zu landen. Eine der Trainerin rief mir zu kurz rauszurennen und die Spinne dort loszuwerden. Ich drehte mich um und rannte zum Ende der Koppel, sah kurz über meine Schulter zu den anderen zurück, sah aber statt ihnen nur die Haustür meines (echten) Vaters, die Spinnen flog an mir vorbei und klatschte gegen das Hausflurfenster. Ich nutzte den Moment um die letzten Tage Revue passieren zu lassen und stellte fest das ich anfing mich in meine Begleitung zu verlieben. Dann checkte ich Instagram und sah das er ein Video von uns in seiner Insta Story gepostet hatte. Kurz wollte ich mich darüber beschweren, dass ich nicht markiert wurde, merkte dann aber das dies reichlich dumm wäre da mich meine Eltern ja nicht finden dürften. Ich sah mir das Video nochmal genauer an und stellte fest das meine Begleitung mein (echter) Beziehungsmensch war und freute mich. Als ich wieder bereit dazu war reinzugehen und die Tür öffnen wollte, klingelte mein Wecker.",1698386100,3,1,7,38,19,13,8,2,7,3,0,15,0,1,0,5,0,0,4,20,0,1053,27.7105263157895,5.42857142857143,7,5
"KR04SB",2023-10-28,2,-77,-77,"-66",1698472860,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR04SB",2023-10-29,2,-77,-77,"-66",1698584700,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR04SB",2023-10-30,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR04SB",2023-10-31,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR04SB",2023-11-01,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR04SB",2023-11-02,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR04SB",2023-11-03,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
