"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"KR08EI",2023-10-19,2,-77,-77,"-66",1697693220,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-20,1,2,2,"Ich war am Flughafen, obwohl ich erst am nächsten Tag verreisen sollte. Dort ist mir dann aufgefallen, dass ich meine Perso nicht dabei hatte. Ich wollte nach Thailand fliegen um dort eine art Mafiafilm zu drehen (ich weiß gerade nicht mehr ob als Schauspieler oder anderer Job)   Jedenfalls bin ich dann in einer riesigen Halle zu einem Info schalter gegangen, wo ich gefragt habe, ob ich auch ohne Perso verreisen könnte.  Der Mann am schalter meinte vielleicht schon, ich solle abwarten.  Ich bin dann zurück gegangen wo ich anscheinend irgendwie geblieben bin, was die Unibibliothek war. Dort bin ich meinem Bruder begegnet und Rezo, der einen schwarzen Kapuzenpulli anhatte und hinter mir in die Bibliothek ging. Ich habe mich gefragt ob ich größer bin als er und ob er mich wohl attraktiv findet.   In der Bib waren zwei Freunde von mir, mein Bruder iSt dazu gekommen, wir haben geredet. Ich weiß nicht worüber.   Ich bin dann nochmal zurück in die Flughafenhalle gegangen, wo nun anstatt des Infoschalters ein Tisch stand, an dem ca. 5 Frauen saẞen und Nudeln gegessen haben, die Stimmung war fröhlich, sie haben viel   gelacht.   Ich habe dort meine Frage erneut gestellt. Unter den Frauen war auch die Pilotin, das wusste ich, ohne dass sie es gesagt hat.   Auch die netten Frauen meinten, ich solle es einfach mal versuchen. Aber der Flug war erst morgen früh um 8, ich könnte also jederzeit nochmal nach Hause fahren und ihn holen, was mir jetzt erst aufgefallen ist.   ",1697778780,2,1,4,10,7,5,2,2,5,1,4,0,0,1,3,0,0,0,2,7,0,250,25,2.5,4,4
"KR08EI",2023-10-21,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-22,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-23,1,2,2,"Eine sehr hecktische fremde junge Frau war neben mir, wir sollten zwei cupcakes mit einer Sahnehaube verzieren. Sie war total aufgeregt, weil sie das nicht so gut konnte. Ich habe sie mehrmals gefragt, ob ich es machen könne, aber sie wollte nicht.   Irgendwann bin ich etwas lauter geworden, ich habe gesagt dass ich das jetzt mal probieren möchte, sie hat mich gestresst.   Wir haben die Spritztülle gemeinsam festgehalten und haben es besser hinbekommen, die Sahne auf den Küchlein zu verteilen. Ich war angespannt und sauer, dass sie zunächst so unruhig war und mich nicht hat helfen lassen.   ",1698057480,5,1,1,4,4,3,1,0,2,0,0,4,0,0,0,0,0,0,0,4,0,97,24.25,4,1,1
"KR08EI",2023-10-24,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-25,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-26,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-27,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-28,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-29,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-30,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-10-31,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-11-01,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-11-02,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-11-03,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-11-04,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR08EI",2023-11-05,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
