"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"KR09AE",2023-07-22,1,2,4,"Erster Teil: irgendwas mit entfernter Familie  Zweiter Teil: mit Leuten aus der Uni shoppen  Dritter Teil: Ich war in einer Wohnung, in der ich anscheinend gelebt habe, aber es sind zwischendurch auch Fremde da vorbeigekommen, als würde sie ihnen auch gehören. Zwischendurch war auch meine Schwester da. Es gab irgendein Problem mit etwas in der Wohnung, Kleidung war auch wichtig, keine Ahnung wieso.",1690015020,1,3,4,6,3,1,1,0,0,2,0,1,0,1,0,1,0,0,3,2,0,63,10.5,1.5,1.33333333333333,2
"KR09AE",2023-07-23,1,2,4,"Ich habe mit zwei anderen Menschen Kinder unterrichtet. Zusätzlich waren aber auch noch zwei weitere Lehrer anwesend, die den einen Teil des Unterrichts gemacht haben, wir haben den anderen Teil gemacht.",1690109520,2,1,1,2,2,1,1,0,0,0,1,1,0,0,1,1,0,0,0,4,0,31,15.5,2,1,1
"KR09AE",2023-07-24,1,2,3,"1) Eine Freundin hat mit ihrem Freund Schluss gemacht, weil sie nicht mehr genug Zeit hatten sich zu sehen  2) Ich habe erfahren, dass ich einen älteren Bruder habe  3) Ich war mit meiner Schwester bei unseren Großeltern, wir waren spazieren und ich habe auf meinen Geburtstag gewartet",1690220040,3,3,3,4,3,2,1,0,1,2,0,0,1,0,0,0,0,1,2,0,1,48,12,1.33333333333333,1,3
"KR09AE",2023-07-25,1,2,4,"Charaktere: 1 (Uni), 2 (Uni), 3 (Freundin)    Ich war mit den Charakteren in einem Raum und einem Gespräch. 3 war sehr offen den anderen gegenüber, auch wenn sie sie nicht kannte, und hat über ihr Leben geredet. 3 hat erzählt, dass wir beide (anscheinend) in unserer Schulzeit jeweils einen Freund mit dem gleichen Namen hatten wie der Freund von 2. Außerdem hat 3 berichtet, Herrn Naudszus zu kennen und unsympathisch zu finden (das tut mir sehr leid).  Danach war ich mit 1 bei mir, weil wir auf einer Party waren und sie bei mir schlafen wollte, und habe ein loses Stück Metall an meinem Bett gefunden. Ich habe es inspiziert, während ich Musik gehört habe, und hinter dem Bett mehr Stücke Metall gefunden. 1 meinte, dass ich mir da keine Sorgen machen brauche, das sei nicht so schlimm. Ich bin dann auf Klo gegangen.",1690308720,4,1,2,8,3,3,2,1,2,2,0,0,0,0,0,0,0,0,2,0,0,144,18,4,2,2
"KR09AE",2023-07-26,1,2,4,"Ich saß in einem Kinosaal, vorne auf der Bühne hat aber jemand Geige gespielt. Der Saal war relativ voll, halbdunkel und sehr groß. Ich habe auch da geschlafen.  Zwischendurch bin ich aufgestanden und weiter nach vorne gegangen, wo mich eine Frau auf der Suche nach ihrem Platz angesprochen hat. Sie war vermutlich aus den USA und hat mich für eine Niederländerin gehalten, was ich nicht korrigiert habe.",1690358280,5,1,2,5,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,67,13.4,2.5,2,2
"KR09AE",2023-07-27,2,-77,-77,"-66",1690465440,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AE",2023-07-28,1,2,4,"1) Ich war auf einem Event, auf dem ich erstmal einen Korb von jemandem bekommen habe, was aber nicht so schlimm war. Ich bin dann mit zwei Freundinnen in dem Auto der einen zurückgefahren.    2) Wir (ich weiß leider nicht mehr, wer  wir  waren, aber es war nicht meine Familie) sind viel hin und hergefahren, um meine Großeltern zu besuchen, sind aber nie angekommen. Die beiden waren dann trotzdem letztendlich mit uns auf einer Wiese, auf der ich Fotos für eine andere Person, die mir das aufgetragen hat, gemacht habe.    3) Ich stand im Lidl an der Kasse und habe über meinen Traumbericht nachgedacht. Kurz danach bin ich aufgewacht.",1690546260,7,3,5,7,5,5,3,0,2,1,0,1,2,2,0,0,0,1,3,1,2,109,15.5714285714286,1.4,1.66666666666667,4
"KR09AE",2023-07-29,2,-77,-77,"-66",1690651740,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AE",2023-07-30,1,2,3,"Ich war in einem Gebäude, dessen Einrichtung wie eine Mischung aus irgendwas Richtung Bildungseinrichtung und normalem Haus wirkte.  Ich saß in einem klassenzimmerartigen Raum mit zwei Personen aus der Uni und es ging darum, etwas zu einer geschichtlichen Aufgabe zu erarbeiten. Person A hatte dafür ihr Deutsch-Buch ausgeklappt und darin nach Informationen gesucht, was mich im Traum sehr beeindruckt hat. So sehr, dass ich es ihr nachgemacht und selbst mein Deutsch-Buch ausgepackt habe.  Am Ende, als wir alle drei mehr oder weniger mit der Aufgabe fertig waren, kam jemand, der anscheinend unser Betreuer oder ähnliches war, und hat unsere Ergebnisse (in Form von gemalten Bildern) eingesammelt und vorne an einem Korkbrett mit weiteren Ergebnissen anderer Leute angebracht. Es wurde jeweils etwas zu den Bildern erzählt, meine Bilder waren aber nicht alle zu dem Thema passend, deswegen wurden manche von ihnen umgedreht, weil sie quasi  Spoiler  waren.",1690731420,9,1,2,9,6,2,1,0,1,2,3,0,1,2,0,0,0,1,4,3,1,146,16.2222222222222,4.5,2,2
"KR09AE",2023-07-31,1,2,2,"Ich musste Urlaubsvorbereitung treffen, was ich als stressig empfunden habe.",1690804980,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,1,1,NA
