"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"KR09AF",2023-10-24,2,-77,-77,"-66",1698134760,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AF",2023-10-25,1,2,4,"Nachdem ich in der Nacht aufgrund eines starken Durstgefühls aufwachte, trank ich ein Glas Wasser und bereitete mir einen Eistee zu. In der Zeit die dieser ziehen musste, schlief ich für ca 30 Minuten ein. In dieser Zeit träumte ich, dass ich eben diesen Eistee aus einem unrealistisch großen Glas trank. Er schmeckte genau wie der Eistee den ich zubereitet hatte, nach Himbeer-Zitrone. Als ich den Geschmack wahrnahm, wachte ich auf. ",1698213360,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,23.6666666666667,3,1,NA
"KR09AF",2023-10-26,2,-77,-77,"-66",1698330720,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AF",2023-10-27,2,-77,-77,"-66",1698394920,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AF",2023-10-28,1,2,2,"Ich befand mich auf dem Bug eines Containerschiffes, auf hoher See. Ich saß dort in einer Sitzecke mit meinem Vater und einer guten Freundin aus Schulzeiten. Auf einmal brach zwischen mir der Freundin ein Streit aus, an einen Grund kann ich mich nicht erinnern. Ich bin sehr aufbrausend und wütend, der Streit eskaliert und mein Vater und die Freundin stehen auf um zu gehen, da sie aufgrund meiner Art nicht mit mir streiten wollen. Ich rufe ihnen noch etwas Beleidigendes nach und zeige den Mittelfinger. Daraufhin kommen sie zurück um weiter mit mir zu streiten. Diesmal möchte ich mich aus der Situation entfernen, werde unnatürlich ruhig und rational, mein Vater besteht jedoch darauf, dass ich mich mit der Freundin versöhne. Ich lehne das ab und gehe. Ich und meine Schulfreundin löschen unsere Kontaktdaten aus unseren Mobiltelefonen und unsere Freundschaft ist vorbei.",1698514860,5,1,1,9,8,8,2,2,8,3,0,0,0,0,0,0,0,0,3,0,0,145,16.1111111111111,9,1,1
"KR09AF",2023-10-29,2,-77,-77,"-66",1698612000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AF",2023-10-30,2,-77,-77,"-66",1698654660,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AF",2023-10-31,2,-77,-77,"-66",1698757260,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AF",2023-11-01,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KR09AF",2023-11-02,1,2,3,"Ich fahre auf einem BMX Bike durch einen Gebäudekomplex, der von innen aussieht wie ein Rohbau, und sich zunächst endlos in alle Richtungen zu erstrecken scheint. Ich fahre an einem Ausgang vorbei, durch den auch Sonnenlicht ins Gebäude scheint. Ich stelle fest, dass ich träume und fahre langsam auf den Ausgang zu, während ich die Tageszeit bewusst ändere. Das Licht von draußen wird dunkler, es ist Nacht. Ich gehe durch die Tür. Die Umgebung ändert sich und ich liege im Wohnzimmer meiner Wohnung auf meiner Couch. Ich habe vergessen dass ich träume. Sechs große orange Bienen sammeln sich auf dem Fußboden. Ich beobachte sie eine Zeit, dann fliegen die Bienen auf und landen in meinem Gesicht. Aus Sorge gestochen zu werden, atme ich flach und bewege mich nicht, bis ich dann wirklich aufwachte. Nach einer kurzen Wachphase schlief ich wieder ein. Diesmal befinde ich mich in einem Kellerraum, in dem eine Party mit vielen Menschen stattfindet. Ich unterhalte mich lange mit einem guten Freund aus Schulzeiten. Er will mir etwas erzählen, dass ihm wichtig zu sein scheint. Ich bin interessiert und höre ihm zu, bewege mich aber die ganze Zeit dabei, hänge mich an eine Deckenlampe und mache akrobatische Übungen. Der Freund mit dem ich mich unterhielt, ist verärgert und möchte nicht weiter erzählen. Ich springe zurück auf den Boden und entschuldige mich. Er ist trotzdem verärgert. Ich bemerke wieder dass ich träume. Ich bitte ihn nochmal darum weiter zu erzählen, aber er sagt nur noch  Wach auf!  und ich erwache...",1698903360,10,3,3,15,3,3,2,2,3,3,0,0,0,0,0,0,0,0,3,0,0,257,17.1333333333333,5,1,1
