"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"KT07HN",2023-10-20,2,-77,-77,"-66",1697782260,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KT07HN",2023-10-21,1,2,4,"Irgendwie ging es ums renovieren vom Haus meiner Großeltern. An den Anfang kann ich mich nicht mehr erinnern, war aber irgendwie komisch.   Ich habe oft träume von deren Haus und Garten. Ich kann mich aber nur dran erinnern, dass wir dann bei ihnen auf der Terrasse ein Sonnensegel anbringen wollten. Eigentlich haben sie sogar schon eins, aber die Terrasse sah etwas anders aus als  in Echt . Das hatte dann sogar schon gehalten. Wir wollten es aber noch weiter ausfahren, weil die Sonne meine Cousine immernoch geblendet hat. Allerdings ist dabei das ganze Sonnensegel heruntergefallen und hat uns unter sich begraben. Wir haben es aber alle mit Humor genommen und beschlossen am nächsten Tag im Baumarkt etwas für eine bessere Befestigung zu kaufen.   Nun gingen auch schon die Vorbereitungen für's abendliche Grillen los. Es wurden Gartentische zu einer Tafel gestellt und der Tisch gedeckt. Mein Ex war dabei verschiedene Dips zu machen. Ich hatte ihn von hinten umarmt und aufs T-Shirt geküsst, als er meinte, dass ich sein weißes T-Shirt nicht mit Flecken voll machen solle, da war es aber schon zu spät. Ich glaube ich hatte kurz davor etwas gegessen, sah rötlich aus. War aber nicht schlimm, es hat sich niemand dafür interessiert. Ich war ganz happy, dass er dabei war.   Als wir dann gegessen haben hat sich mein Opa Mütterlicherseits darüber geärgert, dass eine anscheinend gute Freundin/Bekannte von ihm nicht über die Telefonnummer erreichbar ist, die er von ihr neuerdings hat. Es ging dann kurz darum, dass alle eventuelle Fehler finden wollten. Telefonnummer nicht richtig eingespeichert und so weiter. Und dann meine mein Opa noch, dass er ja so von meiner Oma abhängig sei, weil er mit dem Handy meiner Oma die Frau anrufen solle. (Meine Oma hat ein Touchhandy, mein Opa nur ein Tastenhandy. Das war aber nie ein Problem, weil beide so sehr gut zurecht kommen. Allerdings hat mein Opa Väterlicherseits den Wunsch geäußert, auch ein Handy zu bekommen, so wie seine Frau auch.)  Es ging dann jedenfalls weiter, direkt vor mir stand ein Brotkorb. Zuerst hatte ich aber Baguettescheiben in Form von Salatblättern. Diese wollte ich meinem Ex, der mit mir auf einer kurzen selbstgebauten Holzbank saß, geben. Er sollte da etwas von seinem Aufstrich reinmachen, weil durch die Blattform viel freier Platz zum Befüllen war. Und ich glaube das war Schocko-Knoblauch Aufstrich. Ansonsten gab es auch andere mehr in Richtung von Kräuterbutter. Und auf meinem Teller lagen haufenweise Eierschalen, ich war auch im Verlauf dabei gekochte Eier zu Essen. Jedenfalls hat sich der Brotkorb vor mir von diesen Baguette-Ähnlichen Broten zu normalen Brotscheiben geändert. Die lagen da hübsch aufgefächert im Korb und ich hatte mit meinem Ex zum Spaß gemeint, man könnte den Aufstrich da direkt über alles drüber streichen, dann könne sich jeder direkt Brot mit Aufstrich nehmen. Der Plan wurde allerdings nicht umgesetzt, stattdessen hat er angefangen Brote mit Butter zu beschmieren. Ab dem Moment saß er auch nicht mehr neben mir sondern mit gegenüber. Meine Oma war die erste, die sich direkt ein Butterbrot genommen hat. Allerdings verträgt sie Butter nicht mehr, isst es aber trotzdem noch öfter. In meinem Kopf wollte ich sie da direkt drauf aufmerksam machen, hab ich aber nicht laut ausgesprochen.   Dann ging es langsam dem Ende zu. Mein Ex hat gefragt, ob er mit mir nun rein gehen kann. Ich hab direkt Nein gesagt, das Essen war ja noch nicht mal zu Ende. Dann hat meine Cousine oder ihr Freund die selbe Frage nochmal Laut gestellt und es war okay für die anderen. Also wurde nun aufgeräumt. Irgendwie war ich aber noch gar nicht fertig, mein Teller war aber hauptsächlich voll mit Eierschalen. Und meine Tante hat dann meinen Teller nach kurzem Fragen stehen gelassen und nur den Rest erstmal weggeräumt.   Dann hab ich noch gesehen, wie eine Frau mit ihrer Tochter einen Teller Fischstäbchen oder was ähnliches im Teigmantel bekommen hatte und die Ausfahrt hoch ist. Ich kannte die beiden nicht, die Frau hat sich jedenfalls sehr beeilt, wieder runter vom Grundstück zu kommen.   Dabei waren die Familie Väterlicherseits und meine anderen beiden Großeltern. Dann noch der Freund von meiner Cousine (den ich auch schon kenne) und der Freund von meiner Tante (sie ist seit Jahren schon allein und will jetzt langsam wieder mit Dating anfangen, hat aber keinen Freund aktuell) und eben auch mein Ex (war aber so kurz, dass ich ihn nichtmal meiner Familie vorgestellt hatte)  Irgendwo zwischen drinnen hat mein Opa, der in diesem Haus normalerweise auch wohnt, gemeint, dass ja jetzt noch ein Gästehaus daneben gebaut werden sollte, so schön wie es hier ist.   Das war's dann auch schon. Hat wahrscheinlich etwas damit zu tun, dass meine Cousine das Haus meiner Großeltern später wirklich mal übernehmen möchte. Allerdings ist das, wenn überhaupt, ein Plan für frühestens in Zehn Jahre. ",1697862840,2,1,5,21,17,13,9,4,8,10,0,1,0,5,0,0,0,0,15,1,0,799,38.0476190476191,4.2,5,5
"KT07HN",2023-10-22,1,2,3.5,"Ich hab geträumt, dass ich im Supermarkt einkaufen war. Ich wollte wohl was zum Abendessen kaufen und hab mir alles genau angeschaut. Den Supermarkt kenne ich aus meinen Träumen schon, er hat vergleichsweise viele Gefriertruhen und Kühlschränke mit Glastüren. (Kenne ihn gut und erkenne ihn an diesen Merkmalen, hat aber kaum etwas mit realen Orten zu tun, die ich kenne.) Eigentlich ist so gut wie alles eingefroren. Es gab sehr teures Eis. 40 Stück am Stiel in einer Packung. Daneben lagen aber auch die Standard Markenrissorten. Neben dem Eis gab es auch ein Fach für eingefrorene Burger. Die waren nicht verpackt und lagen einfach in dieser Kühltruhe. Dann gab es viel Fisch und Garnelen eingefroren. Daneben auch lebendigen Fisch, wie es ihn sonst nur im Großhandel gibt. Ich bin dann also weiter gegangen und kam zu dem mir sehr gut bekannten Teeregal. Das ist in meinem Traum-Supermarkt mehrere Kühlschränke groß und bis oben hin gefüllt mit verschiedenen Teesorten. Da wollte ich mir eigentlich einen raus suchen. Im Gefrierfach hinter mir lagen auch Teesorten, das waren die, zwischen denen ich mich zuletzt für einen Tee entschieden habe.   Ich ging aber weiter. Der nächste Seitengang war voll mit Süßigkeiten. Es gab weiter vorn schon ein Regal mit heruntersetzten Süßigkeiten. Da war nicht mehr viele übrig, nur ein paar große Tüten Bonbons und so. Und in diesem Seitengang war die Auswahl auch nicht viel besser. Es gab für zwei Euro zusammengewürfelte Päckchen, in denen zum Beispiel Schokoweinachtsmänner am Stiel eingepackt waren. Das hab ich mir genauer angeschaut, war aber nicht weiter interessiert. Dann kam aber ein kleiner Junge in den Gang und hat sich eins ausgesucht, was ich gerade in der Hand hatte. Ich hab ihm das weitergegeben aber es mir vorher noch genau angeschaut, weil er meinte, dass da seine Lieblingssüßigkeit drinnen ist. Das war Schokolade am Stiel mit Zuckerperlen dran.   Dann bin ich weitergegangen richtig Gemüseabteilung. Der kleine Junge hat mich dann gefragt, wo er frische Hefe finden kann. Konnte ich ihm aber nicht genau sagen. Dann haben sich zwei Männer im Gang irgendwie geprügelt. Da erinnere ich mich allerdings nicht mehr an den Kontext, weil ich wach wurde.     Vorher habe ich noch etwas anderes geträumt. Irgendwie war ich im Weltall unterwegs in einem Miniraumschiff und es gab irgendwie streit mit anderen Raumschiffen und der Aufgabe, die wir erfüllen sollten. Ich weiß allerdings nur, dass ich zusammen mit einem Gesteinsbrocken auf der Erde gelandet bin und ausgestiegen bin. Dort hab ich mich erstmal kurz umgeschaut, ich sollte aber glaube eigentlich wieder los fliegen. Und dann bin ich zurück in meine Blechdose geklettert. Die war wirklich wie eine Dose und nur so groß, dass ich grade so reingepasst habe.     Ich habe mich bei beiden Träumen normal gefühlt. Es war zwar auch etwas hektisch, aber nicht weiter wild. Ich kannte niemanden von den anwesenden Personen. Mittagsschlaf    Ich habe geträumt, dass ich in der Welt von Micky Mouse unterwegs war. Ich sollte wohl in das Haus von ihm und habe mich dafür mit einem T-Shirt als Minimouse verkleidet. Ich bin dann mit ein paar Leuten (keine Ahnung, wer genau. Andere Leute aus dem Universum) zu seinem Haus geflogen, teils auch gelaufen. Es ging über Hügel mit vielen einzelnen Bäumen drauf. Als Wald kann man das noch nicht bezeichnen. Als ich dann bei dem Haus ankam war alles sehr ruhig und verlassen. Wir haben darüber geredet, ob es Wachhunde gibt.   Irgendwie habe ich mich dann mit Goofie zusammen an einen Picknicktisch gesetzt und er hatte eine Packung Pommes und Käsesticks dabei. Er hatte davon ein paar auf zwei Teller gelegt, ich habe daraufhin die Tüte auf beide Teller verteilt bis die leer war. Dazu gab es Pesto in diesen Mini-Ketchup-Verpackungen eingeschweißt. Da war aber eigentlich gar nichts drinnen.   Dann hab ich mich auf den Rückweg gemacht, ich bin wieder die meiste Zeit geflogen. Einfach Gleitflug ohne Hilfsmittel oder so. Und musste diesmal sehr aufpassen, dass mein Teller mit dem Essen nicht herunter fällt. Wir kamen dann zu einer großen Straße, die auch in unsere Richtung ging und da lag Micky. Er war tot, bestand aber eher aus Wackelpudding als aus Maus. Wir haben direkt in die Asphaltstraße ein Loch gebuddelt, Micky darin beerdigt und es mit Sand wieder zugeschüttet. Dann war der Traum auch schon zu Ende.",NA,3,2,4,16,3,3,1,1,3,0,0,3,0,0,0,0,0,0,0,3,0,472,29.5,4,2,2
"KT07HN",2023-10-22,1,2,3.5,"Ich hab geträumt, dass ich im Supermarkt einkaufen war. Ich wollte wohl was zum Abendessen kaufen und hab mir alles genau angeschaut. Den Supermarkt kenne ich aus meinen Träumen schon, er hat vergleichsweise viele Gefriertruhen und Kühlschränke mit Glastüren. (Kenne ihn gut und erkenne ihn an diesen Merkmalen, hat aber kaum etwas mit realen Orten zu tun, die ich kenne.) Eigentlich ist so gut wie alles eingefroren. Es gab sehr teures Eis. 40 Stück am Stiel in einer Packung. Daneben lagen aber auch die Standard Markenrissorten. Neben dem Eis gab es auch ein Fach für eingefrorene Burger. Die waren nicht verpackt und lagen einfach in dieser Kühltruhe. Dann gab es viel Fisch und Garnelen eingefroren. Daneben auch lebendigen Fisch, wie es ihn sonst nur im Großhandel gibt. Ich bin dann also weiter gegangen und kam zu dem mir sehr gut bekannten Teeregal. Das ist in meinem Traum-Supermarkt mehrere Kühlschränke groß und bis oben hin gefüllt mit verschiedenen Teesorten. Da wollte ich mir eigentlich einen raus suchen. Im Gefrierfach hinter mir lagen auch Teesorten, das waren die, zwischen denen ich mich zuletzt für einen Tee entschieden habe.   Ich ging aber weiter. Der nächste Seitengang war voll mit Süßigkeiten. Es gab weiter vorn schon ein Regal mit heruntersetzten Süßigkeiten. Da war nicht mehr viele übrig, nur ein paar große Tüten Bonbons und so. Und in diesem Seitengang war die Auswahl auch nicht viel besser. Es gab für zwei Euro zusammengewürfelte Päckchen, in denen zum Beispiel Schokoweinachtsmänner am Stiel eingepackt waren. Das hab ich mir genauer angeschaut, war aber nicht weiter interessiert. Dann kam aber ein kleiner Junge in den Gang und hat sich eins ausgesucht, was ich gerade in der Hand hatte. Ich hab ihm das weitergegeben aber es mir vorher noch genau angeschaut, weil er meinte, dass da seine Lieblingssüßigkeit drinnen ist. Das war Schokolade am Stiel mit Zuckerperlen dran.   Dann bin ich weitergegangen richtig Gemüseabteilung. Der kleine Junge hat mich dann gefragt, wo er frische Hefe finden kann. Konnte ich ihm aber nicht genau sagen. Dann haben sich zwei Männer im Gang irgendwie geprügelt. Da erinnere ich mich allerdings nicht mehr an den Kontext, weil ich wach wurde.     Vorher habe ich noch etwas anderes geträumt. Irgendwie war ich im Weltall unterwegs in einem Miniraumschiff und es gab irgendwie streit mit anderen Raumschiffen und der Aufgabe, die wir erfüllen sollten. Ich weiß allerdings nur, dass ich zusammen mit einem Gesteinsbrocken auf der Erde gelandet bin und ausgestiegen bin. Dort hab ich mich erstmal kurz umgeschaut, ich sollte aber glaube eigentlich wieder los fliegen. Und dann bin ich zurück in meine Blechdose geklettert. Die war wirklich wie eine Dose und nur so groß, dass ich grade so reingepasst habe.     Ich habe mich bei beiden Träumen normal gefühlt. Es war zwar auch etwas hektisch, aber nicht weiter wild. Ich kannte niemanden von den anwesenden Personen. Mittagsschlaf    Ich habe geträumt, dass ich in der Welt von Micky Mouse unterwegs war. Ich sollte wohl in das Haus von ihm und habe mich dafür mit einem T-Shirt als Minimouse verkleidet. Ich bin dann mit ein paar Leuten (keine Ahnung, wer genau. Andere Leute aus dem Universum) zu seinem Haus geflogen, teils auch gelaufen. Es ging über Hügel mit vielen einzelnen Bäumen drauf. Als Wald kann man das noch nicht bezeichnen. Als ich dann bei dem Haus ankam war alles sehr ruhig und verlassen. Wir haben darüber geredet, ob es Wachhunde gibt.   Irgendwie habe ich mich dann mit Goofie zusammen an einen Picknicktisch gesetzt und er hatte eine Packung Pommes und Käsesticks dabei. Er hatte davon ein paar auf zwei Teller gelegt, ich habe daraufhin die Tüte auf beide Teller verteilt bis die leer war. Dazu gab es Pesto in diesen Mini-Ketchup-Verpackungen eingeschweißt. Da war aber eigentlich gar nichts drinnen.   Dann hab ich mich auf den Rückweg gemacht, ich bin wieder die meiste Zeit geflogen. Einfach Gleitflug ohne Hilfsmittel oder so. Und musste diesmal sehr aufpassen, dass mein Teller mit dem Essen nicht herunter fällt. Wir kamen dann zu einer großen Straße, die auch in unsere Richtung ging und da lag Micky. Er war tot, bestand aber eher aus Wackelpudding als aus Maus. Wir haben direkt in die Asphaltstraße ein Loch gebuddelt, Micky darin beerdigt und es mit Sand wieder zugeschüttet. Dann war der Traum auch schon zu Ende.",NA,3,1,3,14,9,9,9,1,1,0,2,7,0,0,0,7,0,0,0,16,0,246,17.5714285714286,4.66666666666667,3,3
"KT07HN",2023-10-23,2,-77,-77,"-66",1698064860,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KT07HN",2023-10-24,1,2,2,"Ich weiß nicht genau, wovon ich geträumt habe. Aber ich war in einer Art Keller und hab versucht abzuhauen. Es war auch eine Person bei mir, ich kann mich aber nicht erinnern, wer. Es war alles etwas wie im Krieg und ich hab mich sehr unwohl gefühlt. Ich kann mich an nichts genaueres erinnern. ",1698126540,5,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,54,54,1,1,1
"KT07HN",2023-10-25,1,2,3,"Ich habe geträumt, dass ich mit ein paar Leuten auf einem Berg war. So wie beim Campen, aber auch nicht richtig. Wir sollten uns auf den Weg machen und irgendwas holen. Dafür sind wir mit Rollbrettern einen sehr schmalen Weg runter gefahren. Dabei waren mindestens meine Mutter, Tante, Cousine, Cousin und Schwester. Anfangs war der Weg nur etwas holprig und ab und zu mit Ästen überwachsen. Dann kamen aber Regionen, wo auf beiden Seiten Brennesseln wuchsen oder der Weg halb verwittert und weg war. Es war ziemlich eng und wir sind uns gegenseitig immer mal reingefahren. Dann kam noch eine Teilstrecke, wo über dem Weg direkt Steine waren, sodass man nur sehr wenig Platz hatte und liegen musste. Ich hatte das Gefühl, dass ich die Strecke kannte. Vielleicht hab ich davon schonmal geträumt. ",1698208320,6,1,1,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,22.1666666666667,6,1,1
"KT07HN",2023-10-26,2,-77,-77,"-66",1698298200,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KT07HN",2023-10-27,2,-77,-77,"-66",1698388260,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KT07HN",2023-10-28,2,-77,-77,"-66",1698473460,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
