"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"MR06WL",2023-07-15,2,-77,-77,"-66",1689404340,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR06WL",2023-07-16,2,-77,-77,"-66",1689483360,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR06WL",2023-07-17,2,-77,-77,"-66",1689576900,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR06WL",2023-07-18,1,2,2,"In meinem Traum machte ich mir große Sorgen wegen einer Prüfung, die ich schreiben musste, und ich hatte große Angst, zu spät zu kommen, deshalb hatte ich Angst, dass mein Wecker nicht klingeln würde.",1689659340,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,2,1,NA
"MR06WL",2023-07-19,2,-77,-77,"-66",1689750420,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR06WL",2023-07-20,2,-77,-77,"-66",1689843300,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR06WL",2023-07-21,2,-77,-77,"-66",1689926400,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR06WL",2023-07-22,2,-77,-77,"-66",1690043520,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR06WL",2023-07-23,1,2,3,"In meinem Traum war ich im Fitnessstudio und hatte Probleme, weil ich nicht so viel Gewicht tragen konnte, wie ich wollte, und dann kam ein Mann auf mich zu, um mir zu helfen, und wir wurden Freunde.",1690114080,9,1,1,3,2,2,1,1,2,1,0,1,0,0,0,0,0,0,1,1,0,37,12.3333333333333,3,1,1
"MR06WL",2023-07-24,1,2,2,"Ich habe geträumt, dass ich mit meinem Ex-Freund zusammen war und wir uns gestritten haben. Ich weiß nicht genau, warum, aber ich weiß, dass ich sehr aufgebracht war und er mir etwas erklärt hat, was passiert war.",1690188060,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,37,1,1,1
"MR06WL",2023-07-25,2,-77,-77,"-66",1690312980,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR06WL",2023-07-26,1,1,1,"Ich hatte heute zwei Albträume, und nach beiden bin ich aufgewacht, im ersten sehr verängstigt und im zweiten mit Angst und sehr schwerem Atem.    In dem ersten gab es eine Schießerei. Der Amokläufer war ein Freund von mir, und er fing an, den Fahrer des Autos, in dem wir saßen, zu töten, und fuhr dann fort, weitere Menschen zu töten, an die ich mich nicht mehr erinnere, wer sie waren.    Im zweiten Albtraum hatte ich eine uni- Klausur, aber an meiner Schule mit meinen Mitschülern, und wir lernten Minuten vor der Klausur, bis die Glocke läutete und wir zur Klausur rennen mussten, aber ich hatte noch nicht alles fertig gelernt und war nicht vorbereitet.",1690396380,12,2,2,8,6,6,4,1,3,5,1,0,2,4,0,0,1,0,9,1,3,204,25.5,4,1,2
"MR06WL",2023-07-27,1,2,4,"In meinem Traum sah ich mich selbst auf einem Pferd an einem wunderschönen Strand reiten. Ich fühlte mich frei und war begeistert, dort zu sein. Ich erinnere mich, dass ich am Ende des Strandes ankam und meine ganze Familie auf mich wartete und sie sich für mich freuten.",1690480020,13,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,24,1,2,1
"MR06WL",2023-07-28,2,-77,-77,"-66",1690569360,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
