"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"MR07TO",2023-10-21,1,2,2,"Ich bin öfter aufgewacht diese Nacht.    Ich habe geträumt, dass meine Eltern in den Urlaub gefahren sind und ich deshalb eine Freundin von mir ihren Geburtstag bei mir feiern lassen wollte. Allerdings hatte ich vergessen, dass ich um 11 Uhr arbeiten muss und ich war im Stress, weil die Freundin schon so früh gekommen ist. Plötzlich war 1 Uhr und ich war immer noch nicht bei der Arbeit und bin ch war ziemlich im Stress. Dann hat der Wecker geklingelt. (Ich muss heute wirklich um 11 Uhr arbeiten)",1697862120,1,1,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,88,17.6,2.5,2,1
"MR07TO",2023-10-22,2,-77,-77,"-66",1697972520,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR07TO",2023-10-23,2,-77,-77,"-66",1698034740,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR07TO",2023-10-24,1,2,3,"Ich war an einem Bungalow und habe mit meinen Kommilitonen über Instagramm gesprochen (meine Kommilitonen haben teilweise kein Instagramm in echt). Ich habe Storys gezeigt und war sehr stolz auf mein Profil. Bei einer Story habe ich anscheinend schlecht englisch gesprochen und wurde von einem Kommilitonen drauf hingewiesen. Passend dazu hatten wir dann eine mündliche Prüfung in Englisch in diesem Bungalow (ich habe Englisch und mündliche Prüfungen in der Schulzeit gehasst).   Meine Großeltern sind noch aufgetaucht, aber ich weiß nicht mehr in welchem Zusammenhang.",1698173820,4,1,3,4,4,3,2,2,3,3,0,0,1,2,0,0,0,1,5,0,1,84,21,1.33333333333333,3,3
"MR07TO",2023-10-25,1,2,2,"Ich kann mich nur an den ersten Traum erinnern (bis halb 7).    Ich habe auf den Dienstplan für meine Arbeit geschaut und ich wurde für diesen Freitag ausgetragen (ich muss wirklich diesen Freitag arbeiten) - Ich und ein anderer Minijobber. Die anderen hatten aber auch Veränderungen auf dem Plan. Ich hab gefragt, was das zu bedeuten hat und mein Chef meinte zu mir, wir müssten eine Tierarztpraxis vertreten (als Kneipe). Bei meinen Kollegen stand also zum Beispiel “15:00 Bruno” auf dem Dienstplan. Dann gab es noch eine Zeile auf dem Plan, die ich so noch nie gesehen hatte, wo Kritik an jedem Kellner geäußert wurde. Meine Kollegen hatten dort nichts vermerkt. Bei mir wurden allerdings Verhaltensweisen bemängelt.",1698207240,5,1,1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,117,29.25,4,1,1
"MR07TO",2023-10-26,2,-77,-77,"-66",1698294000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR07TO",2023-10-27,2,-77,-77,"-66",1698379500,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR07TO",2023-10-28,2,-77,-77,"-66",1698503340,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR07TO",2023-10-29,1,2,3,"Ich war auf einem Internat und bin dort zur Schule/Uni gegangen. Es war ein riesiges Gelände mit vielen Bungalows und aber auch mit einer Art Schloss, in welchem ich Vorlesungen hatte.  Anderer Traum: Ich habe als Kellnerin gearbeitet, habe meinen Chef angekündigt, dass ich eine Woche später meinen Geburtstag feiern möchte. Er meinte dann, ich könne doch trotzdem bis 18 Uhr arbeiten…. Das fand ich weniger erfreulich. Nach der Unterhaltung habe ich weiter Gäste bedient. Es lief auf einer Leinwand ein Video zum Thema Fußball. Dann haben die Gäste angefangen Fußballlieder zu grölen und ich habe einen ehemaligen Lehrer gesehen, den ich aber nicht auf mich aufmerksam gemacht habe. Es ging nämlich um die Beziehung von RWE zu Schalke und normalerweise wäre es lustig gewesen, ihn zu provozieren, indem ich mit Schalke Mütze an ihm vorbeigelaufen wäre, aber ich habe es dann doch gelassen. Cut. Ich habe meinen Geburtstag bei der Arbeit gefeiert. Ich habe dauernd meine Outfits gewechselt und eine Freundin von mir hatte offensichtlich überhaupt keine Lust mit mir zu feiern.  Anderer Traum: Ich war wieder auf dieser Achuke und wir haben einen Ausflug gemacht. Mir ist ein Kind entgegengelaufen, welches nicht aufgepasst hat wo es hinläuft. Ich habe es auf ihre Betreuer aufmerksam gemacht: zwei Nonnen, die richtig böse geguckt haben und gebärdet haben, sie solle zurück kommen.    Ich kann mich kaum an die Reihenfolge der einzelnen Träume erinnern",1698563700,9,3,5,13,9,3,2,2,3,3,3,3,0,0,2,1,0,1,3,9,0,236,18.1538461538462,2.6,1.66666666666667,5
"MR07TO",2023-10-30,2,-77,-77,"-66",1698700380,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
