"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"NT02CR",2023-10-20,1,1,2,"Heute war eine eher unruhige Nacht und ich wurde mehrfach wach, sodass ich mir verschiedene Träume aufgeschrieben habe.    1. Ich war mit mir bekannten Leuten in den Straßen Italiens unterwegs. Ehemalige Klassenkameraden haben Leuten auf verschiedene Art und Weise geholfen. Post auszutragen, medizinische Hilfe etc. Das wurde gefilmt und ich stand nur da. (Ich war bedrückt und gleichzeitig froh, dass so viele Menschen da sind, die helfen).    2. Die nächste Szene spielt auch in Italien, aber bei meiner Oma. Ich war aus irgendeinem Grund gestresst und wollte mich in einem Zimmer zurückziehen. Ich wollte gerade das Licht dimmen, plötzlich ruft meine beste Freundin meinen Namen und kommt mit ihrem Partner hoch, wir reden darüber wo sie ihre Wäsche waschen kann und ob sie genügend Kleidung mit hat. Sie will dann die Kleidung von ihrem Partner tragen und von ihrem Kumpel Lukas, der in Realität absolut nichts mehr mit uns zu tun hat. Im Traum hat der Partner auch den Charakter von Lukas kritisiert. Der Partner war schick gekleidet, mit Hemd.       3. Spielt zunächst in Italien, waren dann aber im Geschäft meines Vaters in Deutschland. Mein Vater, mein Bruder, eine meiner besten Freundinnen (die bereits mit mir in Italien bei meiner Familie gewesen ist) und Familienfreunde waren anwesend. Ich habe zusammen mit meinem Vater gekocht, allerdings im Flur an einer merkwürdigen Stelle, weil es eigentlich eine Küche dort gibt. Als ich zwei Teller für mich und den Kumpel meines Vaters vorbereitet hatte, weil wir beide kein Schwein essen, waren dann plötzlich beide weg. Danach haben wir uns auf irgendetwas vorbereitet und die Stimmung wurde etwas düster. Ich weiß noch, dass ich meine beste Freundin beruhigen musste. Allerdings kam es mir so vor, als wäre das so eine traditionell Sache und ich wusste, dass es nichts lebensbedrohliches ist, wenn man sich nicht dumm anstellt. Auf jeden Fall haben wir uns darauf vorbereitet, dass ein riesen Drache aus Rauch geformt auf uns zukommt und uns verfolgen wird, woraufhin er am Himmel auch schon zu sehen war und wir im Geschäft über Tische und Stühle gesprungen sind, um uns zu verstecken. Weiteres ist nicht mehr passiert oder ich weiß es nicht mehr.  ",1697777820,1,3,5,21,11,10,5,1,6,8,0,0,0,3,0,0,2,0,11,0,2,368,17.5238095238095,4.2,1.66666666666667,5
"NT02CR",2023-10-21,1,2,3,"Ich weiß leider nicht mehr so viel, aber ich habe aus irgendeinem Grund eine Stichsäge reparieren wollen, die dabei dann komplett kaputt gegangen ist. Hab mich ein wenig hilflos gefühlt, weil die Stichsäge immer wieder von selbst angegangen ist. Ansonsten war in dem Moment keiner in meiner Nähe. Und die Umgebung hat mich an eine offene Werkstatt erinnert.    Dann war ich wieder im Geschäft meines Vaters, wo meine beste Freundin, die ich sehr selten sehe, vorbeigekommen ist, weil ihr Partner in meinem Traum ein Café eröffnet hat und ich ihre Kuchenkreation ausbessern und bewerten sollte. Währenddessen waren einige Gäste da, die nicht erwünscht waren, weil der Laden schon geschlossen hatte. Das hatte mich etwas genervt.     Dann habe ich geträumt, dass ich einen Traum aufgeschrieben habe, was aber natürlich nicht wirklich passiert ist.     Als ich heute morgen noch im Halbschlaf war, habe ich auch sehr verwirrendes Zeug geträumt, dass ich jetzt nicht mehr zusammen kriege.",1697864880,2,3,4,8,2,1,0,0,1,1,0,1,0,0,0,1,0,0,1,2,0,156,19.5,2,1.33333333333333,1
"NT02CR",2023-10-22,1,2,3,"Die Umgebung ähnelte einer Wohnung, in der ich mal gelebt habe. Ich war dort mit einer meiner ehemaligen Mitbewohnerinnen und sie hat in ihrem Zimmer gearbeitet. Nach ein wenig Interaktion mit ihr war es dann plötzlich eine meiner jetzigen Mitbewohnerinnen. Wir haben beide etwas für die Uni gemacht. Dann habe ich Parfümstreifen gefunden, die wir alle getestet haben.   Danach haben wir zum ersten Mal zusammen gekocht, es gab drei Gerichte und wir hatten auch einen Hund, für den wir mitgekocht haben. Ich habe die Bohnen versalzen und sie hat Hähnchen gebraten, was nicht durch war. Außerdem ist sie Vegetarierin und hat es selbst nicht gegessen.   Die Stimmung war neutral und ausgeglichen.    An den Traum, den ich kurz vor dem Wachwerden hatte, kann ich mich nicht mehr erinnern. Bevor er mir überhaupt bewusst werden konnte, habe ich ihn bereits vergessen.",1697951580,3,1,3,9,5,4,4,1,1,5,0,0,0,0,0,0,0,0,5,0,0,143,15.8888888888889,3,3,3
"NT02CR",2023-10-23,2,-77,-77,"-66",1698038040,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NT02CR",2023-10-24,1,2,2,"Die Umgebung gleichte meiner Heimatstadt, aber trotzdem war ich in Duisburg. Ich war zusammen mit einigen Freunden und vor allem Freunden meines Bruders in einem mehrstöckigen Gebäude. Wir gingen die Treppen runter und suchten einen ruhigen Platz. Hinter vielen Türen waren Räume komplett ohne Licht. Meinem Bruder ging es sehr schlecht und er war in sich gekehrt. Ich habe mir Sorgen gemacht und habe jeden seiner Freunde gehasst, weil sie keinen guten Einfluss auf ihn hatten, vor allem seine Partnerin. Seine Freunde haben sich für irgendeinen neuen Posten beraten, der meinen Bruder ablösen soll. Ich saß mit in der Runde und rechts von mir ein Kumpel, den ich ewig nicht mehr gesehen habe. Wir haben uns sehr gut verstanden. Ein kleiner süßer Hund war auch dabei, mit dem wir gespielt haben.   An sich war die Stimmung nicht so negativ, allerdings war die Umgebung sehr düster und ich glaube es ging um Drogen.   Ich weiß, dass ich meinem Kumpel gefragt habe, ob er denn auch oft genug vor Ort sei, um irgendeine Verantwortung zu übernehmen - woraufhin er mit ‚Ja‘ antwortete.     Mehr kann ich leider nicht formulieren, weil vieles durcheinander war.   ",1698122820,5,1,1,9,6,5,5,3,3,4,0,0,0,1,0,0,0,0,5,0,0,192,21.3333333333333,9,1,1
"NT02CR",2023-10-25,1,2,4,"Ich war an einem für mich bekannten Bahnhof, allerdings weiß ich nicht in welcher Stadt dieser war. Er war sehr groß und überfüllt mit Menschen.  Ich weiß nur noch wie ich mit meiner besten Freundin M aus einem Zug gestiegen bin und gemerkt habe, dass ich meine Unitasche liegen gelassen habe. Der Zug ist schon wieder abgefahren und ich habe richtig Panik bekommen, weil mein Laptop, Portmonee etc. in dieser Tasche waren. Zu dem Zeitpunkt dachte ich ‚das war’s, alles ist weg‘. Bis mir dann ein netter Typ mit dunklen Haaren entgegen kam und mehrere Taschen, darunter auch meine Tasche, in der Hand hielt. Er war gerade auf der Durchreise, aber hat gesehen, dass ich sie vergessen habe. Ich war richtig dankbar in dem Moment und erleichtert, dass es noch so Menschen gibt. Für ihn war es selbstverständlich. Wir waren dann irgendwo zuhause und ich habe ihm quasi einen Schlafplatz geboten. Ich habe mich in seiner Anwesenheit echt wohl gefühlt, aber eigentlich kannte ich ihn nicht (irgendwas an seinem Charakter kam mir bekannt vor). Ich wusste nicht wie ich mich nochmal bedanken sollte, also habe ich ihm dann 50€ in die Hand gedrückt, bevor er wieder gegangen ist.   ",1698209760,6,1,2,5,4,4,3,2,3,1,0,3,0,0,0,0,0,0,1,3,0,198,39.6,2.5,2,2
"NT02CR",2023-10-26,1,1,2,"  Der Traum spielte sich im Haus meines Ex-freundes ab. Es war irgendwie sehr warm und ich weiß noch wie seine Mutter meinte, dass sie schwitzt weil es so schwül sei.   Sofern ich das richtig im Kopf habe, stand er  mit seinem Auto zunächst vor meinem Haus. Wir hatten aber auch keinen Kontakt o.ä.   Aus irgendeinem Grund war ich dann eben bei ihm zuhause und ich glaube wir wollten es doch versuchen. Auch wenn wir noch relativ distanziert waren, wurde ich von seiner Familie total normal behandelt.   Bis er mir ohne Spaß sagt, dass er Spiderman ist und aus dem Nichts eine Kreatur aus dem Boden platzt, die aussieht wie ein Demogorgon aus Stranger Things, aber auch in einem Spiderman-outfit. Wir sind alle hoch gerannt und haben uns irgendwas geschnappt womit wir uns verteidigen könnten, mein Ex war irgendwie immer noch unten und wollte sich um die Kreatur kümmern. Da war dann ein kleiner Moment wo ich das Adrenalin verloren habe und realisiert habe, dass wir aufgeschmissen sind und ich keine Chance habe ihn mit der Hacke, die ich irgendwo gefunden habe, zu erledigen. Plötzlich war dann mein Vater mit einer Schreckschusswaffe da und wollte das Ding weg locken und in dem Moment habe ich gemerkt, dass ich träume und bin wach geworden. ",1698292980,7,1,3,10,7,5,2,0,3,5,0,0,0,3,0,0,0,0,8,0,0,218,21.8,3.33333333333333,3,3
"NT02CR",2023-10-27,2,-77,-77,"-66",1698383160,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NT02CR",2023-10-28,1,2,3,"Es war eine sehr kurze Nacht und ich weiß nur noch, dass ich von einer meiner besten Freundinnen J geträumt habe. Wir lagen zusammen auf der Couch und wollten schlafen, aber sie hat 3 Paracetamol genommen und konnte nicht aufhören zu quatschen, wovon ich entweder wach gehalten oder geweckt wurde.  ",1698503820,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,50,50,1,1,1
"NT02CR",2023-10-29,1,2,3,"Ich war in meinem alten Kinderzimmer und unsere Terrasse wurde erneuert. Ein Bagger stand vor meinem Fenster und ist mit irgendeinem Werkzeug in mein Zimmer rein, ohne es zu merken. Ich habe mich sehr beobachtet gefühlt.  An mehr kann ich mich leider nicht erinnern.",1698562440,10,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14.6666666666667,3,1,NA
