"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"RF04PT",2023-08-15,1,2,3,"1. Traum:   Ich habe geträumt, dass ich zu spät für diese Erhebung wach geworden bin. Ich habe mich erschrocken, weil ich mir extra einen Wecker gestellt hatte. Als ich auf die Uhr geschaut hatte, war es 11:90Uhr (im Traum empfand ich das als realistisch). Ich habe mich geärgert und gehofft, dass ich noch teilnehmen kann.     2. Traum  Ich habe geträumt, dass ich in der Kirche also Messdiener zu einem Hochfest war. Dabei waren viele Messdiener, die ich kannte und auch bekannte Gemeindemitglieder, jedoch war die Kirche mir unbekannt (im Traum aber bekannt). An den Inhalt der Feier kann ich mich nicht erinnern. Beim Auszug bin ich dann jedoch falsch gelaufen, was ich aber nicht als schlimm empfunden habe, weil ich einfach woanders her gelaufen bin, was aber niemand bemerkt hat. Draußen ist mir dann ein alter Schulkamerad entgegengekommen, zu dem ich eigentlich ewig keinen Kontakt habe. Im Traum habe ich mich aber nicht gewundert ihn zu sehen. Im Traum war er mit seiner Schwester da (er hat eigentlich gar keine Schwester) und beide haben total schief  Menschen die ihr wart verloren  gesungen. ",1692119820,1,2,2,6,2,1,1,0,0,2,0,0,0,1,0,0,0,0,3,0,0,182,30.3333333333333,3,1,1
"RF04PT",2023-08-16,1,2,2,"-Jugendfreizeit, ich als Leiterin mit meinen Bekannten Mitbetreuern und auch mir bekannten Kindern in einem bekannten Haus.   Wir waren 4 Betreuer und wir brauchten irgendwas aus der Stadt, was dann ein Betreuer und ich holen gegangen sind. Draußen war Unwetter, aber trotzdem haben wir in der Zeit vor allem darüber geredet, dass wir jetzt die 2 anderen Betreuer mit allen Kindern allein gelassen haben. Als wir wieder kamen waren aber alle sehr entspannt. Manche haben einen Film geschaut. Im Traum fand ich es nicht komisch, dass sich das Haus verändert hat von den Räumen, das Haus kann ich jetzt im Nachhinein nicht wiedererkennen. Ich bin dann ins Footballstadion, weil ich schauen wollte, ob das was für die Ferienspiele wäre. Ich saß ganz hinten, konnte nicht viel sehen und der Typ vor mir hat die ganze Zeit Dumme Kommentare zu dem Spiel und Stadion abgegeben, was mich sehr genervt hat.   Noch bevor das Spiel begonnen hat, waren dann doch plötzlich alle Kinder schon da und es war auch plötzlich ein anderes Stadion. Ich habe denen gesagt, wo die sich hinsetzen sollen, wir sind unten am Spielfeld rumgelaufen und da war eine Show noch vor dem Spiel. Man sollte mit einem Wasserschlauch jemanden treffen, der oben auf einem Schiff, was auf dem Spielfeld stand, rumgelaufen ist. Das hat dann eine Person von uns gemacht, aber plötzlich ist die Person auf dem Schiff hingefallen und nicht mehr aufgestanden. Es wurde nicht klar kommuniziert, aber irgendwie wussten alle, dass er tot ist. Das Feld wurde geräumt, alle sind gegangen.   Später war da dann plötzlich jemand von Instagram, der diese Person auf der Straße gesehen hat und gesehen hat, dass sie gar nicht verstorben ist. Diese vermeintlich verstorbene Person hat sich mit seinem Bruder unterhalten und erzählt, dass das alles nur ein Plan war um mehr Aufmerksamkeit für das Spiel zu bekommen.   Dann wurde ich geweckt. ",1692188880,2,1,5,14,12,4,3,0,1,1,0,0,12,0,0,0,6,0,1,0,18,317,22.6428571428571,2.8,5,5
"RF04PT",2023-08-17,2,-77,-77,"-66",1692291060,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RF04PT",2023-08-18,2,-77,-77,"-66",1692347400,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RF04PT",2023-08-19,1,2,4,"Erster Traum: Großfamilienurlaub in einem Ferienpark. Dabei waren vor allem mein Cousin mit Frau und Kind (die haben wirklich eins, nur eigentlich jünger als im Traum) und meine Schwester, ihr Freund und Kind (die haben keins). Wir haben uns abgewechselt, wer auf das Kind aufpasst und dann habe ich auf das Kinfd aufgepasst, was eigentlich noch ganz klein war, aber schon laufen konnte. Dann habe ich immer mal wieder um das Kind gekümmert. Dabei war ich stolz darauf, dass das Kind sich bei mir wol gefühlt hat. Ansonsten erinnere ich mich nur ein an Traumschnipsel, indem ich mit einem Mann saß, den ich jetzt so nicht identifizieren kann und wir uns ein Video angeschaut haben, indem ich tanze, was ich eigentlich so sonst nie tue. Dabei habe ich mich wohl gefühlt und war verblüfft, warum ich das kann.     Zweiter Traum: Ich war Angestellter in einer Psychiatrie, nicht der Chef. Es gab mehrere Situationen, die ich nicht mehr genau erinnere. Bei einer Einzeltherapie hat der Patient geglaubt beobachtet zu werden und meinte im Nebenraum sei jemand. Daraufhin hat er den Nebenraum überprüft und ein Kollege musste ganz schnell in den Kühlschrank springen, damit der patient nicht merkt, dass er gerade beobachtet wurde. Ich habe die Szene eher aus der Vogelperspektive beobachtet und keine Emotionen wahrgenommen. ",1692472740,5,2,4,8,7,5,3,0,2,2,0,1,3,0,0,0,0,0,2,1,3,216,27,2,2,4
"RF04PT",2023-08-20,1,2,3,"Ich war in einer Stadt, in der Freunde von mir wohnen in einem mir im Nachhinein unbekannten Hochhaus. Ganz oben saß meine Oma, die immer fast runtergefallen ist, weswegen ich mir große Sorgen gemacht habe. Ich habe dann versucht sie da runter zu holen, und bin durch das Hochhaus gerannt und plötzlich in ein Musical reingeraten, in dem ich für die Elsa-Rolle einspringen musste. Habe ich dann auch gemacht und hat mir Spaß gemacht. Am Ende wurde ich dann dadurch ausgezeichnet, dass ich die Krone behalten durfte, was mich sehr stolz gemacht hat. Dann bin ich mit der Freundin meines Cousins im Auto zurück gefahren, die plötzlich da war. Wir sind dann losgefahren, nur dass sie dann plötzlich weg war und ich bei einer Veranstaltung meines Stipendienwerks angekommen bin. Dort wurden wir in einen Gruppenschlafraum geführt. Es wurde erklärt, wer alles da schlafen soll. Ich war mir unsicher, ob ich in der richtigen Gruppe bin, oder wo anders hin muss. Ende",1692558600,6,1,4,11,5,3,2,0,1,4,0,0,1,0,0,0,0,0,4,0,1,167,15.1818181818182,2.75,4,3
"RF04PT",2023-08-21,1,2,4,"Ich war in dem Haus meiner Tante und meine Großfamilie war da und musste Rätsel lösen, die ich gestellt hatte, vor allem meine Mutter und meine andere Tante mussten viele Aufgaben lösen. Ich habe das alles nur beobachtet. Die Rätsel waren teilweise relativ seltsam, die mussten das ganze Haus durchsuchen. Später waren wir in einem Park und ich habe den Tag für alle organisiert.",1692645420,7,1,2,3,3,2,1,0,1,2,0,0,0,2,0,0,0,0,4,0,0,64,21.3333333333333,1.5,2,2
"RF04PT",2023-08-22,1,2,2,"Meine Schwester hat einer Show teilgenommen, zunächst freiwillig, später aber gezwungenermaßen. Das haben wir daran herausgefunden, dass sie sich die Haare auf eine andere Weise gewaschen hat. Dann bin ich dahin, wobei ich den Traum eher aus der Vogelperspektive wahrgenommen habe. Ich bin in einer Pause mit ihr einmal umhergelaufen und wir haben dann gesagt wir gehen zur Kirche, damit wir uns unterhalten können. Wir wurden auf dem Weg aber auch verfolgt von einer Managerin. Deswegen haben wir dann in Geheimspracge gesprochen. Ich hätte dann auch ein Sauerstoffgerät auf, damit man mich nicht erkennt. Mehr weiß ich nicht mehr     Anderer Traum:   Ich hatte eine Prüfung als Kind an der Schule, wobei das nicht meine richtige Schule war. Die Zeit für die Arbeit hat gestartet, als wir noch draußen standen (die Leute kenne ich nicht). Ich bin dann schnell in den Raum gerannt, da war aber gerade eine Art Ganztagsbetreuung. Jedem war ein Stuhl zugeteilt, den musste man aber auch erst mal finden, das war sehr stressig. Ich saß dann da mit 2 Kindern die gespielt haben und einer Lehrerin, die ich auch nicht kenne, die mich beaufsichtigt hat. Ich sollte dann in einem Arbeitsheft Kapitel 7 machen. Ich bin von der Zeit überhaupt nicht hingekommen, ich war total gestresst. Als die Zeit um war, hatte ich nur einen kleinen Teil fertig. Ich bin dann zurück zur Gruppe und habe herausgefunden, dass man nur Aufgabe 7 machen sollte und nicht das ganze Kapitel, weswegen ich sehr sauer und verzweifelt war. Ja mies gelaufen ",1692729540,8,1,3,7,4,3,2,0,1,3,0,0,1,0,0,0,0,0,3,0,1,252,36,2.33333333333333,3,3
"RF04PT",2023-08-23,1,2,3,"Ich war mit meinen besten Freunden in einem Ferienhaus. Es war uns aber nicht bewusst, dass das Haus in einem Freizeitpark sein würde. Die Bedienung, um im Haus schlafen zu können, war es, das Fahrgeschäft zu betreiben. Es handelte sich dabei um eine Art Kartbahn/Bobbahn. Die Fahrt mit der Bahn hat Spaß gemacht, aber ich wusste auch nicht so richtig was ich tun soll. Im Endeffekt hat sich mein Cousin, keine Schwester und ich darum gekümmert, obwohl die ganze Familie da war (ja, mittlerweile war es meine Familie und nicht meine Freunde). Ich habe mich dann gleichzeitig um die Kasse und die Bahn gekümmert, was mich überfordert hat. Als wir abreisen wollten, sind manche mit dem Auto gefahren und manche mit dem Flugzeug. Es war nur unklar, wo ich mitgenommen werde und es wurde gesagt, dass ich ja dann noch da bleiben und alles abschließen könnte. Das hat mich unsicher gemacht, weil ich gar nicht wusste, wo alles hin muss. Nach längerer Diskussion konnten wir uns aber einigen, dass eine Truppe mit mir geblieben ist und wir das zusammen gemacht haben.",1692818520,9,1,2,7,5,3,2,0,1,2,0,0,2,0,0,0,1,0,2,0,3,181,25.8571428571429,3.5,2,2
"RF04PT",2023-08-24,2,-77,-77,"-66",1692858960,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
