"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"RG12CR",2023-09-16,1,2,4,"Begonnen hat mein Traum mit meiner festen Freundin bei ihren Eltern in Schweden. Die Umgebung ähnelte aber eher einer Promenade an einem Mittelmeerstrand, auf der wir mit dem Fahrrad fuhren, ich wusste aber das es Schweden war. Später waren wir im Haus ihrer Eltern, das auch ganz anders aussah als das original. Dort ging es darum, wie ich denn zurück nach Hause komme. Ich sollte zum nächsten Bahnhof laufen und dort den Zug nehmen. Der Weg sein einfach und führe immer geradeaus. So bin ich um das Haus rum und auf dem Weg gerade aus gelaufen. Ziemlich gleich war ich in einem Wald, bis ich auf ein Museum stieß, durch das ich offensichtlich durch musste. So bin ich durch dieses Museum gelaufen. Es war relativ verwinkelt, kleine Räume. Was in dem Museum ausgestellt wurde, weiß ich nicht. Die Wände aber wirkten edel, mit festlichen rot und goldenen Verziehrungen. Weil ich mir dann doch unsicher war, bin ich zurück zum Haus der Eltern meiner Freund, dass nun von einer dörflichen Umgebung umgeben war. Etwa 200 Meter vor dem Haus der Eltern meiner Freundin entdeckt ich auf der linken Seite eine Bushaltestelle, von der gerade ein Bus abfuhr. Im Haus angekommen, haben wir uns erkundigt, wann der nächste Bus führe, da kamen wir auf 10 Minuten. Ich hatte aber schon keine Schuhe mehr an. Als ich die Treppe runter bin um loszugehen, hatte ich nur noch zwei Minuten Zeit, konnte aber meinen zweiten Schuh nicht finden. Plötzlich aber schlüpfte ich hinein. Als ich um das Haus herum ging, um zum Bus zu laufen, war ich plötzlich auf der Straße hinter dem Haus meiner Eltern, zu dem ich auch unterwegs war. Da ich aber wusste, dass es nicht sein kann, beschloss ich den Weg entlang zu gehen mit dem vollen Bewusstsein, vor mir den Wald zu wissen, in dem das Museum war. So lief ich auch tatsächlich auf einen Wald zu und kam so plötzlich zu einem Bahnhof. Auf dem Bahnhofschild stand  Zwilling , es gab nur ein Gleis mit der Nummer 39. Laut meinem Handy sollte hier der Zug abfahren, zu dem ich mit dem Bus gekommen wäre, und zwar relativ gleich. Ich wusste, dass ich so schnell keine Fahrkarte kaufen konnte. So fuhr ein Bronzefarbener Zug ein, der außen etwas altmodisch wirkte, nach dem Einstieg innen aber normal. Als ich dann auf meinem Handy überprüft habe, ob ich richtig bin, fand ich mich auf einer Karte in Dänemark eingezeichnet, die Linie, die wir fuhren war aber eher ein Zickzack zwischen Nord und Süd. Ich war mir sicher, im falschen Zug zu sitzen, dazu ohne Fahrkarte, und wollte an der nächsten Station aussteigen. Dann kamen Kontrolleure auf uns zu. Zwei konnte ich sicher als solche identifizieren. Ich tat unauffällig als sei ich schon kontrolliert. Die beiden Kontrolleure gingen weiter und kontrollierten die Fahrkarten einer Jugendgruppe. Es tauchte aber ein dritter auf, der nun doch meine Fahrkarte sehen wollte (alle drei sprachen deutsch - in Dänemark). Als ich ihm erklärt habe, dass ich keine kaufen konnte, hat er mir zuerst vorgeworfen, teil der Jugendgruppe zu sein und schwarz zu fahren. Nach meiner Erklärung, dass ich auch im falschen Zug sitze und nach Deutschland möchte, gaben sich die drei Kontrolleure zufrieden. Als ich kurz später an einem offensichtlich größeren Bahnhof ausstieg, bin ich aufgewacht.",1694861220,1,1,5,21,8,7,5,4,6,3,4,0,0,0,2,0,0,0,3,6,0,554,26.3809523809524,4.2,5,4
"RG12CR",2023-09-17,1,2,4,"Im Traum haben wir mit einer kleinen Gruppe eine Fahrradtour gemacht. Nach einem Kreisel, in dem ein Auto direkt neben mir gefahren ist, was mich in der Realität sehr stört, nur im Traum nicht, fuhren wir auf einen Stau zu, die Polizei hatte gesperrt. Wir wollten rechts vorbei fahren, wurden aber gestoppt. (Erinnerungslücke) Wir waren in einem Park, mit den Fahrrädern. Zufällig hörte ich die Stimme meiner Schwester, die nicht bei der Fahrradtour dabei war. Außerdem hatte ich plötzlich einen Platten. Im der Szene danach waren wir in einem Haus. Mein Platter war nicht der einzige so mussten wir zumindest unterbrechen. Mit im Haus war eine Figur einer Serie, die ixh kürzlich gesehen habe, und ihr Kind. ",1694977440,2,1,2,6,3,2,2,0,0,1,0,0,1,0,0,0,1,0,1,0,2,119,19.8333333333333,3,2,2
"RG12CR",2023-09-18,1,2,4,"Mein kleiner Bruder und ich befanden uns im Garten unseres Elternhauses, das dem in der Realität sehr ähnelte. Doch in diesem Garten bauten wir an einem Haus, das eine Höhe von vielleicht 2 Metern hatte. Es stand auch schon eine Wand (ca 1,7m hoch), an der wir arbeiteten, sonst stand da nichts. Wir haben dann eine Stelle gefunden, an der sich offensichtlich eine Maus zu schaffen gemacht hat. Zumindest gab es Löcher in entsprechender Größe. Diese Löcher waren in der Dämmung der Wand, die aus Zucker bestand. Ich nahm zuerst meine Schaufel und machte Erde Löcher, damit die Maus nicht in die Löcher kommt. Dann fand ich ein Lager mit Würfelzucker, offensichtlich aus dem Dämmmaterial. Das Lager ähnelte dem eines Computerspiels, das ich zuvor in der Realität gespielt hatte, in dem es aber keinen Zucker gibt. So zog sich ein Vorrat von Zucker die Ganze Wand entlang, ca 2,5 m. Wir entschieden, den Würfelzucker einem Freund zu geben, der, im Traum, sie für eine Studie brauchte. So brachten wir den Zucker nach und nach ins Haus. Dann bin ich aufgewacht und später wieder eingeschlafen.  Vorher hatte ich einige Traumfetzen, an die ich mich nicht erinnern kann. Aber ich hatte schon bei diesen Fetzen im Traum entschieden, dass ich mich im Sinne dieser Studie nicht erinnern kann. Als ich aufgewacht bin, brauchte ich einen Moment um festzustellen, dass ich tatsächlich auch einen verwertbaren Traum geträumt habe.",1695015120,3,1,1,8,4,4,4,1,1,4,0,0,0,0,0,0,0,0,4,0,0,235,29.375,8,1,1
"RG12CR",2023-09-19,1,2,3,"In diesem Traum habe ich selbst nicht mitgespielt. Es war ein Gespräch in einem Außenbereich eines Altersheims zwischen drei Personen: ein Angestellter, eine Pflegebedürftigen und einem Außenstehendem. Alle drei waren mir nicht bekannt. Im Gespräch ging es darum, dass die Pflegebedürftige Frau von einem ihr bekannten Herrn eine Fliege (Kleidungsstück) geschenkt bekam. Wohl ein Verehrer.   Ein zwei mal wurde eine weitere Pflegebedürftige Person im Rollstuhl durch das Bild geschoben, die aus dem Haus kam und zum Windeln Wechseln über eine kleine Brücke in ein anderes Haus gebracht wurde.",1695119280,4,1,1,2,2,1,1,1,1,0,0,2,0,0,0,1,0,0,0,3,0,88,44,2,1,1
"RG12CR",2023-09-20,2,-77,-77,"-66",1695200520,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG12CR",2023-09-21,1,2,4,"Der Traum handelte sich anfangs um einen Urlaub nahe der Ostsee. Wir haben anhand einer Karte überlegt, wo man in der Nähe unserer Unterkunft schwimmen kann. Es floss in der Nähe ein Fluss, der ist aber weggefallen, weil er bis zur Mündung eine tiefe von max 1m erreichte. Auf der Karte war auch Papenburg (wo meine Freundin für 1,5 Wochen war) in der Nähe der Ostsee eingezeichnet, ansonsten sah sie sehr realistisch aus.  Im nächsten Moment stand ich auf einem Fußballplatz dort in der Nähe bei einem Spiel der zweiten Mannschaft meines Lieblingsvereins. Ich sollte den Anstoß ausführen, aber aus der Mitte der eigenen Hälfte, etwas rechts. Den Ball konnte ich schön in die gegnerische Hälfte Zirkel, wo nach einer kurzen Kombination mein Mitspieler den Ball an die Latte köpfte. Ich war inzwischen vorgeeilt.  Dann verfolgte ich das Spiel auf einem Handy im Live-ticker, wobei ich nur den Bildschirm gesehen habe.",1695295500,6,1,3,7,4,2,2,1,1,3,0,0,1,3,0,0,0,1,6,0,1,155,22.1428571428571,2.33333333333333,3,2
"RG12CR",2023-09-22,1,2,3,"Heute gab es viele einzelne Szenen, an die ich mich nicht konkret erinnere. Lediglich, dass überall das Wort  uns  im Mittelpunkt stand, ist mir aufgefallen, als sei es fett markiert worden. Wenn in Sätzen das Wort gefallen ist, war es stehts etwas lauter und deutlicher.",1695405780,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,1,1,NA
"RG12CR",2023-09-23,1,1,4,"Ich war Teil eines Fußballspiels zwischen Deutschland in weiß und einem unbekanntem Land in Rot. Mehrfach wurde uns der Ball einfach, teilweise mit der Hand, gegeben. Dementsprechend lagen wir in Führung. Irgendwann ist aus einem Spieler ein Elefant geworden, der, gefoult, auf dem Kopf stecken blieb. Schließlich gab es Freistoß für den foulenden Spieler. Dieser wechselte damit allerdings zur gegnerischen Mannschaft. Gleichzeitig standen auch unsere Einwechselspieler auf dem Platz, unseren Torwart gab es gleich viermal. Dann hieß es, alle fünf Torwärte, ich war der fünfte, sollten ins Tor. Die vier anderen waren schon im Tor, auf einem Haufen, ich war noch unterwegs, als der Schütze den Freistoß ausführte und traf. Da ich aber noch nicht da war, wurde der Freistoß wiederholt. Ich stellt mich dahin, wo der Ball vorher hinflog. Der Schütze schoss erneut, der Ball flog die exakt gleiche Kurve, sodass ich ihn einfach fangen konnte. Dann gab es Jubel, denn wir hatten gewonnen.",1695461460,8,1,2,10,8,2,2,0,0,0,0,0,8,0,0,0,5,1,0,0,13,157,15.7,5,2,2
"RG12CR",2023-09-24,2,-77,-77,"-66",1695567660,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG12CR",2023-09-25,1,2,4,"Im ersten Traum war ich Teil eines Chores. Den Dirigenten kannte ich. Das Lied, das wir geprobt haben, nicht. Ich war der einzige im Bass, ansonsten gab es noch wenige Tenöre. Hinter uns standen einige Menschen, die aber nicht gesungen haben. In der zweiten Probe hat mich danb meinr Freundin im Bass unterstützt. Eir sind aber während des Liedes durcheinander gekommen und mussten aufhören zu singen. Trotzdem haben wir vom Dirigenten ein großes Lob bekommen und wir sollten lauter singen.    In einem zweiten Traum war ich Teil einer Schulklasse. Bis auf, dass ich viele Tictacs, Fishermans Friends umd ähnlich gegessen habe, bin ich nicht in Erscheinung getreten. Auffällig war eine kleine Clique, die hauptsächlich aus Mädchen bestand. Diese trat sehr selbstbewusst auf. Neben kleinen Streichen, übten sie teils Selbstjustiz, teils versuchtrn sie sich, mit Erfolg, als Detektivinnen, auch gegen Klassenkamerad:innen. In der Schule gabe es einen Aufzug. ",1695633540,10,2,5,8,6,4,2,0,2,1,0,2,1,0,0,3,1,0,1,5,2,151,18.875,1.6,2.5,3
