"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"RT12RL",2023-08-13,1,2,2,"Ich war in der Notaufnahme während meiner Schicht. Hatte viel Spaß mit der Pflege. Dann sind gute Freunde von mir gekommen mit ihrem Kind (ca. 1,5 Jahre alt) gekommen, weil ihr Kind Fieber hat. Ich habe sie dann untersucht und war mir sehr unsicher, und sie wollten so dringend nach Hause! dann habe ich in die Ohren geschaut, das eine war sehr rot, aber ich war mir auch nicht ganz sicher. Und mit dem gleichen Gerät in die Augen geschaut/ gepieckst. Dann hat sich ein ganz großer, trüber Bluterguss in dem einen Auge hinter der Hornhaut gebildet - ganz ekelig. Ich habe dann gesagt (und auch gedacht), dass das ganz normal ist und weg geht - aber mich trotzdem nicht gut gefühlt. Dann wollten sie nach Hause gehen. Aber sie hat auch so komisch geatmet, immer Atemausetzer gehabt. Die Eltern der Kleinen sagten mir, dass sei ganz normal. Dann habe ich sie noch überredet, am nächsten Tag für einen weiteren Test (Urinprobe) nochmal wiederzukommen, und dann sind sie gegangen. Ich hatte ein sehr mulmiges Gefühl und Angst, etwas übersehen zu haben. ",1691947140,1,1,1,12,11,8,1,0,7,11,0,0,0,7,0,0,0,0,18,0,0,183,15.25,12,1,1
"RT12RL",2023-08-14,1,2,2,"Ich war bei meinem Vater, der ein neues Haus hatte. diese neue Haus stand auf einem 100 m hohen Pfahl. es war sehr wackelig. das hab wir neu festschrauben müssen an vier Punkten. Wir haben uns mit Fallschirm und klettergurt ausgerüstet und fest gekettet. Dann wurde es aber so wackelig, dass ich doch runtergefallen bin. Der Fallschirm ist auf gegangen, ich bin sehr sehr weit geflogen und im Wasser gelandet- puh war das ein Schreck! Ein Rettungsboot hat mich heraus geholt. Ich war desorientiert, wusste noch nicht mal in welchem Land ich bin, geschweige denn in welcher Stadt. Viel Angst kam da hoch! Ein netter Mann hat mir dann geholfen, mich in das Zentrum der Stadt gebracht. Und da habe ich dann Freunde auf dem Kolumbien- FSJ wieder getroffen, auch meine alten Chefs. Alle haben sich lieb gekümmert um mich und mich behütet, ich habe mich wieder sicherer gefühlt- allerdings war ich jetzt wieder in Kolumbien und wollte doch eigentlich nach Deutschland!   ",1692036480,2,1,3,10,5,5,3,0,2,4,0,1,0,2,0,0,0,0,6,1,0,164,16.4,3.33333333333333,3,2
"RT12RL",2023-08-15,1,2,2,"Ich war auf einer Demonstration, ich weiß leider nicht mehr wofür, aber es war keine politisch gewünschte Sache. Dann hat die Polizei ganze Demonstrationsgruppe eingeschlossen und abgeführt. Ich war mit meinem Freund da. Dann gab es einen Moment wo alle versucht haben zu fliehen und in unterschiedliche Richtungen gerannt sind. Mich hat die Polizei schnell wieder eingefangen. Ich hatte Angst dass sie Gewalt anwenden, aber sie waren sehr nett. Mein Freund hat es geschafft und war dann einfach weg. Die Gruppe wurde dann in einen Bus gesetzt, ich kannte niemanden und habe mich einsam gefühlt, hatte Angst meinen Freund nicht mehr wieder zu sehen. Dann haben zwei ganz nette Frauen mit mir gesprochen und mich eingeladen mich im Bus neben sie zu setzen, es gab Dreier-Reihen. Dann habe ich mich neben sie gesetzt und war erleichtert, nicht ganz allein zu sein.",1692067740,3,1,2,8,6,6,0,0,6,0,2,3,0,0,4,3,0,0,0,12,0,141,17.625,4,2,2
"RT12RL",2023-08-16,1,2,2,"Ich hatte verschiedene Träume:     1  Mein Freund ist umgezogen und musste in seinem neuen Zimmer streichen. Er hat die Wände dunkel rot gestrichen. Es war ein riesiges Zimmer, doppelt so groß wie meine jetzige Wohnung. Fast alle Wände waren bald dunkelrot,  mir war das zu viel Farbe, es hat sich drückend angefühlt. ch musste zwischendurch in die Stadt und habe mein Fahrrad kurz angeschlossen. Als ich wieder kam war der Sattel geklaut und ein Reifen platt. So ein Ärger!!. Dann habe ich sehr lange nach einem Fahrradladen gesucht um die Ersatzteile zu kaufen. Dort war ein recht merkwürdig Käufer, der viel mit sich selber und unsichtbaren Personen gesprochen hat. Kurz hatte ich Angst, aber er war ruhig und freundlich. Ich habe alles bekommen und bin wieder zurück geradelt. bei meinem Freund war das Streichen fast fertig, er wohnte  jetzt in einer VIG und es gab einen riesigen Balkon nach hinten zum See hinaus. Dort haben wir dann gegessen und ich habe mich über die tolle Aussicht gefreut. Im Keller hatten die Mitbewohnis noch nicht gestrichen, dort war es noch schmutzig und die Wände schimmelig - ekelhaft!    2  Ich war mit Freunden aus der Schulzeit unterwegs und wir saßen am Essenstisch. Jeder hatte eine eingepackte Falafel vor sich liegen. Dann kamen ein paar Jungs, circa 15 Jahre alt, südländischer Teint, und haben meine Falafel aufgemacht, angefasst und angeleckt. So ekelhaft und unverschämt! Dann wollte ich die Falafel von einem der Jungen haben, aber er hat das nicht eingesehen und es kam zu einem Streit. Ich habe ihm auf dem Rücken gehauen, dadurch wurde er noch viel wütender. Wir sind geflohen vor der Gruppe und haben uns in der Stadt versteckt in einem Klamotten-  Laden, hinter der Kleiderstange. Irgendwann mussten wir raus und sind die Stadt entlang gerannt, an den Jungs vorbei und noch weiter und hatte Angst dass sie uns verfolgen.   ",1692197100,4,2,7,26,13,8,3,1,6,7,2,8,0,4,0,6,0,0,11,16,0,326,12.5384615384615,3.71428571428571,3.5,6
"RT12RL",2023-08-17,1,2,2,"1  Ich war auf dem Weg zur Arbeit mit meinem Freund und wir haben den Bus fast verpasst. Dann haben wir uns hinten auf eine Stange gestellt und uns festgehalten während der Fahrt. Ich hatte die ganze Zeit Angst abzurutschen. Auf der Arbeit musste ich dann in eine Operation zum helfen - Das mag ich überhaupt nicht gerne. Außerdem wurden zwei Kinder operiert, die ich schon kannte, es waren die Kinder von Schwestern aus der Kinder Notaufnahme.  Sehr stressig!    2  Eine Schwester aus Kindernotaufnahme, einer meiner Lieblingsschwestern, war sehr krank, kurz vorm sterben. Ich bin zu ihr gefahren um mich von ihr verabschieden. Sie lag im Bett und sah sehr krank aus, ich habe viel geweint - Seltsamerweise alle anderen um mich herum nicht. Ich habe mich gefragt ob das daran liegt, dass sie aus Marokko kommt und in der Kultur weniger geweint wird. Der Abschied war sehr schwer auszuhalten. Es hat lange gedauert, bis ich gehen konnte aber dann hab ich es geschafft.",1692295140,5,2,3,8,6,4,2,0,2,5,0,0,2,1,0,0,1,1,6,0,3,166,20.75,2.66666666666667,1.5,3
"RT12RL",2023-08-18,1,2,2,"Ich wollte Eine Party organisieren, bei der auch Kinder aus dem Krankenhaus dabei sein sollten. Es war schwierig Sachen zu Bekommen , wir mussten einen Garten aufräumen und eine Bühne aufbauen.  Meine Mama war mit dabei und hat immer wieder geschimpft, dass die Zeit zu knapp ist.   Und dann hat auch noch ein Kind auf Station angefangen zu krampfen und wir mussten alle dahin und uns um das Kind kümmern. Wir sind nicht mehr rechtzeitig fertig geworden, aber das fand ich gar nicht so schlimm.",1692384900,6,1,1,7,5,5,3,0,2,2,1,0,4,0,0,0,0,4,2,1,4,89,12.7142857142857,7,1,1
"RT12RL",2023-08-19,1,2,2,"Ich war zu Hause bei meinen Eltern. Meine Schwester war auch da. Ich war unglaublich müde von einer anstrengenden Arbeitswoche und wollte so gerne ausschlafen. Und dann hab ich meine Schwester um 8:00 Uhr angefangen ganz laut zu sprechen mit meiner Mutter. Ich bin rausgegangen und habe sie gebeten leiser zu sein. Und dann war ich leider so genervt dass ich nicht mehr gut einschlafen konnte.",1692432180,7,1,1,4,3,2,1,1,2,3,0,0,0,0,0,0,0,0,3,0,0,66,16.5,4,1,1
"RT12RL",2023-08-20,1,2,4,"Ich war bei einer Freundin zu Besuch, die sechs Geschwister hat. Deshalb wohnen sie in einem riesigen Haus. Wir haben eine Haß Schwestern gesucht und ganze Haus gelaufen, das sehr verwinkelt war. Es hat Spaß gemacht, das Haus zu erkunden. Es gab viele Geheimwege. Dann war es doch plötzlich das Haus meiner Oma. Ich war mit ein paar Freunden und Geschwistern da. Es gab unten im Haus eine kleine Kapelle und wir haben uns vorgenommen die für meine Oma zu säubern, damit dort wieder Gottesdienste statt finden können. Meine Oma hat sich darüber sehr gefreut und ich war ganz zufrieden. ",1692558900,8,1,2,4,3,3,2,0,1,3,0,0,0,1,0,0,0,0,4,0,0,100,25,2,2,2
"RT12RL",2023-08-21,2,-77,-77,"-66",1692637200,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT12RL",2023-08-22,1,2,2,"Ich war mit meinem Freund und seiner Familie unterwegs. Wir waren ein paar Tage weg, es war wie ein kleiner Urlaub. Und dann an einem Abend waren wir ganz lecker etwas essen. Es war ein sehr besonderer Ort, in einem Burginnenhof. Und dann hat mein Freund sich plötzlich hingekniet und mir einen Heiratsantrag gemacht. Ich habe ja gesagt, aber mir die ganze Zeit gedacht: das ist doch viel zu früh! Und ein bisschen unwohl habe ich mich gefühlt. Er hatte dann auch einen Ring  gekauft, in einem Rosé-Farbton. Er war viel zu weit. Und ich habe ihn direkt darauf verloren. Dann haben wir den ganzen Innenhof des Restaurants abgesucht und ihn nach sehr langer Zeit erst wieder gefunden. Ich habe mich noch nicht getraut, es meiner eigenen Familie zu erzählen. Denn es war mir ein bisschen unangenehm, dass wir jetzt so früh schon heiraten wollten… ",1692728880,10,1,2,8,4,4,4,1,1,4,0,0,0,1,0,0,0,0,5,0,0,147,18.375,4,2,2
"RT12RL",2023-08-23,1,2,2,"Ich wurde verfolgt von einem mächtigen Zauberer, ähnlich wie Lord Voldemort von Harry Potter. Ich habe lange meinen Zauberstab gesucht und erst ganz spät gefunden, dabei bin ich durch einen alten Burgkeller gerannt. Es waren so viele Räume hintereinander , sehr chaotisch, voller Gerümpel. Es kam zu keiner direkten Konfrontation, ich hatte nur Angst und bin weggelaufen. Dann hat der Traum sich ein bisschen verändert. Ich hatte dann noch zusätzlich die Verantwortung für viele schwierige Jugendliche. ich habe mich sehr darüber geärgert, dass das Jugendamt so unterbesetzt ist im Moment und sich niemand richtig um diese Kinder kümmert.Ich hab viel überlegt ob es noch andere Lösungen gibt, zum Beispiel eine Heimbetreuung, aber ich habe nichts gefunden. Sehr frustrierend!",1692802980,11,1,2,6,2,2,0,0,2,0,1,1,0,0,0,1,0,0,0,3,0,121,20.1666666666667,3,2,2
"RT12RL",2023-08-24,1,2,4,"Ich hatte eine Stationswoche bei der Arbeit. Abends bin ich nicht nach Hause gefahren, sondern zu einer ganz guten Freundin, die ich lange nicht gesehen habe. Wir mussten direkt ins Bett und haben uns nur morgens etwas austauschen können nach dem aufstehen. Die Zeit war so knapp, dass ich immer viel zu spät losgefahren bin und dann zu spät auf der Arbeit war. Das haben wir drei Tage so gemacht, damit wir die Chance auf ein bisschen quatschen haben. Es war sehr gemütlich bei ihr zu übernachten.  Sie ist eine äußerst gute Freundin von mir - und ich habe mich gefreut neben ihr wach zu werden, sie dann direkt sehen. ",1692902760,12,1,1,7,4,4,3,2,3,4,0,0,0,0,0,0,0,0,4,0,0,112,16,7,1,1
