"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SB01MC",2023-10-22,1,1,1,"Bei uns wurde eingebrochen ",1697946960,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4,4,1,1,1
"SB01MC",2023-10-23,2,-77,-77,"-66",1698033600,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB01MC",2023-10-24,1,2,2,"Ich habe geträumt dass ich verschlafen habe und dann zu spät zur Arbeit gekommen bin und gefeuert wurde. ",1698123780,3,1,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,22,7.33333333333333,3,1,1
"SB01MC",2023-10-25,2,-77,-77,"-66",1698219420,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB01MC",2023-10-26,1,1,1,"Ich war mit einer Freundin abends im Kino in einem Horrorfilm. Als wir dann zu Fuß nach Hause gegangen sind haben uns die gruseligen Figuren aus dem Film verfolgt und wollten uns umbringen",1698296820,5,1,2,2,2,2,1,0,1,1,0,1,0,0,0,1,0,0,1,2,0,33,16.5,1,2,2
"SB01MC",2023-10-27,1,2,3,"Ich habe davon geträumt dass ich wieder im Jahr 2017 oder so war und ich mit meinen ehemaligen Freundinnen draußen unterwegs und haben Zeit zusammen verbracht",1698426060,6,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,26,26,1,1,1
"SB01MC",2023-10-28,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB01MC",2023-10-29,2,-77,-77,"-66",1698562020,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB01MC",2023-10-30,1,1,2,"Ich war am Hauptbahnhof in Essen und dann wurde ich überfallen also mir wurde alles wichtige geklaut (Handy, Portmonee, IPad, Laptop). Ich hatte mega Angst und habe direkt geweint als es vorbei war. Dann bin ich zu jemandem gegangen und habe ihm gesagt er soll die Polizei anrufen.",1698645240,9,1,1,4,2,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,52,13,4,1,1
"SB01MC",2023-10-31,2,-77,-77,"-66",1698785400,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB01MC",2023-11-01,1,1,2,"Ich war in dem Horrorfilm den ich gestern Abend geschaut habe und musste vor Michael Myers weglaufen ",1698836640,11,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,17,17,1,1,1
"SB01MC",2023-11-02,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB01MC",2023-11-03,1,2,2,"Ich hatte ein Vorstellungsgespräch für einen Aushilfsjob bei dm und das Gespräch war nicht gut. Der Chef hat sehr komische Fragen gestellt und ich wusste nicht wie ich reagieren soll. Als es dann sehr private und persönliche Fragen wurden bin ich einfach gegangen und habe geweint ",1699023660,13,1,1,3,3,3,1,1,3,0,3,0,0,0,0,0,0,0,0,3,0,48,16,3,1,1
"SB01MC",2023-11-04,2,-77,-77,"-66",1699083540,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB01MC",2023-11-05,1,2,3,"Ich war seit langem mal wieder reiten und hatte sehr viel Spaß. Eine Freundin, die auch reitet war auch mit dabei ",1699167540,15,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21,21,1,1,1
"SB01MC",2023-11-06,2,-77,-77,"-66",1699297260,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
