"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SB02CR",2023-07-15,2,-77,-77,"-66",1689403380,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB02CR",2023-07-16,2,-77,-77,"-66",1689485520,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB02CR",2023-07-17,1,1,1,"Ich musste eine Klausur schreiben, aber habe nicht gelernt und hatte deshalb Angst vor der Klausur. Dann habe ich mit meinem Freund Nudeln gekocht.",1689568860,3,1,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24,12,1,2,1
"SB02CR",2023-07-18,1,1,2,"Ich habe geträumt, dass ich einen riesigen Blumenstrauß hatte. Aber irgendwie war es da gruselig wo man den kaufen kann. Und ich wollte mit meinen Freunden auf ein Festival aber die haben getrödelt und dann hab ich den act den ich sehen wollte verpasst.",1689653400,4,1,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,46,11.5,4,1,1
"SB02CR",2023-07-19,1,2,2,"Ich war in einem Garten mit Freunden und dann kann jemand und ich musste weglaufen. Und dann war ich in Cartier mit einer Person, die mit einfach alles gekauft hat.",1689742140,5,1,2,3,3,2,1,0,1,1,0,0,2,1,0,0,0,0,2,0,2,32,10.6666666666667,1.5,2,2
"SB02CR",2023-07-20,1,1,2,"Ich war beim Schönheitssalon weil ich mich über botox Behandlungen informieren wollte. Da war ein Typ der mich einfach gefilmt hat und als er das nicht löschen wollte habe ich seine Kamera kaputt gemacht. Dann hat der Chirurg mir einen Karton mit einer Schlange mit nach Hause gegeben und die ist abgehauen und ich musste sie einfangen ",1689828540,6,1,2,6,3,3,0,0,3,0,1,2,0,0,0,0,0,0,0,3,0,63,10.5,3,2,2
"SB02CR",2023-07-21,2,-77,-77,"-66",1689912120,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB02CR",2023-07-22,1,2,3,"Ich war mit meiner Familie in Amsterdam und da war ein Lana del rey Café und da waren wir drin. ",1690004820,8,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,20,20,1,1,1
"SB02CR",2023-07-23,2,-77,-77,"-66",1690091760,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB02CR",2023-07-24,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB02CR",2023-07-25,1,2,3,"Ich war auf einem großen Feld mit Bergen und habe mir den Sonnenuntergang angeguckt. Danach war ich da nochmal und andere Menschen waren auch da mit denen ich geredet habe.",1690258200,11,1,2,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2,30,15,1,2,1
"SB02CR",2023-07-26,1,1,2,"Ich habe Klausur geschrieben, aber konnte irgendwie alle fragen nicht und habe dann Panik bekommen und mich geärgert.",1690343520,12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,2,1,NA
"SB02CR",2023-07-27,1,1,2,"Ich wurde auf einer langen Feldstraße von einem Mann verfolgt aber da war noch ein anderer Mann und der meinte dann dass ich bei ihm bleiben kann. Der andere hat uns dann noch bis zum Ende vom Weg verfolgt.",1690433820,13,1,1,3,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,41,13.6666666666667,3,1,1
"SB02CR",2023-07-28,2,-77,-77,"-66",1690516800,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB02CR",2023-07-29,1,1,2,"Ich war an einer Schule in einem Berg ein gesperrt und alle sollten da ein halbes Jahr bleiben und da war alles aus so Sofa Stoff. Ich konnte aber nicht weggehen weil ich sonst durch mein Studium fallen würde.",1690614480,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,1,1,NA
