"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SB12KR",2023-10-30,1,2,3,"In diesem Traum war ich zunächst in einer Dachgeschosswohnung. Ein ehemaliger Mitbewohner rief mich an, der (ebenso wie seine Frau, ebenfalls meine ehemalige Mitbewohnerin) eigentlich seit 1,5 Jahren aus mir unbekannten Gründen nicht mehr mit mir spricht. Er rief mich aus beruflichen Gründen an, was durchaus auch außerhalb des Traumes denkbar wäre, da wir bei ähnlichen Arbeitgebern arbeiten. Im Telefonat war er sehr offen und sprach so  wie immer , es ging um berufliche Themen. Ich hatte im Gespräch die Chance, ihm zu sagen, wie sehr mich der Kontaktabbruch der beiden schmerzt und er konnte es verstehen, was mich wunderte. Danach war ich im Flur desselben Hauses, einer recht hohen Eingangshalle mit Treppenhaus eines schon älteren Hauses. Dort traf ich auf meine älteste Grundschulfreundin, mit der sich der Kontakt seit Jahren verlaufen hat, wie das halt so passiert. Sie arbeitete nun bei meinem ehemaligen Mitbewohner (nur im Traum, nicht wirklich) und ich war interessiert daran, wie es ihr dabei geht. Meine Befürchtung war, dass es ihr dort nicht gut geht, da er ihr Chef ist. Ich fragte sie, doch sie wollte nicht wirklich antworten, bzw antwortete ausweichend. Das bestätigte meinen Verdacht. Dann sollte es einen Spaziergang geben, mit 47 Personen. Ich war erstaunt und vielleicht auch neidisch, dass die Angebote der Arbeitsstelle meines ehemaligen Mitbewohners so gut angenommen werden. Auf dem Spaziergang wollte ich die Grundschulfreundin noch mal genauer zu ihrer Situation befragen.     Ich wachte kurz auf (es war schon Morgen außerhalb des Traumes) und schlief wieder ein. Im folgenden Traum war ich statt des Spaziergangs an einem anderen Ort. An die beteiligten Personen kann ich mich nicht wirklich erinnern. Ich glaube, sie kamen ebenfalls aus meinem Freundeskreis. Auch die Anzahl der Personen ist mir entfallen, ich glaube, es waren etwas mehr als 10 Personen. Der Traum fand in einer Art Schwimmbad statt, das eine Wildwasserbahn hatte. Eine Freundin (ich weiß nicht, wer) erklärte mir den Ablauf der Bahn, es gab verschiedene Aufgaben zu berücksichtigen. Die anderen Personen im Traum machten diese Aufgaben ebenfalls. Auch ich. Nur die letzte Aufgabe traute ich mir nicht zu, als es darum ging, unter der kompletten Gruppe durchzutauchen. Ich wachte auf.",1698665820,1,2,5,11,5,5,4,3,4,4,0,0,1,0,0,0,0,1,4,0,1,357,32.4545454545455,2.2,2.5,4
"SB12KR",2023-10-31,1,2,4,"Heute bin ich wieder mehrmals morgens aufgewacht und wieder eingeschlafen (Folge der Zeitumstellung?). An 2 Träume erinnere ich mich, auch wenn ich weiß, dass es mehr gab.  Einmal war ich mit 2 Freundinnen unterwegs, wir wollten mit der Bahn für ein paar Tage nach Holland fahren. Eine Unterkunft hatten wir nicht, auch die Tickets buchten wir sehr spontan, überhaupt war alles recht spontan und wir hatten unvollständig gepackt.  In einer nächsten Situation saß ich mit etwa 10 Personen an einer langen Tafel in einem sonnigen Garten unter einem Baum. Dort passierte verschiedenes. Woran ich mich erinnere, ist, dass ich Hagebutten, die wie Tomaten aussahen, vom Baum pflückte, tlw. waren sie noch grün, um Hagebuttenmarmelade zu kochen. Gleichzeitig blühten andere Bäume, was mir auffiel, weil Blüte und Ernte ja eigentlich nicht gleichzeitig vorkommen.  In einem weiteren Traum waren meine eigene Familie und eine andere, mit der wir zu Kindertagen mehr Kontakt haben, heute sind v.a. noch die Eltern befreundet, auf einer Radtour und machten gerade Pause. Es war sonniges Wetter, mehr weiß ich nicht.  Die Orte waren mir alle nicht bekannt. ",1698731040,2,2,3,6,3,3,3,0,0,1,0,0,1,1,0,0,0,1,2,0,1,180,30,2,1.5,3
"SB12KR",2023-11-01,1,2,2,"In dem Traum, an den ich mich heute erinnern kann, lief ich mit einer Freundin - ich weiß nicht mehr, welcher - durch ein ausgetrocknetes, asphaltiertes Flussbett. Erst war alles friedlich, dann kamen mehr und mehr Autos, die durch das Flussbett fuhren und wir mussten in den Wald links und rechts ausweichen. Nachher kamen noch lauter Hunde dazu. Da ich Angst habe vor Hunden waren sowohl die Autos als auch die Hunde bedrohlich.   Das Flussbett führte in einen Ort am Meer, den ich in Wirklichkeit nicht kenne, im Traum wusste ich von ihm. Es ist ein Ort, in den man nur hineinschauen kann am Rand, dann muss man Eintritt zahlen. Es war ein eher schicker Ort Es war dort ein riesiges Gedränge und auch meine Familie war nun dort, allerdings waren alle ca. 20 Jahre jünger. Wir drängten uns durch das Gedränge und irgendwie verloren wir uns auch. An weiteres bis zum Aufwachen kann ich mich nicht erinnern. ",1698819300,3,1,3,9,4,4,4,0,0,4,0,0,0,1,0,0,0,0,5,0,0,164,18.2222222222222,3,3,2
"SB12KR",2023-11-02,1,2,5,"Ich kann mich heute nur an einen kurzen Traumabschnitt erinnern. Ich war in einem Unigebäude, das ich nicht kenne, und lief dort Arm in Arm mit einer Partervermittlerin, über die ich einen tollen Mann kennengelernt hatte. Sie wurde immer wieder für eine Dozentin gehalten, auch wenn sie das nicht ist, was mir ganz recht war, weil es mir etwas unangenehm war, Arm in Arm mit einer Partnervermittlerin durch die Uni zu laufen. Zur Uni gehörte eine Parkanlage und das Wetter war sonnig und warm. Ich redete mit ihr darüber, wie dankbar ich für den von ihr vermittelten Mann bin und sie warnte mich davor, zu optimistisch zu sein, ich solle erst mal abwarten, wie sich der Kontakt weiterentwickelt, um im Zweifelsfall nicht zu stark verletzt zu werden. Dann wachte ich auf.",1698903900,4,1,1,5,3,2,2,1,1,3,0,0,1,0,0,0,0,1,3,0,1,131,26.2,5,1,1
"SB12KR",2023-11-03,1,2,5,"Ich habe mich mit meinem Jahrgang aus dem Freiwilligendienst getroffen. Das machen wir einmal jährlich. Den Ort kannte ich nicht, aber die Personen waren mir alle vertraut. Und wir haben auch gemacht, was wir in dieser Runde immer machen: uns gegenseitig den Rücken massiert. Ich erinnere mich tatsächlich nur an diesen Schnipsel des Traums.",1698988860,5,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,54,54,1,1,1
"SB12KR",2023-11-04,2,-77,-77,"-66",1699075020,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SB12KR",2023-11-05,1,2,4,"Ich habe diese Nacht geträumt, dass ich ein Kind geboren habe. Die Geburt selber habe ich allerdings nicht mitbekommen, hatte aber nachher ein kleines Bündel im Arm. Ich war in einem Krankenhaus und musste dort von einer Station zur nächsten laufen für verschiedene Untersuchungen. Begleitet hat mich dabei eine Frau in meinem Alter, die ich nur ein wenig kannte, die sich aber gut um mich sorgte.",1699164000,7,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,66,33,2,1,1
"SB12KR",2023-11-06,1,2,4,"Im Traum dieser Nacht ging es um meinen bevorstehenden Umzug. Ich saß in einer Art Klassenraum, der mit Holzmöbeln eingerichtet war. Ich plante meinen Umzug, indem ich eine Liste schrieb, was ich alles einpacke. Ich wurde dabei von verschiedenen Leuten unterstützt, u.a. meiner Mutter. Ich weiß, dass in dem Traum auch mehr passierte, doch bekomme ich das nicht mehr in Erinnerung gebracht.",1699251420,8,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,62,20.6666666666667,3,1,1
"SB12KR",2023-11-07,1,2,4,"Es ist erneut eim Traum, bei dem ich mich nur an die Szenerie erinnern kann. Irgendwie komisch, dass meine Traumberichte immer kürzer und inhaltsleerer werden, ich hätte das Gegenteil erwartet. Nun zur Szenerie. Ich habe einen Freund zum ersten Mal in seiner Wohnung besucht. Die Wohnung war lichtdurchflutet und hell, in Holz- und Weißtönen. Ich kenne diese Wohnung nicht. Wir saßen zusammen am Esszimmertisch. Weitere Erinnerungen habe ich nicht.",1699334220,9,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,69,23,3,1,1
"SB12KR",2023-11-08,1,2,4,"Ich kann mich an 2 Szenen aus meinem Traum erinnern. Das eine ist eine Wanderung in einer hügeligen Landschaft. Die Wanderung führt auf einen Berg und zurück. Ich bin auf diesem Weg unterwegs, aber auch eine gute Freundin von mir, mit der ich bald zusammenziehe. Die läuft mit zwei Frauen aus einem asiatischen Land (Indien? - zumindest tragen sie Saris) und sie sind früher aufgebrochen als ich. Trotzdem sind sie langsamer als ich gedacht hätte. Ich treffe sie auf dem Wegstück, das wieder vom Berg herunterführt. Auf dem Weg ist auch eine Frau aus dem ehrenamtlichen Vorstand meines Arbeitgebers unterwegs. Sie hat im richtigen Leben und auch im Traum recht große Probleme, längere Strecken zu laufen. Doch sie schlägt sich gut. Nachher sind wir bei ihr zu Hause. Wir telefonieren mit irgendwem, wozu und warum weiß ich nicht mehr. Ich glaube, wir telefonieren mit ihrem Mann, der im Auto unterwegs ist. Sowohl die Berglandschaft als auch das Haus sind mir aus dem realen Leben nicht bekannt. ",1699426320,10,1,2,7,3,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,168,24,3.5,2,2
