"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SL03TO",2023-07-16,2,-77,-77,"-66",1689489180,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-17,1,1,2,"Ich habe heute Nacht davon geträumt, dass ich die Klausur die heute geschrieben wurde, verschlafen hätte und erst nach Beginn aufgewacht bin. Ich bin dann schnell, noch im Schlafanzug nach draußen gerannt und wollte mit einem Auto, es war nicht meins, ich weiß aber nicht mehr wem es gehört hat, zur Uni fahren. In dem Traum war ich sehr verzweifelt und habe geweint, mich total geärgert, dass mich niemand geweckt hat.",1689613500,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,18.25,4,1,NA
"SL03TO",2023-07-18,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-19,1,2,2,"Ich war mit verschiedenen Leuten auf einer Bus Reise. Wir haben Pause an einer Raststätte gemacht. Da hab ich ein Mädchen aus meiner alten Stufe getroffen. Wir sind in einen Tunnel gegangen und ich wollte Amphetamin aus einem Dosierer ziehen. Als sie das gesehen hat, wollte sie das auch. Sie hat es aber nicht geschafft das Gerät zu benutzen, deshalb wollten wir auf Toilette gehen. Bis dahin war die Stimmung in meinem Traum noch amüsiert. Als wir uns auf dem Weg zu den Toiletten machen wollten kam ein junger Mann auf uns zu, der wohl ihr Freund war. Er wollte mit uns kommen. Wir sind in einen langen Flur gegangen und in eine Kabine. Die Wände waren nur ganz tief, sodass man in die Kabinen rein gucken konnte. Ich habe dann auf meinem Handy etwas für sie fertig gemacht. Das war sehr viel und der Junge wollte das Mädchen davon abhalten das alles zu konsumieren. Sie wollte sich aber nicht davon abhalten lassen. Weil der Junge so laut war, kam eine Frau in den Gang rein um nachzusehen was los ist. Ich bin dann sehr nervös geworden, wollte nicht, dass sie das sieht. Das Mädchen hat das dann einfach alles gezogen und wir sind über die Wände gesprungen und weg gerannt.",1689769920,4,1,2,13,11,8,5,0,3,6,0,3,0,0,0,0,0,0,6,3,0,217,16.6923076923077,6.5,2,2
"SL03TO",2023-07-20,2,-77,-77,"-66",1689864180,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-21,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-22,1,2,3,"In meinem Traum sind mein Freund und ich in meinem alten Auto gefahren und waren auf den Weg zu den Eltern von meinem Freund. Wir sind die ganze Zeit durch einen Wald gefahren und waren uns sicher, dass wir uns verfahren haben. Wir sind aber einfach weiter gefahren und fanden es sogar gut, weil wir keine Lust hatten auf die Zusammenkunft. Irgendwann sind wir angehalten, weil ich dringend auf Toilette musste. Danach bin ich aufgewacht ",1690030200,7,1,2,4,3,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,75,18.75,2,2,2
"SL03TO",2023-07-23,1,1,1,"In meinem Traum wollte ich mich über eine Nasenkorrektur informieren und beraten lassen. Ich saß in einer Arztpraxis im Wartezimmer und war ganz nervös. Mein Freund saß neben mir und meinte, dass er nicht verstünde warum wir hier wären. Meine Nase sei zwar nicht die schönste aber ich würde total übertreiben. Die Nase würde in mein Gesicht passen, bei einer anderen wäre das nicht der Fall. Ich bin daraufhin sauer geworden und habe ihm gesagt das er gehen solle, was er dann auch tat. Ich saß jetzt alleine im Wartezimmer und habe mich umgeguckt, in dem Raum hingen ausschließlich Bilder von hässlichen Nasen. Ich habe mich in meinem Traum immer unwohl dort gefühlt, hatte grade den Entschluss gefasst auch lieber nach Hause zu gehen als ich dann an der Tür von einer Frau abgefangen wurde die mich in den Untersuchungsraum gebracht hat. Ich habe mehrere Versuche vorgenommen der Frau zu sagen, dass ich doch lieber nach Hause wolle doch konnte ich meinen Mund nicht öffnen. Ich musste mich auf einen Stuhl wie beim Zahnarzt setzen und auf einmal wurde mein Sitz gekippt sodass mein Kopfteil runtergelassen wurde und meine Beine hoch. In meinem Traum hatte ich total Angst hab vor Schock kurz aufgeschrien und mich an den Stuhl festgekrallt. Sehr helles Licht wurde mir direkt ins Gesicht geleuchtet und ich habe ein Männer und ein Frauenlachen gehört. Ich habe mich angefangen sehr zu schämen und die Augen zugekniffenen ",1690136640,8,1,3,9,4,3,1,1,3,2,0,2,0,0,0,1,0,0,2,3,0,244,27.1111111111111,3,3,2
"SL03TO",2023-07-24,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-25,2,-77,-77,"-66",1690310100,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-26,1,2,4,"In meinem Traum war ich ein Charakter aus der Serie Naruto. Ich war mein lieblingscharakter und in einem Kampf verwickelt. Ich habe gegen eine andere Figur aus dieser Serie gekämpft. Ich kann mich nicht mehr an viel aus dem Traum erinnern außer das sich die Umgebung ständig verändert hat. Mal haben wir in einem Wald gekämpft, dann ging der Kampf in einer Stadt weiter. Ich habe mich in dem Traum stark und überlegen gefühlt. Wie der Kampf ausgegangen ist weiß ich nicht, vorher bin ich aufgewacht.",1690394700,11,1,2,4,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,2,0,88,22,2,2,2
"SL03TO",2023-07-27,2,-77,-77,"-66",1690485540,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-28,1,1,1,"Ich habe davon geträumt, dass ich beim Zahnarzt war und der Zahnarzt erst meinte meine Zähne würden eigentlich gut aussehen, es gäbe nur eine kleine Stelle die er sich genauer angucken wollte. Er ist dann aus dem Raum gegangen und ich saß alleine in dem Behandlungsraum und habe gewartet. Ich hatte Angst und war nervös. Der Zahnarzt kam dann wieder und hat den Stuhl nach hinten gefahren und angefangen mit einer Zahnarzthelferin in meinem Mund zu arbeiten. Ich hatte Schmerzen und den Geschmack von Blut im Mund. Die Zahnarzthelferin hat dauernd gesagt ich müsse meine Zunge locker lassen. Ich habe dann gesehen wie der Zahnarzt einen Zahn aus meinem Mund geholt hat. Ich habe Panik bekommen aber die haben nicht aufgehört und plötzlich waren sind mir mehrere Zähne in den Mund gefallen. Ich habe angefangen zu weinen, der Zahnarzt meinte ich solle mich nicht so anstellen, das wäre nicht vorhersehbar gewesen. Dann bin ich aufgewacht ",1690567920,13,1,1,12,8,7,0,0,7,0,8,0,0,0,1,0,0,0,0,9,0,165,13.75,12,1,1
"SL03TO",2023-07-29,2,-77,-77,"-66",1690646400,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-30,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-07-31,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-08-01,1,2,3,"In meinem Traum konnte ich fliegen, dass war aber nicht besonderes, alle konnten fliegen. Ich war auf dem Weg zu einer Freundin, mit der ich mich treffen wollte und bin durch die Stadt geflogen, dafür musste ich aber erstmal immer wieder Anlauf nehmen und hoch springen bevor ich richtig los fliegen konnten Meine Arme musste ich dabei als Flügel benutzen. Auf dem Weg bin ich irgendwann meiner kleinen Schwester begegnet sie hat mich dann begleitet und wir haben es irgendwann geschafft tatsächlich los zu fliegen. Wir haben die Stadt dann verlassen und haben uns in einer Bergigen Landschaft befunden, da sind wir manchmal wieder gelandet, weil wir nicht hoch genug fliegen konnten. ",1690891620,17,1,3,7,5,5,4,0,1,5,0,0,0,0,0,0,0,0,5,0,0,120,17.1428571428571,2.33333333333333,3,2
"SL03TO",2023-08-02,2,-77,-77,"-66",1690997940,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL03TO",2023-08-03,1,2,4,"In meinem Traum befand ich mich auf einem Sofa. Ich hatte die Aufgabe mich auf dem Sofa sitzend zu bewegen von rechts nach links, auch auf der Rückenlehne. Vor mir befanden sich meine kleine Schwester und ein Freund von ihr. Sie hatten die Aufgabe mich von dem Sofa herunter zu bekommen, durften das aber immer nur in dem Moment versuchen, indem ich grade nicht saß, also den Platz wechselte. Das Spiel begann und ich hüpfte von Platz zu Platz, gleichzeitig versuchte meine Schwester meinen Freund zu koordinieren und machte ihm Ansagen. Wir waren alle sehr konzentriert und haben das sehr Ernst genommen. Nach kurzer Zeit wurde das ganze ziemlich anstrengend und ich musste mich hin und wieder mit aller Kraft an dem Sofa festhalten, um nicht herunter gezogen zu werden. Nach 10 Minuten war die erste Runde des Spiels vorbei. Ich war erschöpft aber habe mich darüber gefreut, noch immer auf der Sofa zusitzen. Meine kleine Schwester ist ärgerlich geworden, weil mein Freund und Sie es bis dato nicht geschafft hatten, mich herunter zu ziehen. ",1691099820,19,1,2,5,4,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,175,35,2.5,2,2
